index,dt_ms,ok
0,0.648968,1
1,0.599339,1
2,0.623328,1
3,0.610785,1
4,0.612091,1
5,0.575231,1
6,0.623251,1
7,0.644563,1
8,0.663743,1
9,0.586185,1
10,0.613233,1
11,9.652794,1
12,0.548121,1
13,0.634087,1
14,0.607193,1
15,0.607564,1
16,0.589168,1
17,0.981935,1
18,0.607277,1
19,0.624356,1
20,5.832609,1
21,0.617412,1
22,0.631992,1
23,0.620835,1
24,0.645246,1
25,0.617415,1
26,0.622978,1
27,0.616408,1
28,0.606643,1
29,0.613129,1
30,0.623163,1
31,0.966377,1
32,0.648494,1
33,0.623468,1
34,0.665710,1
35,0.947027,1
36,9.858411,1
37,0.943081,1
38,0.641832,1
39,0.617440,1
40,0.640655,1
41,0.604786,1
42,0.630185,1
43,0.623162,1
44,0.631571,1
45,5.703741,1
46,0.617737,1
47,0.637610,1
48,0.640569,1
49,0.969564,1
50,0.650343,1
51,0.633502,1
52,0.630744,1
53,0.634087,1
54,0.627335,1
55,0.627255,1
56,0.626033,1
57,0.622151,1
58,0.972211,1
59,0.931055,1
60,0.603594,1
61,9.682698,1
62,0.612651,1
63,0.635365,1
64,0.623764,1
65,0.635262,1
66,0.613861,1
67,0.634464,1
68,0.641057,1
69,0.646216,1
70,6.272899,1
71,0.919778,1
72,0.636615,1
73,0.605535,1
74,0.647183,1
75,0.650638,1
76,0.632070,1
77,0.636027,1
78,0.627469,1
79,0.615735,1
80,0.969158,1
81,0.622436,1
82,0.894144,1
83,0.985281,1
84,0.936139,1
85,9.425173,1
86,0.615629,1
87,0.618520,1
88,0.651558,1
89,0.621277,1
90,0.616541,1
91,0.628000,1
92,0.646332,1
93,0.623625,1
94,5.798557,1
95,0.607543,1
96,0.570731,1
97,0.656481,1
98,0.605495,1
99,0.630056,1
100,0.949108,1
101,0.632495,1
102,0.577534,1
103,0.611945,1
104,0.673893,1
105,0.632151,1
106,0.628074,1
107,0.613285,1
108,0.652202,1
109,0.631211,1
110,0.618509,1
111,9.638497,1
112,0.550050,1
113,0.638555,1
114,0.556145,1
115,0.635504,1
116,0.585444,1
117,0.645056,1
118,0.602283,1
119,0.639198,1
120,0.582356,1
121,6.018681,1
122,0.889637,1
123,0.933179,1
124,0.619354,1
125,0.639158,1
126,0.625025,1
127,0.595603,1
128,0.613948,1
129,0.635296,1
130,0.607701,1
131,0.633098,1
132,0.596561,1
133,0.621826,1
134,0.650979,1
135,0.610333,1
136,0.625036,1
137,9.619303,1
138,0.615258,1
139,0.626419,1
140,0.945941,1
141,0.624070,1
142,0.945484,1
143,0.608795,1
144,0.620579,1
145,0.637784,1
146,5.995213,1
147,0.617933,1
148,0.618838,1
149,0.610022,1
150,0.632648,1
151,0.967104,1
152,0.613247,1
153,0.636934,1
154,0.617078,1
155,0.606365,1
156,0.632771,1
157,0.594331,1
158,0.616168,1
159,0.627387,1
160,0.601307,1
161,0.660491,1
162,9.662748,1
163,0.619746,1
164,0.594631,1
165,0.621186,1
166,0.624283,1
167,0.608108,1
168,0.635516,1
169,0.614553,1
170,0.640599,1
171,0.641578,1
172,5.960051,1
173,0.883412,1
174,0.953642,1
175,0.639497,1
176,0.641174,1
177,0.624065,1
178,0.616830,1
179,0.973286,1
180,1.170541,1
181,0.894978,1
