t_s,pos_act,force_g,current_mA
0.000001,99,215,0
0.031873,99,215,0
0.063193,100,216,0
0.094220,100,216,0
0.124342,100,216,0
0.155654,100,215,0
0.186887,100,216,0
0.218124,100,215,0
0.254873,100,215,82
0.286351,105,228,100
0.317519,113,237,104
0.347509,117,237,81
0.378743,126,221,85
0.410961,137,215,109
0.442108,151,221,82
0.472626,160,222,63
0.503175,168,224,77
0.535151,175,223,71
0.565365,188,221,73
0.595515,196,224,68
0.627886,209,223,93
0.659913,218,224,59
0.688824,229,221,57
0.720296,236,224,67
0.752593,246,224,56
0.782024,257,221,88
0.813189,265,224,60
0.845158,274,223,74
0.875044,285,221,81
0.905884,292,225,63
0.937548,302,223,75
0.967931,308,222,86
0.998381,320,222,58
1.030864,327,222,82
1.060469,337,223,67
1.093560,345,220,59
1.123931,353,220,97
1.153054,363,221,81
1.186447,375,218,59
1.216556,384,218,76
1.247563,400,216,52
1.272683,400,219,98
1.296933,406,219,60
1.323088,417,219,84
1.353481,431,224,89
1.384653,437,224,69
1.415902,446,228,101
1.446603,456,230,86
1.477888,464,229,67
1.509138,477,234,75
1.539872,480,234,76
1.570590,488,234,70
1.601440,498,234,70
1.632275,514,238,86
1.663851,525,238,70
1.694435,537,241,103
1.725760,546,245,78
1.756155,558,240,71
1.787415,565,247,99
1.818790,565,247,99
1.849983,583,250,99
1.880321,590,247,93
1.911536,596,252,74
1.942962,603,249,98
1.973168,616,249,88
2.004364,625,254,80
2.035701,632,251,90
2.065875,641,257,90
2.097118,652,254,77
2.128437,662,253,103
2.159713,668,256,91
2.189927,680,255,78
2.221023,695,255,78
2.252135,695,255,78
2.283801,718,258,89
2.314597,725,253,102
2.345059,735,258,106
2.376576,740,257,102
2.406955,747,257,76
2.438534,759,257,108
2.468885,769,262,118
2.499926,773,260,112
2.531423,784,264,89
2.562102,791,265,90
2.592582,799,263,95
2.623764,815,265,101
2.654652,826,262,82
2.686843,835,263,118
2.717516,842,266,87
2.748812,849,262,83
2.779539,861,267,91
2.811072,872,263,82
2.842320,879,263,82
2.872279,879,263,82
2.903298,907,260,106
2.934585,914,264,88
2.965809,922,262,83
2.997225,932,264,112
3.027306,940,265,88
3.058794,948,261,104
3.089254,956,262,84
3.120651,965,261,117
3.151961,977,263,95
3.182541,986,264,78
3.214091,992,261,102
3.244524,1002,264,84
3.275616,1011,261,109
3.306599,1021,266,115
3.337678,1030,264,102
3.368888,1038,263,131
3.398926,1050,266,94
3.430054,1055,264,85
3.461459,1067,264,85
3.492402,1082,265,101
3.523683,1092,263,86
3.554110,1105,266,91
3.585491,1114,265,97
3.616516,1119,268,130
3.647735,1129,270,103
3.678577,1138,266,87
3.709500,1148,269,103
3.739747,1154,268,109
3.771425,1162,273,83
3.801572,1173,272,115
3.833483,1182,268,106
3.863970,1189,272,92
3.894881,1202,273,131
3.926851,1210,277,90
3.957491,1220,274,90
3.987948,1226,281,119
4.018863,1235,284,94
4.050695,1247,283,81
4.080536,1256,287,120
4.113320,1272,289,88
4.144706,1281,291,107
4.175777,1289,296,89
4.205947,1302,299,92
4.236540,1312,302,120
4.267879,1319,305,86
4.299159,1319,305,86
4.329271,1338,303,80
4.360205,1345,304,121
4.391976,1355,308,108
4.422253,1360,309,91
4.453620,1370,308,112
4.484378,1382,315,101
4.515570,1389,319,109
4.546233,1399,325,97
4.577714,1408,325,87
4.608752,1419,330,105
4.639730,1428,334,93
4.670447,1436,334,-2
4.701062,1445,327,0
4.732747,1449,326,0
4.763247,1448,326,0
4.793912,1448,325,0
4.825733,1448,326,0
4.856230,1448,325,0
4.887336,1448,325,0
4.918700,1448,325,0
4.949774,1448,325,0
4.980390,1448,324,0
