t_s,pos_act,force_g,current_mA
0.000001,99,186,
0.020407,99,,
0.031596,99,,
0.038401,99,,
0.051709,99,,
0.062634,99,,
0.069177,99,,
0.082476,99,,
0.093450,99,186,
0.113974,99,,
0.124869,99,,
0.131435,99,,
0.145543,99,,
0.155770,99,,
0.162260,99,,
0.175244,99,,
0.186700,99,186,
0.206048,99,,
0.223394,99,,
0.237697,99,,
0.248879,99,,
0.255585,99,,
0.268586,99,,
0.279481,99,,
0.285952,105,207,
0.310851,105,,
0.317346,115,,
0.330342,115,,
0.341142,115,,
0.347667,118,,
0.361759,118,,
0.372599,118,,
0.379130,128,227,
0.403331,140,,
0.410939,140,,
0.424017,140,,
0.435100,151,,
0.441673,151,,
0.454204,151,,
0.465123,161,,
0.471666,161,225,
0.496951,169,,
0.503384,169,,
0.516239,169,,
0.527086,178,,
0.533533,178,,
0.547596,178,,
0.558462,190,,
0.564873,190,224,
0.590106,198,,
0.596668,198,,
0.609581,198,,
0.620377,198,,
0.627054,198,,
0.640073,213,,
0.651901,213,,
0.658445,213,220,
0.682134,224,,
0.689708,224,,
0.702938,232,,
0.713781,232,,
0.720344,232,,
0.733346,241,,
0.744179,241,,
0.751149,241,220,
0.775645,248,,
0.782353,248,,
0.795668,259,,
0.806799,259,,
0.813930,259,,
0.826889,266,,
0.837789,266,,
0.844312,266,217,
0.868594,280,,
0.875144,285,,
0.888498,285,,
0.899870,285,,
0.906993,294,,
0.919076,294,,
0.929832,294,,
0.936379,302,216,
0.961420,302,,
0.968237,310,,
0.981221,310,,
0.992175,310,,
0.999733,322,,
1.012751,322,,
1.023883,329,,
1.030444,329,216,
1.054623,340,,
1.061112,340,,
1.074109,340,,
1.084896,345,,
1.091407,345,,
1.105459,345,,
1.116282,355,,
1.122732,355,215,
1.147553,367,,
1.154434,367,,
1.167477,367,,
1.178252,367,,
1.184639,367,,
1.198404,367,,
1.208951,387,,
1.215223,387,223,
1.240532,397,,
1.246668,397,,
1.260397,403,,
1.270875,403,,
1.277143,403,,
1.290815,411,,
1.302624,411,,
1.308844,411,237,
1.333225,422,,
1.340653,422,,
1.353597,433,,
1.364340,433,,
1.371218,433,,
1.384244,440,,
1.395110,440,,
1.402710,440,244,
1.426460,450,,
1.432824,450,,
1.445716,458,,
1.457715,458,,
1.464422,458,,
1.477663,469,,
1.488886,469,,
1.495526,477,244,
1.519574,477,,
1.526409,480,,
1.539765,480,,
1.549980,480,,
1.556870,489,,
1.570517,489,,
1.581631,489,,
1.588434,499,245,
1.612430,499,,
1.619259,508,,
1.632476,508,,
1.643395,517,,
1.650205,517,,
1.663362,517,,
1.674567,528,,
1.681096,528,250,
1.704922,539,,
1.712593,539,,
1.725844,539,,
1.735705,548,,
1.742300,548,,
1.756400,548,,
1.767242,560,,
1.773785,560,253,
1.798421,569,,
1.806108,569,,
1.817885,569,,
1.829058,579,,
1.835805,579,,
1.849171,579,,
1.860260,585,,
1.867138,585,258,
1.891586,593,,
1.898360,593,,
1.911845,599,,
1.922715,599,,
1.929528,599,,
1.942674,607,,
1.953792,607,,
1.960424,607,258,
1.984095,620,,
1.990914,620,,
2.004821,628,,
2.015510,628,,
2.022128,628,,
2.035475,635,,
2.046370,635,,
2.053087,635,259,
2.077371,644,,
2.084426,644,,
2.096834,656,,
2.109561,656,,
2.116613,662,,
2.127823,662,,
2.138993,662,,
2.145719,670,259,
2.169903,670,,
2.177549,682,,
2.190020,682,,
2.200922,682,,
2.208526,696,,
2.221587,696,,
2.232450,696,,
2.238958,703,258,
2.262654,703,,
2.269211,712,,
2.283279,712,,
2.295140,719,,
2.302085,719,,
2.313849,719,,
2.324793,728,,
2.332452,728,256,
2.356460,736,,
2.362983,736,,
2.376024,736,,
2.386819,742,,
2.394407,742,,
2.407414,742,,
2.418296,750,,
2.425200,750,257,
2.449582,763,,
2.456194,763,,
2.469212,763,,
2.481326,770,,
2.487893,770,,
2.499877,777,,
2.510811,777,,
2.518418,777,259,
2.542101,785,,
2.548595,785,,
2.561628,795,,
2.573572,795,,
2.580046,795,,
2.593018,807,,
2.604029,807,,
2.610674,807,259,
2.635369,819,,
2.641786,819,,
2.654645,829,,
2.666482,829,,
2.672843,829,,
2.685637,836,,
2.696442,836,,
2.702888,836,257,
2.728033,844,,
2.734559,851,,
2.747501,851,,
2.760450,851,,
2.766878,863,,
2.778721,863,,
2.789570,863,,
2.796043,872,264,
2.820620,872,,
2.827186,880,,
2.841258,880,,
2.853134,890,,
2.859572,890,,
2.871483,890,,
2.883305,899,,
2.889674,899,260,
2.913802,909,,
2.920439,909,,
2.933453,909,,
2.946404,916,,
2.952889,916,,
2.964742,916,,
2.975672,925,,
2.982721,925,259,
3.006832,934,,
3.013516,934,,
3.026584,934,,
3.038521,934,,
3.045082,934,,
3.058077,934,,
3.069247,949,,
3.075889,949,260,
3.100242,949,,
3.106776,949,,
3.119808,970,,
3.131682,970,,
3.139310,970,,
3.151330,982,,
3.162197,982,,
3.168656,982,264,
3.192362,989,,
3.198895,989,,
3.212875,995,,
3.224800,995,,
3.231327,995,,
3.244390,1004,,
3.255245,1004,,
3.261731,1004,266,
3.285637,1016,,
3.293263,1016,,
3.306520,1016,,
3.317632,1016,,
3.325440,1016,,
3.336684,1034,,
3.348748,1034,,
3.355351,1041,262,
3.379175,1041,,
3.385932,1050,,
3.399128,1050,,
3.411223,1050,,
3.417927,1055,,
3.429909,1055,,
3.440774,1055,,
3.447558,1068,264,
3.471605,1068,,
3.479317,1077,,
3.492380,1077,,
3.504320,1083,,
3.510914,1083,,
3.522855,1083,,
3.533825,1093,,
3.540547,1093,265,
3.564435,1110,,
3.571044,1110,,
3.585189,1110,,
3.597363,1115,,
3.604075,1115,,
3.615990,1115,,
3.626885,1122,,
3.633480,1122,278,
3.657357,1131,,
3.663904,1131,,
3.677954,1131,,
3.689435,1141,,
3.696024,1141,,
3.709055,1141,,
3.720117,1141,,
3.726733,1141,291,
3.750780,1157,,
3.757233,1157,,
3.771285,1168,,
3.783124,1168,,
3.789534,1168,,
3.801489,1177,,
3.812328,1177,,
3.818751,1177,286,
3.844702,1185,,
3.851253,1185,,
3.864226,1193,,
3.876071,1193,,
3.882599,1193,,
3.895080,1206,,
3.906225,1206,,
3.912781,1206,287,
3.936525,1206,,
3.943091,1206,,
3.956559,1223,,
3.968605,1223,,
3.976181,1226,,
3.988202,1226,,
3.999145,1226,,
4.005720,1237,303,
4.030505,1237,,
4.038192,1249,,
4.050091,1249,,
4.061967,1249,,
4.068491,1258,,
4.080383,1258,,
4.092641,1258,,
4.099385,1266,309,
4.123533,1274,,
4.130227,1274,,
4.142454,1274,,
4.154952,1282,,
4.161862,1282,,
4.174190,1282,,
4.185582,1292,,
4.193255,1292,326,
