trial_file,dof,speed,force_set,target,t_cmd_s,write_cost_s,rate_hz,latency_ms,baseline_pos,final_pos,delta_pos,force_base_g,force_final_dev_g,max_abs_force_g,settled,aborted,hold,hold_base_g,max_abs_force_hold_g,max_hold_dev_g
trial_dof1_v500_n00.csv,1,500,3000,300,0.216472,0.007033,86.4,92.6,58.0,1389.0,1331.0,28,40,69,1,0,,,0,0
trial_dof1_v500_n08.csv,1,500,3000,300,0.217118,0.009867,86.0,69.7,57.6,1389.1,1331.6,30,39,70,1,0,,,0,0
trial_dof1_v500_n06.csv,1,500,3000,300,0.217416,0.010772,85.9,93.5,57.7,1389.2,1331.5,31,41,73,1,0,,,0,0
trial_dof1_v500_n04.csv,1,500,3000,300,0.216884,0.010322,85.8,63.5,57.4,1389.0,1331.6,27,46,73,1,0,,,0,0
trial_dof1_v250_n00.csv,1,250,3000,300,0.218284,0.010871,86.4,91.9,56.0,1389.0,1333.0,6,66,72,1,0,,,0,0
trial_dof1_v500_n07.csv,1,500,3000,300,0.216241,0.010548,86.7,94.2,58.0,1388.9,1330.9,20,56,77,1,0,,,0,0
trial_dof1_v500_n01.csv,1,500,3000,300,0.217305,0.010004,85.7,63.4,56.0,1388.2,1332.2,7,67,78,1,0,,,0,0
trial_dof1_v250_n02.csv,1,250,3000,300,0.217013,0.009060,86.0,70.3,58.0,1389.0,1331.0,21,52,78,1,0,,,0,0
trial_dof1_v250_n03.csv,1,250,3000,300,0.216751,0.009750,86.0,100.6,56.0,1388.2,1332.2,5,70,76,1,0,,,0,0
trial_dof1_v250_n09.csv,1,250,3000,300,0.216779,0.009518,86.4,69.8,56.7,1387.7,1331.0,7,68,77,1,0,,,0,0
trial_dof1_v250_n05.csv,1,250,3000,300,0.216415,0.009898,86.8,70.5,57.0,1388.0,1331.0,8,70,78,1,0,,,0,0
trial_dof1_v250_n07.csv,1,250,3000,300,0.216856,0.009787,86.0,69.0,57.0,1387.7,1330.7,6,74,81,1,0,,,0,0
trial_dof1_v250_n04.csv,1,250,3000,300,0.217460,0.009960,86.4,69.4,57.0,1388.0,1331.0,7,75,83,1,0,,,0,0
trial_dof1_v500_n09.csv,1,500,3000,300,0.216988,0.010036,85.6,69.8,56.0,1388.2,1332.2,8,69,81,1,0,,,0,0
trial_dof1_v250_n06.csv,1,250,3000,300,0.216332,0.009599,86.1,94.5,57.3,1388.3,1331.1,7,67,78,1,0,,,0,0
trial_dof1_v500_n05.csv,1,500,3000,300,0.216739,0.009802,85.5,94.7,56.0,1387.9,1331.9,7,67,77,1,0,,,0,0
trial_dof1_v250_n08.csv,1,250,3000,300,0.217191,0.010823,86.4,62.6,58.0,1388.0,1330.0,8,67,77,1,0,,,0,0
trial_dof1_v250_n01.csv,1,250,3000,300,0.217024,0.009685,86.4,62.9,58.0,1387.9,1329.9,7,69,78,1,0,,,0,0
trial_dof1_v500_n03.csv,1,500,3000,300,0.215948,0.009749,85.8,63.6,57.0,1388.2,1331.2,8,68,79,1,0,,,0,0
trial_dof1_v500_n02.csv,1,500,3000,300,0.217307,0.010839,85.5,68.1,58.0,1388.5,1330.5,8,66,77,1,0,,,0,0
