t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,57,-1,,
0.002240,57,,,
0.003312,57,,,
0.008835,57,,,
0.009782,57,,,
0.010741,57,,,
0.011355,57,,,
0.011970,57,,,
0.012552,57,-1,,
0.014524,57,,,
0.015691,57,,,
0.016788,57,,,
0.017837,57,,,
0.018896,57,,,
0.028618,57,,,
0.029690,57,,,
0.030624,57,-1,,
0.032553,57,,,
0.033508,57,,,
0.039542,57,,,
0.040446,57,,,
0.041137,57,,,
0.042071,57,,,
0.043058,57,,,
0.043686,57,-1,,
0.044930,57,,,
0.045880,57,,,
0.046522,57,,,
0.047172,57,,,
0.048142,57,,,
0.048761,57,,,
0.049376,57,,,
0.059347,57,-1,,
0.060937,57,,,
0.061542,57,,,
0.062174,57,,,
0.063181,57,,,
0.063793,57,,,
0.064373,57,,,
0.070687,57,,,
0.071637,57,-1,,
0.072939,57,,,
0.073910,57,,,
0.074834,57,,,
0.075871,57,,,
0.076777,57,,,
0.077339,57,,,
0.077975,57,,,
0.078614,57,-1,,
0.079845,57,,,
0.080770,57,,,
0.090385,57,,,
0.091003,57,,,
0.091601,57,,,
0.092185,57,,,
0.092845,57,,,
0.093462,57,-1,,
0.094723,57,,,
0.095335,57,,,
0.095928,57,,,
0.101772,57,,,
0.102304,57,,,
0.102941,57,,,
0.103563,57,,,
0.104221,57,-1,,
0.105441,57,,,
0.106074,57,,,
0.106710,57,,,
0.107314,57,,,
0.107970,57,,,
0.108611,57,,,
0.109332,57,,,
0.110233,57,-1,,
0.111842,57,,,
0.121467,57,,,
0.122352,57,,,
0.122983,57,,,
0.123583,57,,,
0.124243,57,,,
0.124863,57,,,
0.125824,57,-1,,
0.132539,57,,,
0.133401,57,,,
0.134348,57,,,
0.135015,57,,,
0.135912,57,,,
0.136560,57,,,
0.137537,57,,,
0.138243,57,-1,,
0.140183,57,,,
0.141071,57,,,
0.141685,57,,,
0.142301,57,,,
0.143255,57,,,
0.152622,57,,,
0.153194,57,,,
0.153830,57,-1,,
0.155098,57,,,
0.155733,57,,,
0.156331,57,,,
0.156953,57,,,
0.157915,57,,,
0.163642,57,,,
0.164218,57,,,
0.164907,57,-1,,
0.166187,57,,,
0.166800,57,,,
0.167410,57,,,
0.168034,57,,,
0.168737,57,,,
0.169286,57,,,
0.169950,57,,,
0.170579,57,-1,,
0.171919,57,,,
0.172530,57,,,
0.173155,57,,,
0.173795,57,,,
0.183455,57,,,
0.184387,57,,,
0.185032,57,,,
0.185642,57,-1,,
0.186943,57,,,
0.187558,57,,,
0.188192,57,,,
0.188817,57,,,
0.194665,57,,,
0.195304,57,,,
0.195907,57,,,
0.196514,57,-1,,
0.198149,57,,,
0.199099,57,,,
0.199719,57,,,
0.200306,57,,,
0.201618,57,,,
0.202223,57,,,
0.202882,57,,,
0.203527,57,-1,,
0.205172,57,,,
0.214725,57,,,
0.215679,57,,,
0.216659,57,,,
0.217605,57,,,
0.218260,57,,,
0.219249,57,,,
0.220224,57,-1,,
0.227274,57,,,
0.228453,57,,,
0.229557,57,,,
0.230608,57,,,
0.231575,57,,,
0.232163,57,,,
0.233109,57,,,
0.234086,57,-1,,
0.235664,57,,,
0.245328,57,,,
0.246447,57,,,
0.247410,57,,,
0.248032,57,,,
0.248663,57,,,
0.249624,57,,,
0.250625,57,-1,,
0.257863,57,,,
0.258839,57,,,
0.259846,57,,,
0.260824,57,,,
0.261780,57,,,
0.262755,57,,,
0.263402,57,,,
0.264406,57,-1,,
0.266499,57,,,
0.276460,57,,,
0.277479,57,,,
0.278505,57,,,
0.279543,57,,,
0.280533,57,,,
0.281523,57,,,
0.287613,57,0,,
0.289698,57,,,
0.290800,57,,,
0.292000,57,,,
0.293339,57,,,
0.294444,57,,,
0.295469,57,,,
0.296503,57,,,
0.297538,57,0,,
0.308802,57,,,
0.309895,74,,,
0.310955,74,,,
0.311972,74,,,
0.313060,74,,,
0.318697,74,,,
0.319787,74,,,
0.320899,74,28,,
0.323291,74,,,
0.324478,74,,,
0.325545,74,,,
0.326588,74,,,
0.327655,74,,,
0.328735,74,,,
0.338593,74,,,
0.339853,74,28,,
0.342540,74,,,
0.343764,74,,,
0.349849,74,,,
0.350817,74,,,
0.351817,74,,,
0.352817,74,,,
0.353801,74,,,
0.354823,74,28,,
0.356806,74,,,
0.357769,74,,,
0.358725,74,,,
0.359705,74,,,
0.369417,74,,,
0.370379,125,,,
0.371380,125,,,
0.372432,125,27,,
0.374404,125,,,
0.380677,125,,,
0.381653,125,,,
0.382590,125,,,
0.383549,125,,,
0.384334,125,,,
0.385312,125,,,
0.386318,125,27,,
0.388571,125,,,
0.389835,125,,,
0.391159,139,,,
0.400618,139,,,
0.401778,139,,,
0.402924,139,,,
0.404109,139,,,
0.405274,139,31,,
0.411945,139,,,
0.412916,139,,,
0.413879,139,,,
0.414871,139,,,
0.415865,139,,,
0.416852,139,,,
0.417868,139,,,
0.418878,139,31,,
0.420889,139,,,
0.421861,164,,,
0.431322,164,,,
0.432272,164,,,
0.433269,164,,,
0.433913,164,,,
0.434877,164,,,
0.435853,164,27,,
0.442874,164,,,
0.443783,164,,,
0.444441,164,,,
0.445418,164,,,
0.446392,164,,,
0.447381,164,,,
0.448380,164,,,
0.449370,164,27,,
0.451382,189,,,
0.452354,189,,,
0.462325,189,,,
0.463284,189,,,
0.464247,189,,,
0.465275,189,,,
0.466245,189,,,
0.467218,189,30,,
0.473707,189,,,
0.474671,189,,,
0.475360,189,,,
0.476343,189,,,
0.477347,189,,,
0.478339,189,,,
0.479322,189,,,
0.480319,189,30,,
0.482343,207,,,
0.483322,207,,,
0.484304,207,,,
0.493692,207,,,
0.494587,207,,,
0.495570,207,,,
0.496485,207,,,
0.497144,207,29,,
0.499083,207,,,
0.504705,207,,,
0.505674,207,,,
0.506642,207,,,
0.507639,207,,,
0.508665,207,,,
0.509624,207,,,
0.510606,207,31,,
0.512226,228,,,
0.513189,228,,,
0.514175,228,,,
0.515392,228,,,
0.524632,228,,,
0.525596,228,,,
0.526219,228,,,
0.526835,228,31,,
0.529136,228,,,
0.530371,228,,,
0.536103,228,,,
0.537110,228,,,
0.538082,228,,,
0.539078,228,,,
0.540121,228,,,
0.541056,228,30,,
0.543060,255,,,
0.543969,255,,,
0.544625,255,,,
0.545250,255,,,
0.545883,255,,,
0.555641,255,,,
0.556597,255,,,
0.557569,255,30,,
0.559516,255,,,
0.560488,255,,,
0.566613,255,,,
0.567564,255,,,
0.568214,255,,,
0.569123,255,,,
0.570084,255,,,
0.570664,255,28,,
0.572652,279,,,
0.573606,279,,,
0.574198,279,,,
0.574818,279,,,
0.575497,279,,,
0.576436,279,,,
0.586478,279,,,
0.587432,279,28,,
0.589411,279,,,
0.590371,279,,,
0.591323,279,,,
0.591933,279,,,
0.597759,279,,,
0.598710,279,,,
0.599692,279,,,
0.600663,279,28,,
0.602309,300,,,
0.603294,300,,,
0.604274,300,,,
0.605252,300,,,
0.606448,300,,,
0.607414,300,,,
0.617322,300,,,
0.618299,300,28,,
0.619972,300,,,
0.620916,300,,,
0.622114,300,,,
0.623205,300,,,
0.629120,300,,,
0.630296,300,,,
0.631437,300,,,
0.632582,300,27,,
0.634910,323,,,
0.636063,323,,,
0.637256,323,,,
0.638397,323,,,
0.648585,323,,,
0.649664,323,,,
0.650654,323,,,
0.651662,323,27,,
0.653703,323,,,
0.659701,323,,,
0.660658,323,,,
0.661596,323,,,
0.662245,323,,,
0.663204,323,,,
0.664146,348,,,
0.665068,348,24,,
0.666325,348,,,
0.666952,348,,,
0.667926,348,,,
0.668572,348,,,
0.669216,348,,,
0.669836,348,,,
0.679446,348,,,
0.680102,348,24,,
0.681708,348,,,
0.682653,348,,,
0.683371,348,,,
0.684351,348,,,
0.690503,348,,,
0.691343,348,,,
0.691995,348,,,
0.692576,348,27,,
0.693861,373,,,
0.694476,373,,,
0.695054,373,,,
0.695687,373,,,
0.696283,373,,,
0.696928,373,,,
0.697508,373,,,
0.698229,373,27,,
0.699458,373,,,
0.700370,373,,,
0.700978,373,,,
0.710801,373,,,
0.711744,373,,,
0.712331,373,,,
0.712941,373,,,
0.713567,373,27,,
0.714915,373,,,
0.715832,373,,,
0.721749,373,,,
0.722353,373,,,
0.722973,373,,,
0.723931,396,,,
0.724607,396,,,
0.725539,396,21,,
0.726780,396,,,
0.727398,396,,,
0.728064,396,,,
0.729020,396,,,
0.729727,396,,,
