t_s,pos_act,force_g,current_mA
0.000001,244,17,0
0.028029,244,17,0
0.059491,244,17,0
0.089495,244,17,0
0.120475,244,17,0
0.153283,244,17,0
0.183150,244,17,0
0.214456,244,17,0
0.245321,244,17,107
0.275349,244,23,54
0.307408,258,35,45
0.338714,268,39,45
0.367876,268,44,58
0.400522,286,47,57
0.431965,294,47,50
0.462513,303,47,74
0.494240,313,47,54
0.524564,320,46,47
0.556506,333,47,54
0.586427,343,47,53
0.617051,358,47,55
0.650302,368,49,71
0.678905,375,51,75
0.710141,383,51,73
0.741173,396,51,55
0.771669,407,51,63
0.803545,417,51,79
0.834331,425,51,57
0.865412,432,52,98
0.896826,437,52,73
0.926539,447,52,81
0.958294,456,52,81
0.989206,456,53,73
1.019484,473,53,93
1.051802,481,52,75
1.083115,493,52,85
1.113578,504,52,87
1.144486,513,53,71
1.175684,521,52,70
1.206452,528,51,80
1.236862,544,51,94
1.267867,554,52,95
1.298750,563,51,42
1.330165,572,51,58
1.360849,579,50,59
1.393638,589,50,77
1.423417,597,51,79
1.455227,606,51,62
1.484832,616,51,61
1.517529,628,52,54
1.548693,638,51,59
1.577540,646,52,89
1.608020,653,52,58
1.639874,662,51,87
1.670662,672,51,57
1.701136,681,52,81
1.734454,690,52,58
1.763791,699,52,57
1.795972,711,53,78
1.826959,718,53,71
1.858187,732,53,41
1.888874,739,54,46
1.919538,748,54,68
1.951136,759,55,52
1.981895,771,54,85
2.012959,777,56,45
2.043731,787,56,61
2.074560,796,57,73
2.106042,805,58,71
2.136521,814,58,63
2.167244,825,58,47
2.198140,835,59,50
2.228408,847,62,58
2.260780,854,62,58
2.291995,858,63,69
2.323137,863,62,81
2.353885,881,62,98
2.384568,888,56,0
2.415139,893,56,0
2.446454,893,56,0
2.477658,893,56,0
2.508494,893,56,0
2.539360,893,55,0
2.570349,893,55,0
2.601285,893,56,0
2.632593,893,56,0
2.663174,893,56,0
