t_s,pos_act,force_g,current_mA,force_hold_g
0.000002,244,22,,-185
0.017490,244,,,
0.025486,244,,,
0.037861,244,,,
0.049382,244,,,
0.056204,244,,,
0.069378,244,,,
0.079503,244,,,
0.087211,245,23,,-185
0.111017,245,,,
0.117357,245,,,
0.130087,245,,,
0.141974,245,,,
0.148255,245,,,
0.162204,245,,,
0.173096,245,,,
0.179693,245,22,,-185
0.203800,245,,,
0.223236,245,,,
0.235181,245,,,
0.241865,245,,,
0.255284,245,,,
0.266207,250,,,
0.272740,250,,,
0.286044,250,43,,-187
0.303556,269,,,
0.316594,269,,,
0.327482,301,,,
0.335101,301,,,
0.347184,301,,,
0.358027,347,,,
0.364478,347,,,
0.378882,399,55,,-192
0.396638,399,,,
0.409871,475,,,
0.420562,475,,,
0.427247,475,,,
0.440479,555,,,
0.451187,555,,,
0.457645,555,,,
0.471757,653,46,,-192
0.489569,653,,,
0.502862,728,,,
0.513916,728,,,
0.520281,728,,,
0.533329,794,,,
0.544357,794,,,
0.551183,794,,,
0.564420,849,59,,-193
0.582151,849,,,
0.595477,884,,,
0.606328,884,,,
0.614104,895,,,
0.626404,895,,,
0.637453,895,,,
0.644187,895,,,
0.657368,895,56,,-193
0.675106,895,,,
0.688293,895,,,
0.699155,895,,,
0.706020,895,,,
0.719652,895,,,
0.730231,895,,,
0.736868,895,,,
0.750107,895,55,,-193
0.768753,895,,,
0.781735,895,,,
0.792472,895,,,
0.798896,895,,,
0.811881,895,,,
0.824040,895,,,
0.830470,895,,,
0.843261,895,55,,-193
0.860531,895,,,
0.874525,895,,,
0.885571,895,,,
0.892191,895,,,
0.905128,895,,,
0.916974,895,,,
