t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,246,-80,,-113
0.011001,246,,,
0.011949,246,,,
0.012812,246,,,
0.013752,246,,,
0.014489,246,,,
0.015333,246,,,
0.020950,246,,,
0.021875,246,-81,,-113
0.023438,246,,,
0.024518,246,,,
0.025471,246,,,
0.026407,246,,,
0.027566,246,,,
0.028561,246,,,
0.029575,246,,,
0.030451,246,-81,,-113
0.040980,246,,,
0.041898,246,,,
0.042836,246,,,
0.043455,246,,,
0.044123,246,,,
0.044715,246,,,
0.045300,246,,,
0.046243,246,-81,,-113
0.052834,246,,,
0.053767,246,,,
0.054406,246,,,
0.055009,246,,,
0.055629,246,,,
0.056234,246,,,
0.056864,246,,,
0.057808,246,-81,,-113
0.059143,246,,,
0.059980,246,,,
0.060583,246,,,
0.061219,246,,,
0.061786,246,,,
0.071558,246,,,
0.072394,246,,,
0.073341,246,-81,,-113
0.074626,246,,,
0.075213,246,,,
0.075833,246,,,
0.076470,246,,,
0.077425,246,,,
0.083352,246,,,
0.084258,246,,,
0.084862,246,-81,,-113
0.086146,246,,,
0.086738,246,,,
0.087712,246,,,
0.088331,246,,,
0.088964,246,,,
0.089923,246,,,
0.090535,246,,,
0.091413,246,-81,,-113
0.093348,246,,,
0.102898,246,,,
0.103867,246,,,
0.104806,246,,,
0.105411,246,,,
0.106348,246,,,
0.107321,246,,,
0.107952,246,-81,,-113
0.114696,246,,,
0.115469,246,,,
0.116383,246,,,
0.117299,246,,,
0.118281,246,,,
0.119281,246,,,
0.120142,246,,,
0.120750,246,-81,,-113
0.122004,246,,,
0.122612,246,,,
0.123180,246,,,
0.123830,246,,,
0.133542,246,,,
0.134363,246,,,
0.135122,246,,,
0.135957,246,-81,,-113
0.137460,246,,,
0.138062,246,,,
0.138712,246,,,
0.144801,246,,,
0.145787,246,,,
0.146631,246,,,
0.147582,246,,,
0.148181,246,-81,,-113
0.149656,246,,,
0.150647,246,,,
0.151654,246,,,
0.152568,246,,,
0.153568,246,,,
0.154666,246,,,
0.164710,246,,,
0.165577,246,-81,,-113
0.166761,246,,,
0.167341,246,,,
0.167969,246,,,
0.168568,246,,,
0.169180,246,,,
0.169781,246,,,
0.175807,246,,,
0.176449,246,-81,,-113
0.177695,246,,,
0.178326,246,,,
0.178948,246,,,
0.179574,246,,,
0.180210,246,,,
0.180805,246,,,
0.181455,246,,,
0.182014,246,-81,,-113
0.183320,246,,,
0.184239,246,,,
0.184880,246,,,
0.185825,246,,,
0.195592,246,,,
0.196413,246,,,
0.197080,246,,,
0.198022,246,-81,,-113
0.199603,246,,,
0.200517,246,,,
0.207763,246,,,
0.208679,246,,,
0.209636,246,,,
0.210261,246,,,
0.210886,246,,,
0.211843,246,-81,,-113
0.214004,246,,,
0.215061,246,,,
0.216039,246,,,
0.217053,246,,,
0.226836,246,,,
0.228007,246,,,
0.228963,246,,,
0.229872,246,-81,,-113
0.231159,246,,,
0.232088,246,,,
0.237629,246,,,
0.238851,246,,,
0.239847,246,,,
0.240784,246,,,
0.241728,246,,,
0.242358,246,-81,,-113
0.243641,246,,,
0.244205,246,,,
0.244834,246,,,
0.245448,246,,,
0.246069,246,,,
0.246857,246,,,
0.247811,248,,,
0.257733,248,-63,,-116
0.259662,248,,,
0.260576,248,,,
0.261182,248,,,
0.262139,248,,,
0.262735,248,,,
0.268896,248,,,
0.269501,248,,,
0.270130,248,-63,,-116
0.272308,248,,,
0.273543,248,,,
0.274767,248,,,
0.275947,248,,,
0.277068,248,,,
0.278263,268,,,
0.279399,268,,,
0.288858,268,-43,,-118
0.290853,268,,,
0.291808,268,,,
0.293091,268,,,
0.294411,268,,,
0.299846,268,,,
0.300959,268,,,
0.302080,268,,,
0.303285,268,-43,,-118
0.305659,268,,,
0.306804,268,,,
0.307978,297,,,
0.309083,297,,,
0.310203,297,,,
0.319706,297,,,
0.320586,297,,,
0.321455,297,-32,,-119
0.323075,297,,,
0.324019,297,,,
0.324952,297,,,
0.330670,297,,,
0.331614,297,,,
0.332579,297,,,
0.333239,297,,,
0.334178,297,-32,,-119
0.335734,297,,,
0.336279,297,,,
0.337251,297,,,
0.337937,342,,,
0.338836,342,,,
0.339830,342,,,
0.340770,342,,,
0.350557,342,-32,,-120
0.351745,342,,,
0.352345,342,,,
0.352954,342,,,
0.353587,342,,,
0.354166,342,,,
0.354765,342,,,
0.355378,342,,,
0.356004,342,-32,,-120
0.362642,342,,,
0.363256,342,,,
0.363869,342,,,
0.364469,342,,,
0.365084,342,,,
0.365708,342,,,
0.366301,342,,,
0.366967,342,-25,,-120
0.368197,405,,,
0.368819,405,,,
0.369459,405,,,
0.370061,405,,,
0.370704,405,,,
0.371337,405,,,
0.371911,405,,,
0.381622,405,-25,,-121
0.383165,405,,,
0.383745,405,,,
0.384312,405,,,
0.384994,405,,,
0.385554,405,,,
0.386215,405,,,
0.386823,405,,,
0.392633,405,-25,,-121
0.394215,405,,,
0.394758,405,,,
0.395386,405,,,
0.396010,405,,,
0.396657,405,,,
0.397245,405,,,
0.397900,478,,,
0.398528,478,-15,,-121
0.399739,478,,,
0.400345,478,,,
0.400970,478,,,
0.401593,478,,,
0.402194,478,,,
0.402800,478,,,
0.412680,478,,,
0.413587,478,-15,,-122
0.415171,478,,,
0.416117,478,,,
0.416697,478,,,
0.417682,478,,,
0.423638,478,,,
0.424225,478,,,
0.424859,478,,,
0.425498,478,-15,,-122
0.427136,565,,,
0.428112,565,,,
0.428697,565,,,
0.429315,565,,,
0.430282,565,,,
0.431241,565,,,
0.432222,565,,,
0.432840,565,-26,,-121
0.434069,565,,,
0.443750,565,,,
0.444702,565,,,
0.445341,565,,,
0.445970,565,,,
0.446994,565,,,
0.447910,565,,,
0.448523,565,-26,,-121
0.455256,565,,,
0.456198,565,,,
0.456830,565,,,
0.457448,565,,,
0.458109,565,,,
0.458713,565,,,
0.459688,662,,,
0.460323,662,-34,,-120
0.461967,662,,,
0.462947,662,,,
0.464221,662,,,
0.465498,662,,,
0.474900,662,,,
0.476032,662,,,
0.476972,662,,,
0.477906,662,-34,,-120
0.479173,662,,,
0.480130,662,,,
0.485684,662,,,
0.486554,662,,,
0.487447,662,,,
0.488090,662,,,
0.488702,662,,,
0.489289,741,-24,,-120
0.490756,741,,,
0.491719,741,,,
0.492645,741,,,
0.493571,741,,,
0.494533,741,,,
0.495636,741,,,
0.505619,741,,,
0.506458,741,-24,,-122
0.508147,741,,,
0.509084,741,,,
0.510050,741,,,
0.510638,741,,,
0.516845,741,,,
0.517734,741,,,
0.518326,741,,,
0.518938,741,-22,,-122
0.520526,805,,,
0.521166,805,,,
0.521753,805,,,
0.522345,805,,,
0.522974,805,,,
0.523573,805,,,
0.524221,805,,,
0.525187,805,-22,,-122
0.526458,805,,,
0.527438,805,,,
0.536888,805,,,
0.537859,805,,,
0.538772,805,,,
0.539372,805,,,
0.540431,805,,,
0.541336,805,-22,,-122
0.548290,805,,,
0.549221,805,,,
0.550176,854,,,
0.550755,854,,,
0.551727,854,,,
0.552367,854,,,
0.553318,854,,,
0.553945,854,-18,,-123
0.555209,854,,,
0.555800,854,,,
0.556741,854,,,
0.557739,854,,,
0.567565,854,,,
0.568419,854,,,
0.569075,854,,,
0.569677,854,-18,,-123
