trial_file,dof,speed,force_set,target,t_cmd_s,write_cost_s,rate_hz,latency_ms,baseline_pos,final_pos,delta_pos,force_base_g,force_final_dev_g,max_abs_force_g,settled,aborted,hold,hold_base_g,max_abs_force_hold_g,max_hold_dev_g
trial_dof3_v500_n04.csv,3,500,3000,300,0.206450,0.000621,600.7,92.6,99.0,1444.0,1345.0,-4,115,128,1,0,,,0,0
trial_dof3_v100_n00.csv,3,100,3000,300,0.205654,0.000905,505.9,61.6,92.5,1444.0,1351.5,14,103,126,1,0,,,0,0
trial_dof3_v1000_n03.csv,3,1000,3000,300,0.201523,0.001255,586.0,77.9,94.4,1444.8,1350.4,8,109,135,1,0,,,0,0
trial_dof3_v750_n03.csv,3,750,3000,300,0.201596,0.000953,630.7,78.9,94.7,1445.0,1350.3,-3,129,135,1,0,,,0,0
trial_dof3_v250_n01.csv,3,250,3000,300,0.201498,0.000886,572.6,91.5,95.3,1444.2,1349.0,-4,138,138,1,0,,,0,0
trial_dof3_v250_n00.csv,3,250,3000,300,0.205688,0.000968,558.3,45.5,94.4,1445.0,1350.6,-5,142,144,1,0,,,0,0
trial_dof3_v250_n02.csv,3,250,3000,300,0.201513,0.000988,577.2,67.8,95.3,1444.3,1349.0,-6,144,144,1,0,,,0,0
trial_dof3_v500_n00.csv,3,500,3000,300,0.201342,0.000964,616.3,0.9,94.8,1444.9,1350.1,-8,149,144,1,0,,,0,0
trial_dof3_v1000_n02.csv,3,1000,3000,300,0.201454,0.000981,625.8,1.0,94.4,1444.1,1349.7,-5,139,149,1,0,,,0,0
trial_dof3_v1000_n00.csv,3,1000,3000,300,0.205926,0.000967,626.8,1.6,94.1,1444.3,1350.2,-8,144,147,1,0,,,0,0
trial_dof3_v100_n04.csv,3,100,3000,300,0.205843,0.000953,527.8,30.5,95.0,1116.0,1021.0,-6,76,79,1,0,,,0,0
trial_dof3_v100_n02.csv,3,100,3000,300,0.201080,0.000611,499.2,88.4,96.0,1448.0,1352.0,-8,140,149,1,0,,,0,0
trial_dof3_v1000_n01.csv,3,1000,3000,300,0.201578,0.000977,622.5,56.1,95.5,1445.0,1349.5,-6,137,147,1,0,,,0,0
trial_dof3_v100_n03.csv,3,100,3000,300,0.205543,0.001034,498.8,48.4,95.3,1446.6,1351.3,-6,132,141,1,0,,,0,0
trial_dof3_v750_n02.csv,3,750,3000,300,0.200993,0.000952,624.9,68.0,97.0,1445.0,1348.0,-8,143,140,1,0,,,0,0
trial_dof3_v500_n01.csv,3,500,3000,300,0.200652,0.000604,584.0,48.2,96.0,1444.8,1348.8,-8,150,149,1,0,,,0,0
trial_dof3_v750_n04.csv,3,750,3000,300,0.201396,0.000954,607.7,66.5,97.0,1444.6,1347.6,-6,143,152,1,0,,,0,0
trial_dof3_v250_n04.csv,3,250,3000,300,0.200949,0.000614,557.0,48.3,96.8,1444.1,1347.3,-4,145,150,1,0,,,0,0
trial_dof3_v1000_n04.csv,3,1000,3000,300,0.201835,0.001236,588.5,91.3,97.1,1445.0,1347.9,-6,147,158,1,0,,,0,0
trial_dof3_v750_n00.csv,3,750,3000,300,0.200822,0.000602,601.4,65.3,97.0,1444.2,1347.2,-10,155,159,1,0,,,0,0
trial_dof3_v750_n01.csv,3,750,3000,300,0.205875,0.001132,618.7,77.9,97.0,1445.0,1348.0,-8,156,165,1,0,,,0,0
trial_dof3_v250_n03.csv,3,250,3000,300,0.205633,0.000605,561.4,92.5,98.0,1444.0,1346.0,-8,158,161,1,0,,,0,0
trial_dof3_v100_n01.csv,3,100,3000,300,0.206937,0.001273,506.5,74.9,98.0,1445.2,1347.2,-8,147,154,1,0,,,0,0
trial_dof3_v500_n03.csv,3,500,3000,300,0.201277,0.000969,601.6,113.7,99.0,1444.5,1345.5,-5,156,156,1,0,,,0,0
trial_dof3_v500_n02.csv,3,500,3000,300,0.200722,0.000598,590.3,76.6,98.0,1445.0,1347.0,-8,162,165,1,0,,,0,0
