t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,98,16,63,
0.003901,98,16,0,
0.011813,99,16,0,
0.014344,99,16,0,
0.016178,99,16,0,
0.018119,99,16,0,
0.020290,99,16,0,
0.031442,99,16,0,
0.033325,99,16,0,
0.040881,99,16,0,
0.043043,99,16,0,
0.044872,99,16,0,
0.046729,99,16,0,
0.048661,99,16,0,
0.050749,99,16,0,
0.062296,99,16,0,
0.064455,99,16,0,
0.071391,99,16,0,
0.073213,99,16,0,
0.075192,99,16,0,
0.077623,99,16,0,
0.079459,99,16,0,
0.081315,99,16,0,
0.092158,99,16,0,
0.094377,99,16,0,
0.096263,99,16,0,
0.103582,99,16,0,
0.105411,99,16,0,
0.107276,99,16,0,
0.109443,99,16,0,
0.111320,99,16,0,
0.122398,99,16,0,
0.124423,99,16,0,
0.126301,99,16,0,
0.133667,99,16,0,
0.135451,99,16,0,
0.137377,99,16,0,
0.139214,99,16,0,
0.141052,99,16,0,
0.142896,99,16,0,
0.153917,99,16,0,
0.155763,99,16,0,
0.157586,99,16,0,
0.164565,99,16,0,
0.166884,99,16,0,
0.168794,99,16,0,
0.170967,99,16,0,
0.172955,99,16,0,
0.184364,99,16,0,
0.186559,99,16,0,
0.188807,98,16,0,
0.196087,98,16,0,
0.198626,98,16,0,
0.201586,98,16,0,
0.204775,98,16,0,
0.216244,98,16,0,
0.218146,98,16,0,
0.221031,98,16,0,
0.228059,98,16,0,
0.229940,98,16,0,
0.232181,98,16,0,
0.235119,98,16,0,
0.246647,98,16,125,
0.250503,100,27,125,
0.258006,100,27,125,
0.259843,100,27,125,
0.262382,100,27,125,
0.264920,100,27,125,
0.266728,100,27,125,
0.277676,100,27,125,
0.279811,100,27,108,
0.282041,107,40,108,
0.289435,107,40,108,
0.291610,107,40,108,
0.293488,107,40,108,
0.296923,107,40,108,
0.308651,107,40,108,
0.311707,107,40,108,
0.320007,107,40,108,
0.323402,107,40,108,
0.327005,107,40,108,
0.329863,107,40,108,
0.342140,116,27,125,
0.350809,116,27,125,
0.354579,116,27,125,
0.357948,116,27,125,
0.361114,116,27,125,
0.373228,116,27,125,
0.381775,116,27,125,
0.385592,116,27,125,
0.389093,116,27,125,
0.391525,116,27,79,
0.402893,135,26,79,
0.406013,135,26,79,
0.413426,135,26,79,
0.415340,135,26,79,
0.417208,135,26,79,
0.419773,135,26,79,
0.422491,135,26,76,
0.433874,151,26,76,
0.436100,151,26,76,
0.443508,151,26,76,
0.445411,151,26,76,
0.447933,151,26,76,
0.449856,151,26,76,
0.451719,151,26,76,
0.463256,151,27,96,
0.465141,162,27,96,
0.467342,162,27,96,
0.474884,162,27,96,
0.478663,162,27,96,
0.482359,162,27,106,
0.494309,169,25,106,
0.497205,169,25,106,
0.499352,169,25,106,
0.506890,169,25,106,
0.508797,169,25,106,
0.510628,169,25,106,
0.513237,169,25,106,
0.515129,181,24,76,
0.525988,181,24,76,
0.527866,181,24,76,
0.529745,181,24,76,
0.537094,181,24,76,
0.539351,181,24,76,
0.541547,181,24,76,
0.543437,181,24,76,
0.545610,191,20,90,
0.556472,191,20,90,
0.558343,191,20,90,
0.560134,191,20,90,
0.567461,191,20,90,
0.569679,191,20,90,
0.571894,191,20,90,
0.573790,191,20,94,
0.575675,202,21,94,
0.577914,202,21,94,
0.588820,202,21,94,
0.590722,202,21,94,
0.592903,202,21,94,
0.600151,202,21,94,
0.602051,202,21,94,
0.603935,202,21,94,
0.606161,202,21,95,
0.608008,209,19,95,
0.618950,209,19,95,
0.621115,209,19,95,
0.622941,209,19,95,
0.630004,209,19,95,
0.632255,209,19,95,
0.634113,209,19,95,
0.636347,209,19,75,
0.638220,215,20,75,
0.649276,215,20,75,
0.651142,215,20,75,
0.653714,215,20,75,
0.661568,215,20,75,
0.664581,215,20,75,
0.667596,225,15,99,
0.670577,225,15,99,
0.682211,225,15,99,
0.685054,225,15,99,
0.692236,225,15,99,
0.694106,225,15,99,
0.696323,225,18,87,
