t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,95,-6,,
0.001587,95,,,
0.002275,95,,,
0.002960,95,,,
0.003553,95,,,
0.004506,95,,,
0.005114,95,,,
0.005749,95,,,
0.006387,95,-6,,
0.007935,95,,,
0.008538,95,,,
0.018510,95,,,
0.019456,95,,,
0.020100,95,,,
0.021074,95,,,
0.022039,95,,,
0.023001,95,-6,,
0.029828,95,,,
0.030664,95,,,
0.031598,95,,,
0.032522,95,,,
0.033135,95,,,
0.033748,95,,,
0.034333,95,,,
0.035087,95,-6,,
0.036649,95,,,
0.037465,95,,,
0.038060,95,,,
0.038709,95,,,
0.039280,95,,,
0.039936,95,,,
0.049670,95,,,
0.050575,95,-6,,
0.051837,95,,,
0.052472,95,,,
0.053067,95,,,
0.054014,95,,,
0.054636,95,,,
0.060750,95,,,
0.061620,95,,,
0.062224,95,-6,,
0.063482,95,,,
0.064174,95,,,
0.065086,95,,,
0.065653,95,,,
0.066250,95,,,
0.066903,95,,,
0.067529,95,,,
0.068115,95,-6,,
0.069391,95,,,
0.070414,95,,,
0.071260,95,,,
0.080856,95,,,
0.081809,95,,,
0.082430,95,,,
0.083059,95,,,
0.084019,95,-6,,
0.085959,95,,,
0.091682,95,,,
0.092275,95,,,
0.092904,95,,,
0.093527,95,,,
0.094133,95,,,
0.094783,95,,,
0.095422,95,-6,,
0.096685,95,,,
0.097621,95,,,
0.098261,95,,,
0.098870,95,,,
0.099528,95,,,
0.100160,95,,,
0.100778,95,,,
0.101424,95,-6,,
0.111717,95,,,
0.112669,95,,,
0.113304,95,,,
0.113924,95,,,
0.114890,95,,,
0.115885,95,,,
0.116863,95,,,
0.122939,95,-6,,
0.124160,95,,,
0.124802,95,,,
0.125414,95,,,
0.126048,95,,,
0.126660,95,,,
0.127642,95,,,
0.128260,95,,,
0.128891,95,-6,,
0.130212,95,,,
0.130848,95,,,
0.131444,95,,,
0.132084,95,,,
0.132681,96,,,
0.142531,96,,,
0.143481,96,,,
0.144426,96,-6,,
0.146345,96,,,
0.147300,96,,,
0.147942,96,,,
0.153733,96,,,
0.154702,96,,,
0.155368,96,,,
0.156338,96,,,
0.157278,96,-6,,
0.158852,96,,,
0.159446,96,,,
0.160091,96,,,
0.160693,96,,,
0.161292,96,,,
0.161920,96,,,
0.162539,96,,,
0.163122,96,-6,,
0.173522,96,,,
0.174127,96,,,
0.175068,96,,,
0.175704,96,,,
0.176307,96,,,
0.176956,96,,,
0.177906,96,,,
0.178562,96,-6,,
0.185540,96,,,
0.186606,96,,,
