t_s,force_g,pos_act,current_mA
0.013032,-16,769,-89
0.043109,-12,,
0.049528,-12,,
0.057038,-12,,
0.063470,-12,,
0.074162,51,,
0.087103,51,,
0.093566,51,,
0.105405,115,812,145
0.136549,116,,
0.147322,116,,
0.153790,116,,
0.167579,99,,
0.179889,99,,
0.186398,92,,
0.198227,92,,
0.210111,92,1053,105
0.241436,88,,
0.248978,90,,
0.260866,90,,
0.272631,90,,
0.279011,93,,
0.291912,93,,
0.303797,93,,
0.310214,106,1327,85
0.336219,136,,
0.342795,136,,
0.353618,136,,
0.365471,1110,,
0.372983,1110,,
0.384748,1110,,
0.397035,3538,,
