speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,100,5,7.0,5.4,3.8,1.0,9.0,0.0,10.0,107.0,0
25,250,5,29.0,28.0,4.7,23.0,32.5,21.0,35.0,279.0,0
25,500,5,64.0,319.2,527.0,43.0,723.0,42.0,1373.0,564.0,0
25,750,5,73.0,66.8,16.9,48.0,82.5,40.0,88.0,823.0,0
25,1000,5,69.0,69.2,15.2,55.0,83.5,45.0,92.0,1069.0,0
50,100,5,15.0,12.0,9.3,1.0,21.5,0.0,22.0,115.0,0
50,250,5,81.0,48.6,84.0,-22.0,103.0,-117.0,115.0,331.0,0
50,500,5,112.0,104.4,16.6,86.5,118.5,75.0,121.0,612.0,0
50,750,5,100.0,-39.0,288.6,-259.5,112.0,-616.0,114.0,850.0,1
50,1000,5,122.0,113.2,40.4,68.5,153.5,49.0,159.0,1122.0,0
100,100,5,5.0,8.6,5.4,4.0,15.0,4.0,17.0,105.0,0
100,250,5,139.0,136.8,46.8,94.0,178.5,55.0,198.0,389.0,0
100,500,5,202.0,192.0,24.4,163.5,215.5,163.0,224.0,702.0,0
100,750,5,392.0,411.0,172.7,265.0,566.5,174.0,710.0,1142.0,0
100,1000,5,439.0,438.8,26.3,410.0,467.5,402.0,471.0,1439.0,0
250,100,5,36.0,34.0,7.5,25.5,41.5,23.0,43.0,136.0,0
250,250,5,336.0,242.4,181.8,23.0,415.0,6.0,419.0,586.0,0
250,500,5,637.0,509.6,249.7,208.5,747.0,200.0,772.0,1137.0,0
250,750,5,1108.0,1198.0,569.4,707.5,1733.5,332.0,2105.0,1858.0,1
250,1000,5,1640.0,1352.4,512.5,768.0,1793.0,492.0,1852.0,2640.0,3
500,100,5,24.0,18.8,11.3,6.5,28.5,-1.0,30.0,124.0,0
500,250,5,1604.0,1523.0,840.9,688.5,2317.0,166.0,2723.0,1854.0,1
500,500,5,2466.0,2279.6,419.5,1944.0,2522.0,1443.0,2534.0,2966.0,4
500,750,5,2194.0,2204.8,47.9,2160.5,2254.5,2153.0,2289.0,2944.0,5
500,1000,5,2021.0,2011.6,42.7,1963.5,2055.0,1946.0,2059.0,3021.0,5
750,100,5,28.0,22.8,11.6,11.0,32.0,1.0,32.0,128.0,0
750,250,5,3005.0,3138.2,212.7,2968.5,3374.5,2947.0,3513.0,3255.0,5
750,500,5,3096.0,3106.4,22.5,3085.0,3133.0,3080.0,3137.0,3596.0,5
750,750,5,2726.0,2698.0,86.8,2598.0,2784.0,2585.0,2814.0,3476.0,5
750,1000,5,2273.0,2354.0,144.9,2236.5,2512.0,2211.0,2611.0,3273.0,5
1000,100,5,36.0,86.0,104.5,30.5,166.5,29.0,295.0,136.0,0
1000,250,5,3263.0,3265.2,125.1,3136.0,3395.5,3062.0,3396.0,3513.0,5
1000,500,5,2917.0,2922.6,207.7,2694.0,3154.0,2650.0,3162.0,3417.0,5
1000,750,5,2865.0,2308.6,1109.0,1440.0,2899.0,92.0,2901.0,3615.0,4
1000,1000,5,2502.0,2443.0,137.7,2286.0,2570.5,2271.0,2638.0,3502.0,5
