trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted
A_dof3_v100_F250_n04.csv,3,100,250,448,198,209,2406,1251,78,0
A_dof3_v50_F100_n04.csv,3,50,100,102,2,25,3794,836,78,0
A_dof3_v250_F250_n01.csv,3,250,250,586,336,118,1054,870,78,0
A_dof3_v500_F1000_n01.csv,3,500,1000,3051,2051,455,601,1125,77,1
A_dof3_v1000_F100_n03.csv,3,1000,100,395,295,-23,403,1121,80,0
A_dof3_v100_F500_n01.csv,3,100,500,702,202,407,2462,842,78,0
A_dof3_v750_F100_n02.csv,3,750,100,101,1,-5,93,,78,0
A_dof3_v50_F750_n04.csv,3,50,750,867,117,666,4911,826,79,0
A_dof3_v500_F100_n00.csv,3,500,100,99,-1,-8,136,,78,0
A_dof3_v1000_F750_n04.csv,3,1000,750,3615,2865,425,403,984,77,1
A_dof3_v500_F500_n04.csv,3,500,500,3010,2510,439,601,989,77,1
A_dof3_v250_F500_n03.csv,3,250,500,700,200,452,1024,872,78,0
A_dof3_v250_F750_n02.csv,3,250,750,2112,1362,950,1086,872,78,0
A_dof3_v100_F1000_n04.csv,3,100,1000,1418,418,935,2543,842,78,0
A_dof3_v100_F1000_n01.csv,3,100,1000,1464,464,944,2574,843,78,0
A_dof3_v750_F1000_n00.csv,3,750,1000,3413,2413,298,446,1033,74,1
A_dof3_v100_F100_n01.csv,3,100,100,104,4,15,167,,78,0
A_dof3_v750_F1000_n02.csv,3,750,1000,3273,2273,310,453,1251,77,1
A_dof3_v25_F1000_n02.csv,3,25,1000,103,-897,74,590,821,78,0
A_dof3_v100_F750_n03.csv,3,100,750,1460,710,904,2543,842,79,0
A_dof3_v50_F750_n03.csv,3,50,750,961,211,758,4930,1225,78,0
A_dof3_v25_F250_n00.csv,3,25,250,104,-146,81,633,821,78,0
A_dof3_v50_F750_n01.csv,3,50,750,929,179,758,4929,824,78,0
A_dof3_v750_F500_n04.csv,3,750,500,3637,3137,382,465,1263,75,1
A_dof3_v750_F250_n01.csv,3,750,250,3197,2947,276,447,972,76,1
A_dof3_v100_F250_n03.csv,3,100,250,305,55,189,2450,842,78,0
A_dof3_v500_F100_n04.csv,3,500,100,114,14,-7,104,,79,0
A_dof3_v1000_F500_n04.csv,3,1000,500,3662,3162,250,404,974,79,1
A_dof3_v750_F750_n04.csv,3,750,750,3476,2726,258,445,843,76,1
A_dof3_v500_F500_n00.csv,3,500,500,2966,2466,446,601,986,77,1
A_dof3_v50_F250_n02.csv,3,50,250,350,100,214,4744,821,78,0
A_dof3_v1000_F500_n02.csv,3,1000,500,3646,3146,403,404,985,79,1
A_dof3_v1000_F500_n03.csv,3,1000,500,3150,2650,296,391,974,82,1
A_dof3_v250_F750_n04.csv,3,250,750,1833,1083,763,1085,821,78,0
A_dof3_v750_F1000_n03.csv,3,750,1000,3262,2262,288,435,1032,76,1
A_dof3_v500_F100_n01.csv,3,500,100,127,27,-11,124,,79,0
A_dof3_v50_F250_n04.csv,3,50,250,348,98,238,4732,826,78,0
A_dof3_v1000_F1000_n04.csv,3,1000,1000,3271,2271,331,392,972,79,1
A_dof3_v25_F100_n02.csv,3,25,100,105,5,89,404,,78,0
A_dof3_v50_F1000_n02.csv,3,50,1000,1191,191,803,5009,821,78,0
A_dof3_v25_F250_n04.csv,3,25,250,94,-156,90,5468,840,78,0
A_dof3_v25_F250_n01.csv,3,25,250,101,-149,86,1075,826,78,0
A_dof3_v1000_F250_n01.csv,3,1000,250,3646,3396,396,404,985,77,1
A_dof3_v250_F1000_n04.csv,3,250,1000,2640,1640,379,1097,870,77,1
A_dof3_v250_F1000_n02.csv,3,250,1000,2734,1734,668,1148,871,78,1
A_dof3_v750_F750_n00.csv,3,750,750,3361,2611,300,445,1032,74,1
A_dof3_v250_F500_n02.csv,3,250,500,1222,722,386,1228,1138,77,0
A_dof3_v25_F500_n04.csv,3,25,500,115,-385,77,807,827,78,0
A_dof3_v1000_F250_n02.csv,3,1000,250,3312,3062,320,391,973,79,1
A_dof3_v250_F250_n02.csv,3,250,250,290,40,92,973,890,78,0
A_dof3_v25_F750_n02.csv,3,25,750,115,-635,86,837,821,78,0
A_dof3_v50_F1000_n01.csv,3,50,1000,1219,219,930,4991,826,78,0
A_dof3_v25_F100_n01.csv,3,25,100,104,4,69,415,,77,0
A_dof3_v500_F250_n01.csv,3,500,250,416,166,128,639,982,78,0
A_dof3_v25_F500_n02.csv,3,25,500,112,-388,89,787,821,78,0
A_dof3_v100_F100_n04.csv,3,100,100,105,5,11,167,,78,0
A_dof3_v25_F1000_n01.csv,3,25,1000,107,-893,87,745,821,78,0
A_dof3_v250_F750_n03.csv,3,250,750,1858,1108,929,1054,822,78,0
A_dof3_v1000_F1000_n03.csv,3,1000,1000,3503,2503,376,383,842,76,1
A_dof3_v50_F250_n01.csv,3,50,250,384,134,315,4761,824,78,0
A_dof3_v25_F250_n02.csv,3,25,250,98,-152,97,5809,820,78,0
A_dof3_v50_F500_n04.csv,3,50,500,620,120,467,4848,825,78,0
A_dof3_v25_F1000_n00.csv,3,25,1000,116,-884,90,849,821,79,0
A_dof3_v250_F1000_n00.csv,3,250,1000,2044,1044,868,1086,888,78,0
A_dof3_v50_F1000_n00.csv,3,50,1000,1220,220,844,5010,821,78,0
A_dof3_v100_F500_n03.csv,3,100,500,663,163,387,2462,842,78,0
A_dof3_v500_F750_n03.csv,3,500,750,2903,2153,421,590,980,78,1
A_dof3_v750_F100_n00.csv,3,750,100,121,21,-10,136,,77,0
A_dof3_v100_F100_n03.csv,3,100,100,104,4,19,187,821,78,0
A_dof3_v50_F100_n02.csv,3,50,100,111,11,55,354,,78,0
A_dof3_v1000_F750_n00.csv,3,1000,750,3538,2788,373,384,1053,81,1
A_dof3_v750_F500_n03.csv,3,750,500,3629,3129,392,465,981,75,1
A_dof3_v1000_F250_n04.csv,3,1000,250,3513,3263,381,391,1076,77,1
A_dof3_v100_F750_n02.csv,3,100,750,1173,423,739,2530,829,80,0
A_dof3_v100_F100_n00.csv,3,100,100,117,17,19,174,,78,0
A_dof3_v1000_F750_n03.csv,3,1000,750,3651,2901,409,404,986,79,1
A_dof3_v500_F750_n01.csv,3,500,750,2944,2194,470,601,987,78,1
A_dof3_v250_F500_n01.csv,3,250,500,1272,772,420,1066,872,78,0
A_dof3_v25_F750_n04.csv,3,25,750,124,-626,101,880,827,78,0
A_dof3_v750_F100_n03.csv,3,750,100,128,28,-8,136,842,78,0
A_dof3_v250_F1000_n01.csv,3,250,1000,1492,492,634,1166,782,78,0
A_dof3_v25_F250_n03.csv,3,25,250,133,-117,108,943,827,78,0
