t_s,pos_act,force_g,current_mA
0.006755,98,-41,0
0.039144,98,-39,36
0.070254,98,-37,47
0.101305,98,-22,73
0.131922,108,-9,98
0.164360,110,-2,72
0.193295,114,-2,75
0.224435,117,-4,91
0.255431,119,0,104
0.286304,123,-3,82
0.318327,132,-9,102
0.350164,137,-10,102
0.379249,142,-12,89
0.410164,148,-16,89
0.442669,153,-20,90
0.472997,158,-24,106
0.503024,162,-23,106
0.535916,162,-23,84
0.565105,170,-22,78
0.596411,173,-18,105
0.628618,177,-16,77
0.659134,184,-16,84
0.690322,189,-18,68
0.720925,193,-18,85
0.751718,197,-16,98
0.782027,202,-15,85
0.815323,204,-15,39
0.844443,211,-19,83
0.875311,216,-19,87
0.908129,222,-19,100
0.937897,229,-17,86
0.968752,231,-17,64
1.000869,235,-18,72
1.031378,241,-19,83
1.062297,244,-20,82
1.093652,248,-19,59
1.124201,253,-18,75
1.154530,258,-18,84
1.186201,263,-19,72
1.216756,266,-21,93
1.248526,270,-20,96
1.280365,278,-19,63
1.309205,283,-19,66
1.341124,287,-21,73
1.371882,291,-22,71
1.402631,297,-21,94
1.432914,301,-20,77
1.466252,306,-21,72
1.495329,310,-22,80
1.527605,317,-23,74
1.557680,322,-23,94
1.589229,327,-21,66
1.619865,329,-21,76
1.651504,336,-22,71
1.681861,340,-23,94
1.713190,343,-24,101
1.744626,346,-24,96
1.775821,352,-23,69
1.807056,357,-23,69
1.837220,357,-24,72
1.868689,368,-25,72
1.899482,373,-23,92
1.929835,377,-23,71
1.961303,382,-23,89
1.986174,387,-23,75
2.017280,391,-25,80
2.048021,397,-25,91
2.079618,400,-20,72
2.109609,403,-20,73
2.141188,406,-20,68
2.172233,410,-18,97
2.202594,415,-15,91
2.233341,427,-13,71
2.264986,431,-14,103
2.296298,435,-14,91
2.326910,439,-11,109
2.357624,443,-9,75
2.382492,443,-9,89
2.408336,448,-10,91
2.439096,453,-10,74
2.469615,461,-7,109
2.501165,466,-5,79
2.531278,472,-6,93
2.563526,477,-7,103
2.594766,479,-7,112
2.626005,481,-7,111
2.656584,486,-6,107
2.686669,491,-5,82
2.718835,494,-4,91
2.750117,500,-5,75
2.780480,504,-5,92
2.811804,509,-5,108
2.843045,513,-2,99
2.873270,517,0,87
2.904406,523,0,82
2.935366,530,-1,86
2.966057,534,-2,81
2.997534,539,-2,103
3.028176,544,-1,101
3.059711,549,-1,101
3.090304,560,-2,85
3.121881,562,-1,114
3.152731,567,0,79
3.183329,572,-2,85
3.213904,577,-2,91
3.245246,581,-1,109
3.276148,583,1,80
3.307014,588,0,95
3.338769,592,-2,103
3.369199,595,0,86
3.400490,597,2,66
3.431205,602,2,71
3.462205,606,2,79
3.493788,614,1,87
3.524495,619,1,76
3.554959,625,2,109
3.586172,628,4,97
3.617316,630,5,73
3.648590,634,6,74
3.679844,639,6,74
3.711043,649,3,55
3.740941,656,3,70
3.772172,660,4,110
3.804548,663,6,97
3.834818,666,7,88
3.865365,671,7,93
3.896508,677,5,94
3.927842,685,4,69
3.958642,691,7,81
3.989007,696,5,102
4.020199,700,6,69
4.051771,703,7,95
4.081792,706,4,90
4.113770,711,6,85
4.144484,715,6,76
4.175127,719,4,76
4.206296,724,3,80
4.237142,727,3,80
4.268737,727,6,106
4.299169,736,6,106
4.329942,742,6,72
4.361504,745,7,81
