t_s,pos_act,force_g,current_mA
0.008576,98,0,0
0.010726,98,0,0
0.012949,98,0,0
0.020179,98,0,0
0.022044,98,0,0
0.023934,99,0,0
0.026197,99,0,0
0.028007,99,0,0
0.029960,99,0,0
0.040834,99,0,0
0.042758,99,0,0
0.044690,99,0,0
0.052116,99,0,37
0.054985,100,1,37
0.057851,100,1,37
0.060108,100,1,37
0.072051,100,1,37
0.075920,100,1,37
0.083774,100,3,80
0.085674,100,3,80
0.088255,100,3,80
0.090889,100,3,80
0.102442,100,3,80
0.104968,100,3,80
0.106861,100,3,80
0.114218,108,27,79
0.116135,108,27,79
0.117946,108,27,79
0.120817,108,27,79
0.132564,108,27,79
0.135544,108,27,79
0.143892,108,41,79
0.146377,111,41,79
0.148983,111,41,79
0.151259,111,41,79
0.154191,111,41,79
0.165670,111,41,79
0.168611,111,41,79
0.176597,111,41,79
0.179489,111,41,79
0.182470,111,41,79
0.185042,111,41,79
0.196466,111,41,79
0.199399,116,44,91
0.206898,116,44,91
0.209844,116,44,91
0.212763,116,44,91
0.215343,116,44,91
0.226633,116,44,91
0.229229,116,44,104
0.236938,118,49,104
0.239829,118,49,104
0.242409,118,49,104
0.244648,118,49,104
0.247207,118,49,104
0.258240,118,49,104
0.260778,118,49,112
0.267856,119,49,112
0.270815,119,49,112
0.273292,119,49,112
0.275167,119,49,112
0.277625,119,49,112
0.289070,119,49,112
0.290879,119,49,112
0.292863,125,41,69
0.300325,125,41,69
0.303531,125,41,69
0.306916,125,41,69
0.318686,125,41,69
0.321859,135,38,93
0.324055,135,38,93
0.332060,135,38,93
0.333947,135,38,93
0.336868,135,38,93
0.339807,135,38,93
0.351095,135,38,93
0.354279,139,36,105
0.362186,139,36,105
0.365645,139,36,105
0.369325,139,36,105
0.381650,139,36,105
0.384895,139,36,105
0.393208,139,36,105
0.396958,139,36,105
0.399507,139,36,105
0.402067,139,36,105
0.413541,151,29,89
0.416564,151,29,89
0.425686,151,29,89
0.428624,151,29,89
0.430633,151,29,89
0.432796,151,29,89
0.444217,151,29,89
0.446407,151,29,89
0.453683,151,29,89
0.455865,151,29,89
0.457740,151,29,89
0.459972,151,29,89
0.462939,151,29,89
0.474396,160,21,80
0.476324,160,21,80
0.478529,160,21,80
0.486691,160,21,80
0.489650,160,21,80
0.492241,160,21,80
0.494811,164,20,95
0.505665,164,20,95
0.507574,164,20,95
0.509431,164,20,95
0.516628,164,20,95
0.518917,164,20,95
0.521958,164,20,95
0.524841,164,17,97
0.536429,168,17,97
0.538877,168,17,97
0.540890,168,17,97
0.548786,168,17,97
0.551648,168,17,97
0.553434,168,17,97
0.555321,168,12,76
0.566459,171,12,76
0.568927,171,12,76
0.570775,171,12,76
0.577880,171,12,76
0.579987,171,12,76
0.582223,171,12,76
0.584457,171,12,87
0.586645,176,9,87
0.598468,176,9,87
0.601375,176,9,87
0.609125,176,9,87
0.611669,176,9,87
0.614199,176,9,87
0.617066,176,10,108
0.618913,181,10,108
0.629935,181,10,108
0.632561,181,10,108
0.640617,181,10,108
0.643633,181,10,108
0.646610,181,19,87
0.648889,188,19,87
0.660514,188,19,87
0.663537,188,19,87
0.671708,188,19,87
0.674791,188,19,87
0.678062,192,21,98
0.680698,192,21,98
0.693507,192,21,98
0.702233,192,21,98
0.705839,192,21,65
0.709040,196,19,65
0.711633,196,19,65
0.724170,196,19,65
0.727104,196,19,65
0.735074,196,19,65
0.738426,199,19,81
0.741565,199,19,81
0.753816,199,19,81
0.756818,199,19,81
0.764584,199,19,81
0.766999,199,21,88
0.769922,202,21,88
0.772532,202,21,88
0.784610,202,21,88
0.787597,202,21,88
0.796133,202,21,88
0.800042,206,22,95
0.803580,206,22,95
0.815069,206,22,95
0.817320,206,22,95
0.819212,206,22,95
0.826261,206,22,95
0.828129,206,22,84
0.830056,212,21,84
0.831949,212,21,84
0.834500,212,21,84
0.846602,212,21,84
0.849556,212,21,84
0.857878,212,21,88
0.860145,216,22,88
0.862398,216,22,88
0.864306,216,22,88
0.866374,216,22,88
0.877916,216,22,88
0.880438,216,22,88
0.888820,216,21,79
0.891005,221,21,79
0.893252,221,21,79
0.895793,221,21,79
0.907472,221,21,79
0.909978,221,21,79
0.911886,221,21,79
0.919581,227,20,61
0.922099,227,20,61
0.924342,227,20,61
0.927710,227,20,61
0.939577,227,20,61
0.942482,227,20,61
0.950110,230,19,84
0.953344,230,19,84
0.956425,230,19,84
0.959408,230,19,84
0.970856,230,19,84
0.973795,230,19,84
0.981893,230,19,84
0.984472,230,19,84
0.986344,230,19,84
0.988597,230,19,84
0.990884,230,19,84
1.002933,230,19,84
1.005855,230,19,84
1.012869,230,19,84
1.014788,230,19,84
1.017458,230,19,84
1.020085,230,19,84
1.031587,230,19,84
1.034572,230,19,97
1.042670,243,22,97
1.045274,243,22,97
1.047839,243,22,97
1.051041,243,22,97
1.062877,243,22,77
1.066520,248,21,77
1.074938,248,21,77
1.076886,248,21,77
1.079144,248,21,77
1.081131,248,21,77
1.083579,248,21,77
1.095032,248,21,77
1.097944,253,20,71
1.105596,253,20,71
1.108194,253,20,71
1.111112,253,20,71
1.113700,253,20,71
1.124808,253,20,71
1.127763,253,20,71
1.135607,253,20,71
1.138568,253,20,71
1.141498,253,20,71
1.143721,253,20,71
1.155561,253,20,89
1.158534,264,23,89
1.161529,264,23,89
1.168422,264,23,89
1.170967,264,23,89
1.173499,264,23,89
1.176124,264,23,89
1.187510,264,23,89
1.190033,264,23,89
1.197614,264,23,89
1.199522,264,23,89
1.201791,264,23,89
1.203666,264,23,89
1.206221,264,23,89
1.217516,264,23,89
1.220385,270,23,77
1.222579,270,23,77
1.229861,270,23,77
1.231922,270,23,77
1.233997,270,23,77
1.236150,270,23,77
1.238632,270,23,65
1.249637,278,21,65
1.252220,278,21,65
1.259979,278,21,65
1.262126,278,21,65
1.264660,278,21,65
1.267254,278,21,65
1.270078,278,21,62
1.280638,283,20,62
1.282902,283,20,62
1.290717,283,20,62
1.293785,283,20,62
1.295936,283,20,62
1.297844,283,20,62
1.299784,283,20,78
1.310779,286,22,78
1.312953,286,22,78
1.315305,286,22,78
1.322834,286,22,78
1.325403,286,22,78
1.327658,286,22,78
1.330237,286,22,69
1.341783,290,22,69
1.345118,290,22,69
1.353069,290,22,69
1.355975,290,22,69
1.359531,290,22,69
1.363061,296,20,71
1.375462,296,20,71
1.383784,296,20,71
1.387032,296,20,71
1.390362,296,20,71
1.394153,301,19,58
1.406354,301,19,58
1.415084,301,19,58
1.418926,301,19,58
1.422614,301,19,104
1.434832,303,19,104
1.438894,303,19,104
1.447518,303,19,104
1.450985,303,19,104
1.454067,305,21,100
1.465828,305,21,100
1.469560,305,21,100
1.477822,305,21,100
1.480771,305,21,100
1.483752,310,21,83
1.486431,310,21,83
1.497830,310,21,83
1.501161,310,21,83
1.509240,310,21,83
1.512439,310,21,80
1.514693,317,21,80
1.517627,317,21,80
1.529580,317,21,80
1.531880,317,21,80
1.540618,317,21,77
1.544528,322,20,77
1.548464,322,20,77
1.561087,322,20,77
1.569945,322,20,77
1.573661,325,19,50
1.577524,325,19,50
1.589699,325,19,50
1.592692,325,19,50
1.600739,325,19,50
1.603749,329,19,79
1.606661,329,19,79
1.609247,329,19,79
1.620484,329,19,79
1.622774,329,19,79
1.625317,329,19,79
1.633086,329,20,102
1.635047,334,20,102
1.638188,334,20,102
1.641269,334,20,102
1.652710,334,20,102
1.655269,334,20,102
1.662637,334,20,102
1.664863,334,20,102
1.667056,334,20,102
1.669005,334,20,102
1.670906,334,20,102
1.683127,334,20,102
1.686224,334,20,102
1.693765,334,21,102
1.696291,343,21,102
1.698525,343,21,102
1.700751,343,21,102
1.703756,343,21,102
1.715372,343,21,102
1.718301,343,21,102
1.726007,347,21,84
1.728271,347,21,84
1.731143,347,21,84
1.734125,347,21,84
1.745128,347,21,84
1.747810,347,21,84
1.755691,352,21,98
1.758620,352,21,98
1.761214,352,21,98
1.763103,352,21,98
1.765719,352,21,98
1.777893,352,21,98
1.781064,352,21,98
1.788805,352,21,98
1.790926,352,21,98
1.793235,352,21,98
1.795067,352,21,98
1.796925,352,21,98
1.808250,352,21,98
1.810512,352,19,87
1.818841,363,19,87
