t_s,pos_act,force_g,current_mA
0.011183,98,0,0
0.043272,98,0,0
0.074914,98,0,87
0.105521,106,40,96
0.136735,109,37,122
0.167105,112,35,116
0.198255,116,32,101
0.228797,119,27,111
0.260686,124,32,90
0.291539,131,38,82
0.322726,135,37,93
0.352789,144,37,84
0.384419,151,38,106
0.415162,155,39,101
0.446166,161,40,51
0.477638,169,38,113
0.507991,170,37,81
0.539038,172,38,82
0.570358,177,37,77
0.600720,184,35,93
0.631833,189,34,86
0.663201,194,36,86
0.693941,194,36,84
0.725225,202,34,82
0.756287,205,33,79
0.787118,206,33,57
0.817744,211,31,79
0.848697,216,30,72
0.879805,229,30,85
0.910719,229,31,112
0.942071,234,31,67
0.973009,237,32,59
1.003509,243,32,64
1.034896,250,30,82
1.066431,256,28,86
1.096428,259,27,82
1.127840,263,29,72
1.159098,266,29,95
1.189357,269,27,89
1.220410,274,27,88
1.252021,280,27,102
1.282437,285,29,102
1.314058,285,29,79
1.345277,299,30,89
1.375967,301,32,70
1.406678,302,32,78
1.438337,304,30,83
1.468856,308,30,76
1.499341,315,28,71
1.530684,325,28,98
1.562029,329,30,94
1.593135,337,33,54
1.624258,342,34,92
1.655560,342,34,92
1.685515,347,37,99
1.716886,347,37,75
1.748819,352,45,71
1.778995,358,49,75
1.809158,365,49,89
1.841775,372,48,90
1.872261,379,48,77
1.902378,385,53,99
1.934076,389,51,105
1.964364,392,54,88
1.996092,394,54,94
2.027839,398,53,84
2.057634,401,55,108
2.088470,403,55,92
2.120233,411,54,83
2.150194,417,55,93
2.181864,425,57,93
2.213397,430,59,77
2.243690,435,58,83
2.274017,438,55,94
2.306237,443,54,87
2.336635,449,55,80
2.368370,452,58,86
2.398833,456,57,89
2.430185,459,55,88
2.461408,464,54,108
2.486683,470,56,108
2.511949,477,58,72
2.542954,479,57,83
2.573384,480,55,86
2.604128,485,54,110
2.635152,489,55,96
2.667079,493,57,88
2.697537,498,59,83
2.729252,503,60,84
2.759588,509,60,88
2.791272,513,59,91
2.822212,518,61,109
2.853757,523,65,90
2.883952,528,67,78
2.915081,532,66,100
2.946016,537,65,91
2.977182,546,67,106
3.007949,553,69,66
3.039698,558,69,87
3.069978,562,68,95
3.101074,567,67,100
3.131882,574,69,72
3.163429,576,66,86
3.193660,581,65,69
3.225146,582,69,87
3.255399,585,67,79
3.287061,589,65,104
3.317787,593,67,105
3.348859,597,68,112
3.379914,600,70,101
