t_s,pos_act,force_g,current_mA
0.006665,93,-48,0
0.039101,93,-48,70
0.069458,94,-47,107
0.101041,101,-47,107
0.131309,101,3,86
0.162719,110,7,83
0.194303,115,7,110
0.225585,120,8,105
0.255335,124,10,77
0.286692,125,12,73
0.318270,127,13,71
0.348744,133,11,56
0.379396,143,13,61
0.411099,149,12,97
0.441678,155,10,100
0.471898,160,10,80
0.503059,164,11,75
0.535395,168,13,77
0.565945,173,12,100
0.596556,178,12,84
0.628340,180,10,75
0.658203,185,11,52
0.690026,189,12,36
0.721654,195,13,36
0.751540,195,11,75
0.782457,201,10,80
0.816276,207,9,94
0.844622,211,10,62
0.874369,217,11,73
0.906518,220,10,92
0.937105,226,9,87
0.968377,231,9,80
1.001547,238,11,56
1.031507,245,10,86
1.061339,249,9,103
1.093567,252,9,84
1.123172,256,10,41
1.154787,261,11,60
1.186739,266,11,85
1.217378,270,10,79
1.247739,274,9,89
1.279261,278,8,87
1.309811,281,8,70
1.341466,285,7,54
1.373124,292,9,58
1.402657,299,8,89
1.433790,306,7,76
1.465174,309,7,85
1.496050,314,8,53
1.527282,317,9,93
1.557355,322,8,83
1.589168,326,7,65
1.614173,329,9,44
1.644421,333,10,47
1.675168,336,9,105
1.706367,340,8,87
1.737453,347,7,85
1.768412,357,9,69
1.799658,360,9,53
1.830083,364,8,64
1.861242,369,8,92
1.891874,375,7,91
1.923137,381,8,80
1.954364,385,9,57
1.986040,389,9,89
2.016168,392,8,79
2.047845,396,8,76
2.078201,399,9,37
2.109516,404,10,43
2.140162,410,10,81
2.171707,415,9,97
2.202324,418,8,98
2.233099,422,8,75
2.264303,424,8,51
2.295579,431,8,72
2.325886,437,8,110
2.356597,442,8,103
2.387799,445,7,89
2.419332,457,9,69
2.449802,460,10,53
2.480966,464,9,89
2.512355,466,9,83
2.542590,471,9,73
2.573846,478,8,75
2.605300,478,8,60
2.635441,487,9,82
2.666702,492,8,82
2.698711,495,8,76
2.729724,502,8,69
2.760161,508,8,85
2.790648,513,8,96
2.821889,516,8,85
2.853333,520,10,67
2.883908,522,9,104
2.914947,525,9,97
2.945466,529,9,76
2.976476,532,9,54
3.008142,545,9,69
3.038930,550,9,70
3.069606,557,10,58
3.100388,559,10,81
3.132233,561,9,100
3.163203,566,9,92
3.194121,573,8,79
3.225165,573,8,77
3.255214,582,10,97
3.286316,587,10,100
3.317676,589,9,91
3.349366,595,9,64
3.379975,601,11,35
3.411001,604,11,78
3.441449,608,11,99
3.473005,613,11,79
3.504635,617,13,51
3.535093,622,12,77
3.565731,625,11,88
3.597231,630,10,87
3.627689,635,10,79
3.658317,650,11,76
3.690673,653,10,85
3.721008,657,11,66
3.751238,659,12,92
3.784147,662,11,89
3.813221,664,11,82
3.844558,670,12,62
3.876586,676,13,37
3.906915,683,15,83
3.937284,685,14,88
3.969581,688,13,77
3.999852,693,13,65
4.030007,699,13,43
4.062446,704,14,95
4.093827,711,13,79
4.124192,714,14,47
4.155161,717,14,91
4.187068,721,14,93
4.217924,729,14,84
4.247931,731,14,92
4.279190,737,15,56
4.310303,743,16,40
4.341477,748,16,75
4.372660,752,15,79
4.402871,757,15,73
4.434817,760,16,67
4.465861,765,17,87
4.495869,769,16,103
4.527299,774,15,87
4.557774,778,15,76
4.589536,783,15,56
4.620305,787,17,79
4.651269,792,17,122
4.682263,797,16,112
4.712940,801,17,76
4.744149,804,18,65
4.775363,810,18,110
4.805969,814,18,91
4.836568,817,18,78
4.867862,825,18,84
4.899250,830,19,79
4.929472,835,19,66
4.961128,840,19,90
4.991593,846,19,67
5.022377,849,19,75
5.054092,855,19,102
5.085206,855,19,73
5.115605,865,18,56
5.147035,873,20,89
5.177679,876,19,72
5.208898,878,19,80
5.239544,879,21,83
5.271306,881,21,83
5.301527,881,21,78
