t_s,pos_act,force_g,current_mA
0.006948,94,28,0
0.035219,94,28,0
0.066454,99,42,94
0.097914,103,57,93
0.127977,108,65,77
0.159870,113,65,30
0.190945,119,67,95
0.221286,123,65,95
0.252707,123,65,97
0.284048,131,64,53
0.314210,136,63,56
0.345644,141,62,105
0.376604,145,62,99
0.408669,152,64,69
0.439029,155,64,101
0.469975,159,64,106
0.500929,163,63,88
0.531942,168,65,45
0.563407,172,66,34
0.593444,178,66,50
0.624958,182,64,75
0.655002,187,63,99
0.685903,194,62,75
0.717448,198,62,72
0.748773,202,63,48
0.778751,208,64,129
0.809887,213,63,100
0.842187,217,61,77
0.872347,221,61,77
0.904257,221,62,78
0.934350,229,62,96
0.964750,233,62,78
0.996312,236,62,81
1.028309,239,62,82
1.057756,245,62,64
1.088779,252,62,46
1.121266,255,62,54
1.151407,266,60,84
1.182863,271,59,85
1.213226,275,62,69
1.244579,279,61,71
1.274514,282,61,101
1.307209,285,60,92
1.337389,290,60,81
1.367560,296,60,54
1.400186,301,61,32
1.430830,306,62,92
1.461088,308,61,112
1.493857,313,61,65
1.523655,318,60,59
1.555119,322,61,66
1.586109,327,60,70
1.615615,333,60,103
1.647978,337,59,82
1.679891,341,58,74
1.709932,349,60,64
1.739679,354,59,119
1.772451,359,58,95
1.803074,361,60,89
1.832819,366,61,24
1.864983,371,61,31
1.895678,375,61,56
1.925428,380,60,81
1.958761,385,60,65
1.989716,389,60,84
2.020985,395,59,50
2.051146,399,60,50
2.076289,404,59,63
2.105631,411,59,88
2.137982,411,59,61
2.167171,420,59,62
2.199016,422,60,104
2.230622,425,58,95
2.261350,431,59,74
2.292556,436,58,62
2.317224,439,60,62
2.341917,439,60,62
2.373304,447,61,86
2.404537,451,60,79
2.436214,457,59,77
2.466438,461,58,78
2.497996,464,58,38
2.529770,471,58,53
2.560553,478,58,95
2.590729,483,58,80
2.622469,487,59,83
2.653641,492,59,80
2.684498,495,58,107
2.715335,502,58,83
2.745782,506,58,83
2.777126,513,60,75
2.808009,516,60,85
2.838667,518,60,88
2.870704,522,60,78
2.901238,525,59,74
2.932272,531,59,80
2.962886,538,58,51
2.994547,545,58,109
3.024812,552,59,88
3.055407,557,59,79
3.087153,559,60,68
3.118021,561,61,137
3.148494,564,60,97
3.179634,571,60,84
3.210893,574,61,72
3.242427,578,62,56
3.272472,582,62,49
3.303438,585,62,43
3.334342,590,62,40
3.365851,597,62,40
3.396572,606,61,79
3.427924,613,61,87
3.458302,618,62,79
3.489514,623,62,42
3.521158,626,62,99
3.551597,631,62,93
3.583112,631,62,93
3.613856,643,64,90
3.644821,646,62,81
3.675429,651,64,81
3.707013,654,64,85
3.737392,656,64,86
3.768996,658,63,69
3.799646,661,64,80
3.830624,666,64,67
3.861541,673,65,49
3.892495,682,64,87
3.923431,686,63,107
3.954679,689,63,100
3.985821,695,63,100
4.016194,704,63,106
4.047400,710,63,113
4.078432,713,65,78
4.109603,716,66,98
4.140582,719,65,107
4.172055,722,66,87
4.202049,725,66,78
4.234046,728,66,70
4.265050,731,67,65
4.295393,737,67,66
4.326512,745,67,41
4.357770,751,67,99
4.388649,757,66,93
4.419756,762,66,79
4.450936,765,67,86
4.481713,770,68,71
4.512585,775,67,97
4.543301,779,67,80
4.574329,783,67,71
4.605661,786,67,71
4.636802,792,71,38
4.666841,798,71,39
4.697922,802,71,82
4.729647,810,69,96
4.760281,814,69,96
4.791902,820,68,75
4.822029,825,69,64
4.853410,829,71,95
4.884618,832,69,86
4.915238,838,69,79
4.945881,841,70,49
4.977340,846,71,94
5.008672,849,71,96
5.039880,854,70,77
5.069810,858,71,76
5.101256,861,72,61
5.132562,867,73,39
5.162516,874,73,94
5.181977,878,73,101
5.213125,879,72,101
5.243178,879,71,79
5.274072,886,71,80
