t_s,force_g,pos_act,current_mA
0.013373,89,1345,81
0.045038,93,,
0.056131,93,,
0.062589,104,,
0.075496,104,,
0.087258,104,,
0.093570,105,,
0.106414,105,,
0.118263,100,1351,-29
0.149332,86,,
0.155930,86,,
0.168901,86,,
0.179685,82,,
0.186444,82,,
0.199304,82,,
0.211230,82,,
0.217726,82,1347,0
0.248308,82,,
0.262302,82,,
0.273204,82,,
0.279697,82,,
0.292654,82,,
0.303578,82,,
0.310103,82,,
0.324217,82,1347,0
0.354743,82,,
0.365761,82,,
0.372389,82,,
0.385615,82,,
0.396493,82,,
0.403042,82,,
0.417302,82,,
0.428267,82,1347,0
0.459015,82,,
0.465470,82,,
0.478284,82,,
0.491138,82,,
0.497444,82,,
0.509432,82,,
0.520565,82,,
0.527271,82,1347,0
0.558292,82,,
0.571147,82,,
0.583396,82,,
0.590078,82,,
0.603259,82,,
0.614272,82,,
0.620924,82,,
0.634170,82,1347,0
0.664859,82,,
0.677451,82,,
0.684561,82,,
0.695545,82,,
0.706480,82,,
0.714291,82,,
0.726321,82,,
0.737236,82,1347,0
0.769317,82,,
0.776021,82,,
0.789424,82,,
0.799270,82,,
0.805753,82,,
0.819921,82,,
0.830739,82,,
0.837216,82,1347,0
0.870009,82,,
0.881916,82,,
0.892609,82,,
0.900075,82,,
0.912952,82,,
0.924147,82,,
0.930734,82,,
0.944186,82,1347,0
0.974656,81,,
0.985726,81,,
0.992234,81,,
1.005337,81,,
1.016529,81,,
1.023281,81,,
1.036493,81,,
1.048601,81,1347,0
1.078933,81,,
1.085700,81,,
1.098111,81,,
1.110263,81,,
1.118042,81,,
1.129157,81,,
1.141420,81,,
1.149514,81,1347,0
1.178250,81,,
1.191373,81,,
1.202173,81,,
1.208588,81,,
1.222527,81,,
1.234589,81,,
1.241175,81,,
1.253102,81,1347,0
1.284257,81,,
1.295038,81,,
1.301633,81,,
1.315634,81,,
1.327486,81,,
1.333954,81,,
1.346860,81,,
1.358801,81,1347,0
1.388381,81,,
1.394980,81,,
1.408215,81,,
1.420309,81,,
1.427118,81,,
1.439192,81,,
1.451054,81,,
1.457411,81,1347,0
1.488387,82,,
1.501228,82,,
1.513361,81,,
1.519843,81,,
1.532771,81,,
1.544549,81,,
1.551036,81,,
1.564286,81,1347,0
1.593849,81,,
1.600214,81,,
1.607760,81,,
1.614915,81,,
1.626584,82,,
1.637472,82,,
1.644021,82,,
1.655947,81,1347,0
1.675207,81,,
1.687273,81,,
1.699163,81,,
1.705519,81,,
1.719658,81,,
1.730388,81,,
1.736934,81,,
1.749896,81,1347,0
1.779922,81,,
1.786258,81,,
1.793597,81,,
1.800248,81,,
1.812476,81,,
1.823449,81,,
1.830056,81,,
1.842991,81,1347,0
1.874638,81,,
1.885581,81,,
1.892069,81,,
1.905047,81,,
1.915762,81,,
1.922102,81,,
1.936102,81,,
1.947161,81,1347,0
1.978174,81,,
1.984940,81,,
1.997752,81,,
2.009511,81,,
2.015920,81,,
2.028769,81,,
2.039773,81,,
2.046262,81,1347,0
2.077637,81,,
2.090606,81,,
2.102248,81,,
2.108523,81,,
