t_s,force_g,pos_act,current_mA
0.012970,42,1356,0
0.034215,47,,
0.045130,47,,
0.056038,47,,
0.062585,55,,
0.075895,55,,
0.086678,55,,
0.093057,62,,
0.107031,62,1361,76
0.138391,67,,
0.149333,67,,
0.155880,72,,
0.169309,72,,
0.180339,75,,
0.187539,75,,
0.199948,75,,
0.211213,76,1374,83
0.242294,78,,
0.248903,78,,
0.262150,78,,
0.273062,79,,
0.279992,79,,
0.292637,79,,
0.303675,79,,
0.310524,79,1378,117
0.341666,81,,
0.354790,81,,
0.365527,82,,
0.371917,82,,
0.386730,82,,
0.396620,82,,
0.403086,82,,
0.417167,85,1383,71
0.448271,86,,
0.459023,86,,
0.466391,86,,
0.478967,88,,
0.489859,88,,
0.496369,88,,
0.509350,89,,
0.521165,89,1393,62
0.551535,91,,
0.557925,91,,
0.572088,91,,
0.582941,91,,
0.589505,91,,
0.602356,91,,
0.614210,91,,
0.620751,91,1403,64
0.652192,93,,
0.665409,93,,
0.676402,93,,
0.683307,95,,
0.696278,95,,
0.707388,95,,
0.714566,95,,
0.726722,95,1407,93
0.758583,96,,
0.768504,96,,
0.774853,97,,
0.789164,97,,
0.800054,97,,
0.806564,97,,
0.819566,97,,
0.830819,99,1417,47
0.862203,99,,
0.868694,99,,
0.881768,99,,
0.893680,101,,
0.901222,101,,
0.913189,101,,
0.923667,101,,
0.930330,101,1426,82
0.961588,100,,
0.974813,100,,
0.987186,102,,
0.993866,102,,
1.005959,102,,
1.016816,102,,
1.023617,102,,
1.036889,102,1436,96
1.067788,104,,
1.079758,104,,
1.086511,104,,
1.098840,103,,
1.109913,103,,
1.116650,103,,
1.129768,104,,
1.140825,104,1441,95
1.172950,105,,
1.179449,105,,
1.191395,105,,
1.202336,105,,
1.208929,105,,
1.223200,106,,
1.233976,106,,
1.240397,106,1449,97
1.271571,114,,
1.284755,114,,
1.295750,114,,
1.302396,125,,
1.315314,125,,
1.326382,125,,
1.334044,136,,
1.346139,136,1456,79
1.377281,148,,
1.389063,148,,
1.395750,161,,
1.408847,161,,
1.419740,161,,
1.426098,172,,
1.439103,172,,
1.451952,180,1467,91
1.481599,185,,
1.488427,185,,
1.501822,185,,
1.514012,193,,
1.520802,193,,
1.532934,193,,
1.544198,193,,
1.552059,193,1470,104
1.576356,211,,
1.584018,211,,
1.594308,211,,
1.605562,222,,
1.612025,222,,
1.624885,222,,
1.631287,222,,
1.639023,231,1479,133
1.667070,239,,
1.673681,239,,
1.687747,245,,
1.699599,245,,
1.706028,245,,
1.717898,249,,
1.730094,249,,
1.736712,249,1486,113
1.768471,254,,
1.780412,248,,
1.792591,248,,
1.799285,248,,
1.811324,244,,
1.823485,244,,
1.830256,244,,
1.842241,236,1495,138
1.873384,225,,
1.885245,225,,
1.891713,219,,
1.904596,219,,
1.916417,219,,
1.922857,224,,
1.935840,224,,
1.947779,224,1502,139
1.977868,244,,
1.984429,252,,
1.997591,252,,
2.009836,252,,
2.016350,257,,
2.029405,257,,
2.040102,257,,
2.048019,263,1509,114
2.077915,263,,
2.091360,263,,
2.102754,281,,
2.109263,281,,
2.122271,281,,
2.133050,287,,
2.140740,287,,
2.154004,287,1519,139
2.184614,295,,
2.195739,304,,
2.202647,304,,
2.215511,304,,
2.226798,312,,
2.233507,312,,
2.246784,312,,
2.256788,312,1521,159
2.287790,343,,
2.294321,343,,
2.308623,348,,
2.320024,348,,
2.326647,348,,
2.339589,352,,
2.350367,352,,
2.356948,352,1533,146
2.388638,350,,
2.400796,354,,
2.411862,354,,
2.418520,354,,
2.431653,352,,
2.443696,352,,
2.450217,352,,
2.463274,352,1536,151
2.493967,352,,
2.504694,352,,
2.511036,361,,
2.525066,361,,
2.535680,361,,
2.542107,358,,
2.556812,358,,
2.566968,358,1549,189
2.597961,364,,
2.604525,371,,
2.618434,371,,
2.629144,371,,
2.635629,369,,
2.649590,369,,
2.660330,379,,
2.666752,379,1557,152
2.697957,381,,
2.710954,381,,
2.721820,386,,
2.728262,386,,
2.742278,386,,
2.753351,392,,
2.760197,392,,
2.772650,392,1567,209
2.804443,393,,
2.815497,402,,
2.822465,402,,
2.834837,402,,
2.846009,402,,
2.853206,402,,
2.866455,402,,
2.877384,404,1573,165
2.907681,408,,
2.914128,408,,
2.928387,406,,
2.939339,406,,
2.945862,406,,
2.958935,411,,
2.969936,411,,
2.976629,411,1579,189
3.007687,415,,
3.020708,421,,
3.031560,421,,
3.037988,421,,
3.051565,427,,
3.062466,427,,
3.068841,427,,
3.083260,431,1587,195
3.114270,440,,
3.125353,440,,
3.131934,442,,
3.145269,442,,
3.156411,442,,
3.162900,447,,
3.176014,447,,
3.186963,447,1593,193
3.217968,447,,
3.224907,460,,
3.238260,460,,
3.249341,460,,
3.255925,463,,
3.269358,463,,
3.280330,466,,
3.286981,466,1603,144
3.317967,476,,
3.330401,476,,
3.341332,482,,
3.347830,482,,
3.362092,482,,
3.373049,491,,
3.379657,491,,
3.392805,491,1610,199
3.423571,491,,
3.434357,491,,
3.440805,491,,
3.454813,491,,
3.465603,526,,
3.473090,526,,
3.486008,526,,
3.496815,526,1614,178
3.527485,539,,
3.534977,539,,
3.547905,541,,
3.558786,541,,
3.565234,541,,
3.578154,539,,
3.590002,539,,
3.596420,539,1631,185
3.627301,544,,
3.640138,544,,
3.651886,544,,
3.658228,544,,
3.671093,554,,
3.682917,554,,
3.689343,554,,
3.702757,568,1636,192
3.733620,571,,
3.744627,571,,
3.751235,572,,
3.764533,572,,
3.775540,572,,
3.782045,584,,
3.795216,584,,
3.807120,584,1642,266
3.837161,588,,
3.843974,601,,
3.857240,601,,
3.869354,601,,
3.877085,616,,
3.888202,616,,
3.899190,616,,
3.905822,631,1649,220
3.936706,636,,
3.951017,636,,
3.961988,644,,
3.968706,644,,
3.981972,644,,
3.992957,662,,
3.999632,662,,
4.012807,662,1659,259
4.043634,669,,
4.056007,688,,
4.062528,688,,
4.074563,688,,
4.085404,688,,
4.092132,688,,
4.105116,688,,
4.115870,742,1665,304
4.148296,760,,
4.155725,760,,
4.167361,779,,
4.178146,779,,
4.185759,779,,
4.198087,779,,
4.209709,779,,
4.216292,779,1675,363
4.248032,806,,
4.259843,826,,
4.271733,826,,
4.278167,826,,
4.291017,840,,
4.301735,840,,
4.308038,840,,
4.322404,861,1682,341
4.353760,861,,
4.364574,861,,
4.371011,892,,
4.384096,892,,
4.394881,892,,
4.401364,922,,
4.415558,922,,
4.427422,922,1691,383
4.457324,938,,
4.463753,966,,
4.476654,966,,
4.483037,966,,
4.489526,966,,
4.495926,992,,
4.507710,992,,
4.514123,992,1698,398
4.538753,1026,,
4.545162,1026,,
4.552708,1075,,
4.559087,1075,,
4.569842,1075,,
4.576299,1075,,
4.582774,1052,,
4.589235,1052,1700,52
4.619421,956,,
4.632360,956,,
4.644254,929,,
4.650772,929,,
4.663681,929,,
4.675546,934,,
4.681813,934,,
4.694660,934,1698,0
4.724705,943,,
4.731037,919,,
4.738574,919,,
4.745031,919,,
4.755797,901,,
4.762246,901,,
4.768672,901,,
4.775115,901,1696,0
4.805067,877,,
4.818967,853,,
4.829720,853,,
4.836305,853,,
4.849242,828,,
4.861113,828,,
4.867611,828,,
4.881649,809,1693,121
4.910595,809,,
4.917012,809,,
4.924602,809,,
4.930959,809,,
4.942814,809,,
4.953610,809,,
4.960132,809,,
4.974303,822,1696,0
5.004534,805,,
5.016398,805,,
5.022837,787,,
5.035831,787,,
5.046721,787,,
5.053481,787,,
5.067600,787,,
5.078418,787,1696,278
