t_s,pos_act,force_g,current_mA
0.001017,94,0,0
0.003989,94,0,0
0.006877,94,0,0
0.018666,94,0,0
0.021559,94,0,0
0.023726,94,0,0
0.030889,94,0,0
0.032712,94,0,45
0.034549,94,0,45
0.036745,94,0,45
0.038586,94,0,45
0.049499,94,0,45
0.051584,94,0,45
0.053421,94,0,45
0.060944,94,0,45
0.062800,94,0,74
0.064627,94,1,74
0.067213,94,1,74
0.069291,94,1,74
0.071147,94,1,74
0.082275,94,1,74
0.084754,94,1,74
0.091929,94,1,47
0.094426,103,17,47
0.096270,103,17,47
0.098451,103,17,47
0.100283,103,17,47
0.102125,103,17,47
0.113622,103,17,47
0.115459,103,17,47
0.122647,103,17,62
0.124426,108,26,62
0.126286,108,26,62
0.128161,108,26,62
0.130010,108,26,62
0.131853,108,26,62
0.142660,108,26,62
0.144808,108,26,62
0.146820,108,26,62
0.154307,108,39,54
0.156720,112,39,54
0.158558,112,39,54
0.160359,112,39,54
0.162247,112,39,54
0.164078,112,39,54
0.174888,112,39,54
0.176748,112,39,54
0.178596,112,39,54
0.186194,112,39,54
0.188319,112,39,54
0.190769,112,39,54
0.193188,112,39,54
0.205080,112,39,54
0.208093,112,39,76
0.215672,121,44,76
0.218885,121,44,76
0.222292,121,44,76
0.225578,121,44,76
0.237669,121,44,76
0.239761,121,44,75
0.247001,124,52,75
0.249324,124,52,75
0.252243,124,52,75
0.254750,124,52,75
0.256586,124,52,75
0.267925,124,52,75
0.270119,124,52,98
0.277702,127,54,98
0.280245,127,54,98
0.282414,127,54,98
0.284661,127,54,98
0.286516,127,54,98
0.297512,127,54,98
0.299672,127,54,98
0.301511,127,54,98
0.308710,132,54,98
0.310558,132,54,98
0.312452,132,54,98
0.314322,132,54,98
0.316504,132,54,98
0.318349,132,54,98
0.329433,132,54,98
0.332200,136,55,71
0.334055,136,55,71
0.341675,136,55,71
0.343534,136,55,71
0.345774,136,55,71
0.348029,136,55,71
0.359507,136,55,71
0.361719,136,55,71
0.363968,141,56,95
0.371609,141,56,95
0.373806,141,56,95
0.375952,141,56,95
0.378163,141,56,95
0.380027,141,56,95
0.391433,145,57,60
0.393295,145,57,60
0.395186,145,57,60
0.402656,145,57,60
0.404820,145,57,60
0.406632,145,57,60
0.409166,145,57,60
0.411056,145,57,60
0.422384,145,57,72
0.424266,152,57,72
0.426095,152,57,72
0.433860,152,57,72
0.435709,152,57,72
0.438494,152,57,72
0.441591,152,57,72
0.453970,152,57,72
0.456590,152,57,72
0.464985,152,57,72
0.467915,152,57,72
0.470549,152,57,72
0.473461,152,57,72
0.484792,152,57,72
0.486953,152,57,72
0.489180,152,57,72
0.496998,152,57,72
0.499196,152,57,72
0.501340,152,57,72
0.503810,152,57,50
0.514799,161,59,50
0.517643,161,59,50
0.519776,161,59,50
0.527554,161,59,50
0.530008,161,59,50
0.532515,161,59,50
0.535554,163,58,60
0.548439,163,58,60
0.556955,163,58,60
0.559466,163,58,60
0.561658,163,58,60
0.563528,163,58,60
0.565783,168,58,82
0.577237,168,58,82
0.579783,168,58,82
0.582024,168,58,82
0.589379,168,58,82
0.591503,168,58,82
0.593375,168,58,82
0.595598,173,57,74
0.597850,173,57,74
0.608775,173,57,74
0.610984,173,57,74
0.613144,173,57,74
0.621387,173,57,74
0.623520,173,57,74
0.625704,173,57,74
0.627886,179,56,79
0.638774,179,56,79
0.641181,179,56,79
0.643065,179,56,79
0.650251,179,56,79
0.652525,179,56,79
0.655477,179,56,79
0.658539,183,55,67
0.669977,183,55,67
0.673096,183,55,67
0.680787,183,55,67
0.683555,183,55,67
0.685727,183,55,67
0.687895,190,56,75
0.690052,190,56,75
0.701457,190,56,75
0.704082,190,56,75
0.712034,190,56,75
0.714898,190,56,75
0.717763,196,56,54
0.720544,196,56,54
0.731682,196,56,54
0.733788,196,56,54
0.735648,196,56,54
0.742793,196,56,54
0.744910,196,56,54
0.747122,196,56,90
0.749555,201,56,90
0.751382,201,56,90
0.762468,201,56,90
0.764504,201,56,90
0.766947,201,56,90
0.774719,201,56,90
0.777273,201,55,82
0.780279,204,55,82
0.782379,204,55,82
0.784274,204,55,82
0.795632,204,55,82
0.798449,204,55,82
0.807051,204,55,85
0.809617,210,55,85
0.812214,210,55,85
0.814434,210,55,85
0.825749,210,55,85
0.828259,210,55,85
0.835704,210,55,85
0.837831,213,56,84
0.839989,213,56,84
0.842180,213,56,84
0.844033,213,56,84
0.855475,213,56,84
0.857299,213,56,84
0.859863,213,56,84
0.866908,213,57,80
0.869049,218,57,80
0.870889,218,57,80
0.873645,218,57,80
0.876643,218,57,80
0.888979,218,57,80
0.892038,218,57,87
0.900121,222,56,87
0.903089,222,56,87
0.905542,222,56,87
0.908084,222,56,87
0.919858,222,56,87
0.922784,222,56,87
0.930831,222,56,87
0.933847,222,56,87
0.936508,222,56,87
0.939081,222,56,87
0.950295,222,56,87
0.952813,222,55,65
0.960302,229,55,65
0.962779,229,55,65
0.965045,229,55,65
0.967298,229,55,65
0.970199,229,55,65
0.981132,229,55,65
0.983611,229,55,57
0.991320,233,57,57
0.993408,233,57,57
0.995656,233,57,57
0.997894,233,57,57
1.000368,233,57,57
1.011809,233,57,57
1.014033,233,57,63
1.021769,236,56,63
1.024305,236,56,63
1.026467,236,56,63
1.028723,236,56,63
1.031295,236,56,63
1.042472,236,56,63
1.044692,236,56,63
1.046538,236,56,66
1.054020,243,56,66
1.056212,243,56,66
1.059107,243,56,66
1.061611,243,56,66
1.072573,243,56,66
1.074738,243,55,81
1.076967,247,55,81
1.084605,247,55,81
1.086789,247,55,81
1.089119,247,55,81
1.091646,247,55,81
1.094125,247,55,81
1.105813,247,55,96
1.109331,252,54,96
1.117435,252,54,96
1.120127,252,54,96
1.122340,252,54,96
1.124480,252,54,96
1.135746,257,53,71
1.138638,257,53,71
1.146074,257,53,71
1.148664,257,53,71
1.151549,257,53,71
1.154137,257,53,71
1.165721,257,53,74
1.168329,264,53,74
1.170866,264,53,74
1.178579,264,53,74
1.181617,264,53,74
1.183799,264,53,74
1.186272,264,53,74
1.197099,270,54,60
1.199297,270,54,60
1.201097,270,54,60
1.208277,270,54,60
1.210141,270,54,60
1.213549,270,54,60
1.215686,270,54,60
1.217874,270,54,98
1.228716,274,54,98
1.230661,274,54,98
1.232830,274,54,98
1.240378,274,54,98
1.242480,274,54,98
1.244742,274,54,98
1.247409,274,54,88
1.258693,276,53,88
1.260902,276,53,88
1.263387,276,53,88
1.270773,276,53,88
1.272960,276,53,88
1.275138,276,53,88
1.277662,276,53,88
1.279803,280,54,86
1.290713,280,54,86
1.292894,280,54,86
1.295060,280,54,86
1.302045,280,54,86
1.304549,280,54,86
1.306729,280,54,86
1.309038,280,54,70
1.320684,282,54,70
1.323226,282,54,70
1.325736,282,54,70
1.333645,282,54,70
1.336164,282,54,70
1.338710,282,55,83
1.340812,285,55,83
1.352409,285,55,83
1.354583,285,55,83
1.356731,285,55,83
1.364450,285,55,83
1.366324,285,55,83
1.368793,285,56,77
1.370927,289,56,77
1.373155,289,56,77
1.384341,289,56,77
1.386493,289,56,77
1.393749,289,56,77
1.395894,289,56,77
1.397703,289,56,77
1.399569,295,56,75
1.401735,295,56,75
1.403571,295,56,75
1.414443,295,56,75
1.416365,295,56,75
1.418546,295,56,75
1.425630,295,56,75
1.427797,295,56,75
1.429992,295,56,79
1.432194,301,54,79
1.434739,301,54,79
1.446325,301,54,79
1.449233,301,54,79
1.456931,301,54,79
1.459118,301,54,79
1.461692,306,54,65
1.464968,306,54,65
1.476889,306,54,65
1.480088,306,54,65
1.488046,306,54,65
1.491416,306,54,60
1.494882,310,54,60
1.506908,310,54,60
1.510422,310,54,60
1.517912,310,54,60
1.520093,310,54,77
1.522271,315,53,77
1.524448,315,53,77
1.526710,315,53,77
1.538557,315,53,77
1.540680,315,53,77
1.542830,315,53,77
1.550892,315,53,60
1.554648,320,53,60
1.558727,320,53,60
1.570223,320,53,60
1.572776,320,53,60
1.580792,320,53,80
1.582990,326,53,80
1.585511,326,53,80
1.587707,326,53,80
1.590222,326,53,80
1.601286,326,53,80
1.604324,326,53,80
1.611492,331,53,83
1.613770,331,53,83
1.616702,331,53,83
1.618907,331,53,83
1.621085,331,53,83
1.632358,331,53,83
1.634530,331,53,83
1.642164,331,52,70
1.644754,335,52,70
1.647019,335,52,70
1.649271,335,52,70
1.651818,335,52,70
1.663081,335,52,70
1.666076,335,52,79
1.673677,340,52,79
1.676652,340,52,79
1.679565,340,52,79
1.682064,340,52,79
1.693496,340,52,79
1.695730,340,52,79
1.697868,345,53,68
1.704853,345,53,68
1.707002,345,53,68
1.709196,345,53,68
1.711327,345,53,68
1.713580,345,53,68
1.724364,345,53,68
1.726296,345,53,68
1.728148,345,52,94
1.735514,352,52,94
1.737338,352,52,94
1.739266,352,52,94
1.741376,352,52,94
1.743652,352,52,94
1.755020,352,52,94
1.757926,355,51,85
1.760539,355,51,85
1.767581,355,51,85
1.770514,355,51,85
1.773468,355,51,85
1.776479,355,51,85
1.788375,355,51,66
1.790518,358,53,66
1.797995,358,53,66
1.800246,358,53,66
1.803162,358,53,66
1.806805,358,53,62
1.819425,360,54,62
1.827981,360,54,62
1.830228,360,54,62
1.833179,360,54,62
1.835772,360,54,62
1.847702,360,54,62
1.851125,363,54,62
1.858752,363,54,62
1.861297,363,54,62
1.863486,363,54,62
1.866091,363,54,62
1.868676,363,54,62
1.880092,363,54,62
1.882279,363,54,62
1.889822,363,54,62
1.892396,363,54,62
1.895315,363,54,62
1.897521,363,54,62
1.899769,363,54,69
1.911044,373,54,69
1.913081,373,54,69
1.915018,373,54,69
1.922311,373,54,69
1.924431,373,54,69
1.926637,373,54,69
1.929234,373,54,69
1.940562,373,53,79
1.942665,378,53,79
1.944819,378,53,79
1.951847,378,53,79
1.954529,378,53,79
1.957436,378,53,79
1.960241,378,53,79
1.971651,378,52,72
1.974149,385,52,72
1.976643,385,52,72
1.984383,385,52,72
1.986859,385,52,72
1.988703,385,52,72
1.990868,385,52,72
1.993375,387,53,77
2.004000,387,53,77
2.006202,387,53,77
2.013930,387,53,77
2.016111,387,53,77
2.018754,387,53,77
2.021234,387,53,77
2.023378,392,53,57
2.034303,392,53,57
2.036418,392,53,57
2.038607,392,53,57
2.046187,392,53,57
2.048095,392,53,57
2.049918,392,53,57
2.052062,392,53,57
2.053893,397,53,86
2.064662,397,53,86
2.066781,397,53,86
2.068634,397,53,86
2.075826,397,53,86
2.078794,397,53,86
2.081815,397,53,82
2.084920,402,52,82
2.096605,402,52,82
2.099131,402,52,82
2.107013,402,52,82
2.109473,402,52,82
2.112015,402,52,73
2.114270,408,51,73
2.116490,408,51,73
2.127521,408,51,73
2.130115,408,51,73
2.137805,408,51,73
2.140299,408,51,73
2.142485,408,51,86
2.145089,413,52,86
2.147340,413,52,86
2.158663,413,52,86
2.161211,413,52,86
2.168729,413,52,86
2.170933,413,52,86
2.173650,418,52,99
2.176927,418,52,99
2.188952,418,52,99
2.192037,418,52,99
2.200153,418,52,99
2.203092,418,52,86
2.205188,421,52,86
2.207406,421,52,86
2.209944,421,52,86
2.221065,421,52,86
2.223270,421,52,86
2.230950,421,52,86
2.233214,421,51,66
2.235821,423,51,66
2.238767,423,51,66
2.240946,423,51,66
2.252258,423,51,66
2.254798,423,51,66
2.262421,423,51,71
2.265046,426,51,71
2.268034,426,51,71
2.270606,426,51,71
2.281965,426,51,71
2.284262,426,51,71
2.286479,426,51,71
2.293817,426,51,71
2.295970,431,52,69
2.298113,431,52,69
2.300375,431,52,69
2.302921,431,52,69
2.314891,431,52,69
2.318542,431,52,69
2.325362,431,52,73
2.327500,436,52,73
2.329691,436,52,73
2.331840,436,52,73
2.334470,436,52,73
2.346778,436,52,73
2.354829,436,53,63
2.357061,441,53,63
2.359207,441,53,63
2.361682,441,53,63
2.364625,441,53,63
2.376304,441,53,63
2.378741,441,53,63
2.387147,445,54,105
2.390271,445,54,105
2.393524,445,54,105
2.405600,445,54,105
2.408631,445,54,105
2.416620,445,54,65
2.419160,452,54,65
2.420997,452,54,65
2.423183,452,54,65
2.425362,452,54,65
2.436575,452,54,65
2.438706,452,54,65
2.440538,452,54,82
2.447695,457,53,82
2.450224,457,53,82
2.452086,457,53,82
2.454331,457,53,82
2.456846,457,53,82
2.467756,457,53,82
2.470592,457,53,82
2.473030,462,52,67
2.481525,462,52,67
2.484628,462,52,67
2.487599,462,52,67
2.499423,462,52,67
2.502774,462,52,75
2.510894,466,52,75
2.513860,466,52,75
2.516364,466,52,75
2.519362,466,52,75
2.530449,466,52,75
2.532700,466,52,75
2.535420,472,53,85
2.542328,472,53,85
2.544512,472,53,85
2.547063,472,53,85
2.549574,472,53,85
2.560740,472,53,85
2.563680,478,53,84
2.566247,478,53,84
2.574126,478,53,84
2.576531,478,53,84
2.578774,478,53,84
2.580965,478,53,84
2.592095,478,53,84
2.594513,478,53,78
2.596696,483,53,78
2.604090,483,53,78
2.605886,483,53,78
2.607727,483,53,78
2.609594,483,53,78
2.611429,483,53,78
2.622537,483,53,84
2.625322,487,52,84
2.627827,487,52,84
2.635568,487,52,84
2.637997,487,52,84
2.640247,487,52,84
2.642705,487,52,84
2.653544,487,52,84
2.656009,490,54,82
2.657837,490,54,82
2.665100,490,54,82
2.667283,490,54,82
2.669164,490,54,82
2.671666,490,54,82
2.674251,490,54,82
2.685087,490,54,91
2.687305,494,54,91
2.689449,494,54,91
2.696893,494,54,91
2.699807,494,54,91
2.702718,494,54,91
2.705494,494,54,91
2.717781,498,53,89
2.721288,498,53,89
2.729437,498,53,89
2.732987,498,53,89
2.736576,498,53,89
2.748552,498,53,89
2.750690,498,53,89
2.757883,498,53,89
2.760101,498,53,89
2.761996,498,53,89
2.764225,498,53,89
2.766090,498,53,89
2.768327,498,53,58
2.778826,508,52,58
2.781753,508,52,58
2.790151,508,52,58
2.794060,508,52,58
2.797881,508,54,49
2.809778,511,54,49
2.813401,511,54,49
2.821356,511,54,49
2.824576,511,54,49
2.827971,511,54,79
2.839661,515,54,79
2.841759,515,54,79
2.844360,515,54,79
2.851766,515,54,79
2.853972,515,54,79
2.856230,515,54,79
2.858072,515,54,79
2.859984,515,54,78
2.871186,518,54,78
2.873347,518,54,78
2.875506,518,54,78
2.882509,518,54,78
2.884700,518,54,78
2.886510,518,54,78
2.888335,518,54,78
2.890227,518,54,73
2.901414,522,54,73
2.904455,522,54,73
2.907435,522,54,73
2.914818,522,54,73
2.917749,522,54,73
2.920628,522,53,67
2.923213,525,53,67
2.933893,525,53,67
2.936420,525,53,67
2.943837,525,53,67
2.946094,525,53,67
2.947961,525,53,67
2.949832,525,53,61
2.952945,531,53,61
2.964086,531,53,61
2.965947,531,53,61
2.967834,531,53,61
2.974876,531,53,61
2.976749,531,53,61
2.978636,531,53,61
2.980517,531,53,57
2.982737,538,53,57
2.984624,538,53,57
2.995684,538,53,57
2.997576,538,53,57
2.999401,538,53,57
3.006785,538,53,57
3.008662,538,53,57
3.010567,538,53,80
3.012461,545,53,80
3.014343,545,53,80
3.025432,545,53,80
3.027604,545,53,80
3.029845,545,53,80
3.037491,545,53,80
3.040589,545,53,80
3.043581,552,54,67
3.046840,552,54,67
3.059245,552,54,67
3.067910,552,54,67
3.071574,552,54,104
3.074749,557,53,104
3.078063,557,53,104
3.089742,557,53,104
3.092189,557,53,104
3.099604,557,53,104
3.101412,557,53,104
3.103302,557,52,89
3.105150,560,52,89
3.106972,560,52,89
3.108809,560,52,89
3.119831,560,52,89
3.121979,560,52,89
3.124213,560,52,89
3.131543,560,52,89
3.133385,560,54,93
3.135304,561,54,93
3.137448,561,54,93
3.139655,561,54,93
3.150693,561,54,93
3.152547,561,54,93
3.155098,561,54,93
3.162641,561,54,61
3.164817,564,54,61
3.167352,564,54,61
3.169566,564,54,61
3.180462,564,54,61
3.182351,564,54,61
3.184582,564,54,61
3.191636,564,54,61
3.193424,564,55,42
3.195283,568,55,42
3.197125,568,55,42
3.198951,568,55,42
3.200833,568,55,42
3.212088,568,55,42
3.214373,568,55,42
3.217179,568,55,42
3.224497,568,55,64
3.226632,573,56,64
3.228411,573,56,64
3.230946,573,56,64
3.232746,573,56,64
3.243665,573,56,64
3.245497,573,56,64
3.247689,573,56,64
3.255251,578,55,62
3.257682,578,55,62
3.259518,578,55,62
3.261423,578,55,62
3.263520,578,55,62
3.274550,578,55,62
3.276414,578,55,62
3.278646,578,55,88
3.286153,582,55,88
3.287993,582,55,88
3.290162,582,55,88
3.291989,582,55,88
3.293819,582,55,88
3.304657,582,55,88
3.306489,582,55,88
3.308320,582,55,88
3.315865,582,55,90
3.318137,587,55,90
3.321355,587,55,90
3.324441,587,55,90
3.335962,587,55,90
3.339046,587,55,90
3.346803,587,55,90
3.349704,587,55,90
3.352673,587,55,90
3.355434,587,55,90
3.366744,587,55,90
3.369622,587,55,90
3.372151,597,53,77
3.379491,597,53,77
3.382051,597,53,77
3.384198,597,53,77
3.386336,597,53,77
3.397692,597,53,77
3.400623,597,53,82
3.408933,603,54,82
3.411449,603,54,82
3.415206,603,54,82
3.418509,603,54,82
3.430228,603,54,47
3.433783,609,56,47
3.441980,609,56,47
3.445485,609,56,47
3.448591,609,56,47
3.459944,609,56,47
3.463591,615,54,95
3.471599,615,54,95
3.473442,615,54,95
3.475685,615,54,95
3.477944,615,54,95
3.480174,615,54,95
3.491530,615,54,71
3.494050,620,54,71
3.495903,620,54,71
3.504436,620,54,71
3.507565,620,54,71
3.511114,620,54,71
3.522923,620,56,69
3.526658,624,56,69
3.535090,624,56,69
3.538360,624,56,69
3.541502,624,56,69
3.552662,624,56,69
3.555129,624,56,69
3.557328,624,56,69
3.564603,624,56,69
3.567337,624,56,69
3.570417,624,56,69
3.573496,624,56,69
3.585283,631,56,105
3.588575,631,56,105
3.597546,631,56,105
3.600885,631,56,105
3.604632,635,55,87
3.617449,635,55,87
3.619946,635,55,87
3.627007,635,55,87
3.629273,635,55,87
3.631118,635,55,87
3.633022,635,55,87
3.634908,635,57,64
3.646082,639,57,64
3.648280,639,57,64
3.650210,639,57,64
3.657574,639,57,64
3.660279,639,57,64
3.663877,639,57,65
3.667555,645,57,65
3.678871,645,57,65
3.682056,645,57,65
3.690250,645,57,65
3.693655,645,57,71
3.697228,650,56,71
3.708537,650,56,71
3.710416,650,56,71
3.713014,650,56,71
3.719884,650,56,71
3.722059,650,56,71
3.723903,650,56,71
3.726098,653,56,68
3.727965,653,56,68
3.739412,653,56,68
3.741250,653,56,68
3.743813,653,56,68
3.750922,653,56,68
3.752779,653,56,68
3.754985,653,56,79
3.756833,657,58,79
3.759060,657,58,79
3.770088,657,58,79
3.771901,657,58,79
3.773774,657,58,79
3.781149,657,58,79
3.783315,657,58,79
3.785523,657,58,79
3.788519,660,59,64
3.800662,660,59,64
3.802780,660,59,64
3.805311,660,59,64
3.812612,660,59,64
3.814431,660,59,64
3.816273,660,59,66
3.818679,663,59,66
3.821127,663,59,66
3.832409,663,59,66
3.834600,663,59,66
3.837193,663,59,66
3.844675,663,59,66
3.846858,663,58,67
3.848989,667,58,67
3.851193,667,58,67
3.862471,667,58,67
3.864564,667,58,67
3.867068,667,58,67
3.874474,667,58,67
3.876711,667,57,94
3.879297,677,57,94
3.882109,677,57,94
3.893525,677,57,94
3.895658,677,57,94
3.897893,677,57,94
3.904959,677,57,94
3.906720,677,57,94
3.908670,677,56,83
3.910826,685,56,83
3.913262,685,56,83
3.915052,685,56,83
3.926202,685,56,83
3.928039,685,56,83
3.929855,685,56,83
3.936840,685,56,83
3.939032,685,56,91
3.941212,687,57,91
3.943311,687,57,91
3.945477,687,57,91
3.956698,687,57,91
3.958495,687,57,91
3.961061,687,57,91
3.969213,687,57,91
3.971355,687,58,64
3.973536,692,58,64
3.975766,692,58,64
3.986695,692,58,64
3.989667,692,58,64
3.997780,692,58,64
3.999987,692,58,112
4.002847,695,57,112
4.005013,695,57,112
4.007499,695,57,112
4.018788,695,57,112
4.021307,695,57,112
4.028763,695,57,112
4.031492,699,57,94
4.033761,699,57,94
4.036162,699,57,94
4.038356,699,57,94
4.049492,699,57,94
4.051664,699,57,94
4.053467,699,57,94
4.060662,699,57,87
4.062459,705,57,87
4.064307,705,57,87
4.066224,705,57,87
4.068080,705,57,87
4.069866,705,57,87
4.080735,705,57,87
4.082520,705,57,87
4.084375,705,57,87
4.091311,705,58,62
4.093102,710,58,62
4.094938,710,58,62
4.096794,710,58,62
4.098647,710,58,62
4.100428,710,58,62
4.111543,710,58,62
4.113401,710,58,62
4.115313,710,58,62
4.122248,710,58,80
4.124096,713,58,80
4.126266,713,58,80
4.128102,713,58,80
4.130693,713,58,80
4.141554,713,58,80
4.144020,713,58,80
4.145848,713,58,80
4.153803,716,58,91
4.155614,716,58,91
4.158203,716,58,91
4.160776,716,58,91
4.162639,716,58,91
4.174048,716,58,91
4.175873,716,58,69
4.183692,719,58,69
4.186137,719,58,69
4.188617,719,58,69
4.190426,719,58,69
4.192254,719,58,69
4.203431,719,58,69
4.205521,719,58,69
4.207336,719,58,80
4.214600,723,58,80
4.216396,723,58,80
4.218260,723,58,80
4.220103,723,58,80
4.222397,723,58,80
4.224781,723,58,80
4.236477,723,58,72
4.238981,727,60,72
4.246255,727,60,72
4.249233,727,60,72
4.251720,727,60,72
4.253604,727,60,72
4.255780,727,60,72
4.266708,727,60,72
4.268881,727,60,63
4.270722,731,60,63
4.278733,731,60,63
4.281728,731,60,63
4.284542,731,60,63
4.287369,731,60,67
4.298711,735,60,67
4.301217,735,60,67
4.308662,735,60,67
4.311375,735,60,67
4.313243,735,60,67
4.315767,735,60,67
4.317604,735,60,67
4.329019,735,60,74
4.331222,744,60,74
4.333036,744,60,74
4.340264,744,60,74
4.342461,744,60,74
4.344269,744,60,74
4.346104,744,60,74
4.347952,744,60,74
4.359422,744,60,93
4.361596,751,60,93
4.363855,751,60,93
4.371475,751,60,93
4.373367,751,60,93
4.375679,751,60,93
4.377901,751,60,93
4.380101,751,60,93
4.391157,751,58,86
4.393024,757,58,86
4.394876,757,58,86
4.402209,757,58,86
4.404345,757,58,86
4.406561,757,58,86
4.408394,757,58,86
4.410634,757,58,82
4.422010,761,59,82
4.423845,761,59,82
4.426028,761,59,82
4.433668,761,59,82
4.436228,761,59,82
4.438779,761,59,82
4.440606,761,59,82
4.451445,761,60,82
4.453297,764,60,82
4.455163,764,60,82
4.462623,764,60,82
4.464402,764,60,82
4.466266,764,60,82
4.468111,764,60,82
4.470000,764,60,82
4.471821,764,60,87
4.482766,767,59,87
4.485182,767,59,87
4.487333,767,59,87
4.494319,767,59,87
4.496165,767,59,87
4.497994,767,59,87
4.499856,767,59,87
4.501675,767,59,87
4.503512,772,59,84
4.514232,772,59,84
4.516056,772,59,84
4.517915,772,59,84
4.525432,772,59,84
4.527541,772,59,84
4.529361,772,59,84
4.531273,772,59,84
4.533386,772,60,82
4.544451,776,60,82
4.546245,776,60,82
4.548070,776,60,82
4.549939,776,60,82
