trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
B_dof0_v25_F1000_n02.csv,0,25,1000,1065,65,945,2222,1665,556,0,,2,147,b2b,42
B_dof0_v25_F1000_n03.csv,0,25,1000,1098,98,974,2309,1665,590,0,,4,25,b2b,42
B_dof0_v25_F250_n01.csv,0,25,250,290,40,218,1808,1665,573,0,,1,24,b2b,42
B_dof0_v25_F1000_n00.csv,0,25,1000,1096,96,955,2300,1663,589,0,,3,25,b2b,42
B_dof0_v25_F250_n03.csv,0,25,250,275,25,215,1811,1666,569,0,,1,23,b2b,42
B_dof0_v25_F250_n04.csv,0,25,250,283,33,250,1811,1665,578,0,,1,22,b2b,42
B_dof0_v25_F250_n02.csv,0,25,250,283,33,221,1831,1665,578,0,,1,22,b2b,42
B_dof0_v25_F250_n00.csv,0,25,250,277,27,227,1826,1663,576,0,,1,15,b2b,42
B_dof0_v25_F1000_n04.csv,0,25,1000,1167,167,816,2387,1663,599,0,,4,13,b2b,42
B_dof0_v25_F1000_n01.csv,0,25,1000,1151,151,867,2366,1665,557,0,,4,20,b2b,42
