t_s,pos_act,force_g,current_mA
0.007481,60,0,0
0.030016,60,0,67
0.060647,61,12,69
0.090944,66,13,88
0.122055,72,15,108
0.153351,76,17,76
0.184408,77,19,76
0.216186,83,15,72
0.246313,89,14,76
0.277434,95,16,85
0.309036,97,16,55
0.339098,100,16,47
0.370535,109,13,63
0.401262,115,15,36
0.432477,122,12,96
0.462824,123,14,75
0.494166,125,15,116
0.525409,134,12,80
0.555873,138,14,70
0.587306,141,16,84
0.618509,148,12,81
0.649671,152,14,79
0.679869,157,15,69
0.711223,159,14,37
0.742555,166,15,167
0.773517,171,15,80
0.804112,175,14,59
0.835793,178,14,64
0.865999,182,14,89
0.897657,187,13,67
0.928135,191,13,55
0.958780,196,14,27
0.990477,202,15,53
1.020991,210,12,45
1.051971,214,15,44
1.083616,218,14,76
1.114344,221,14,84
1.144703,225,14,66
1.176535,231,13,80
1.207365,231,13,110
1.237752,242,12,78
1.269621,244,14,82
1.299636,249,12,132
1.331410,256,14,42
1.362155,260,15,71
1.393029,262,14,65
1.424015,267,14,45
1.454967,276,14,162
1.486208,277,13,72
1.517292,281,13,39
1.547647,283,12,53
1.579853,293,14,54
1.610698,297,13,80
1.641310,304,12,84
1.673160,308,12,74
1.702290,313,13,58
1.733676,317,12,40
1.765675,321,12,70
1.795349,323,14,49
1.826849,323,14,74
1.858822,334,11,60
1.888862,339,12,24
1.919523,344,12,119
1.951249,350,11,37
1.981405,356,10,83
2.012584,359,13,69
2.044707,361,12,74
2.075011,366,12,36
2.106546,371,12,69
2.137466,375,12,74
2.167536,380,12,87
2.198200,382,11,57
2.230477,395,12,-40
2.261875,399,12,83
2.291489,402,11,70
2.323989,405,12,87
2.353070,410,11,37
2.384529,415,12,46
2.410414,419,12,43
2.435358,419,12,43
2.466391,429,12,41
2.497740,433,12,77
2.528879,439,12,77
2.559787,441,11,78
2.590293,443,10,57
2.621859,459,8,0
2.652367,459,2,37
2.684753,460,11,158
2.713893,462,12,158
2.733018,467,12,-29
2.764528,473,11,82
2.795940,480,10,44
2.826737,482,13,74
2.857039,485,12,72
2.887786,489,12,68
2.918828,498,11,103
2.949146,502,13,62
2.981467,508,12,62
3.005276,513,12,92
3.035999,515,12,80
3.067715,515,12,60
3.098212,518,12,90
3.128702,527,10,105
3.160882,529,11,56
3.191588,537,10,68
3.222662,545,10,76
3.253119,547,12,60
3.284534,553,10,76
3.315210,556,11,64
3.346152,559,12,38
3.377816,561,12,64
3.407614,564,11,5
3.439233,573,12,79
3.470504,582,13,72
3.501024,588,12,-5
3.532073,591,13,38
3.562702,596,13,64
3.594235,600,12,74
3.625430,604,12,71
3.656910,608,11,69
3.687139,608,11,40
3.718520,617,11,65
3.749190,621,13,72
3.780665,628,12,78
3.810807,630,12,125
3.842171,633,14,140
3.873459,642,12,30
3.904496,644,13,27
3.934524,649,12,76
3.966139,653,12,0
3.996457,660,12,26
4.028198,665,12,84
4.058793,667,11,69
4.090164,679,10,60
4.121399,681,13,66
4.152515,681,13,95
4.183197,690,12,89
4.213866,695,12,68
4.245248,700,13,45
4.276262,702,14,43
4.306279,702,14,86
4.337243,709,15,84
4.369103,716,13,78
4.400107,721,14,67
4.430652,725,14,41
4.461700,731,15,76
4.492983,734,15,89
4.523447,740,15,84
4.555353,743,14,42
4.585428,748,14,75
4.617024,751,13,61
4.647526,759,15,41
4.678847,761,15,80
4.709601,764,14,70
4.741532,775,15,85
4.771102,778,15,46
4.803138,782,15,63
4.835019,789,16,40
4.864812,794,15,25
4.895488,800,15,81
4.927724,800,15,96
4.958227,801,16,74
4.988148,810,14,19
5.020600,813,14,14
5.050159,822,15,61
5.081324,823,15,79
5.113556,826,16,99
5.143725,828,15,92
5.174804,842,17,143
5.206022,842,17,86
5.237418,846,16,158
5.268027,852,17,67
5.299549,853,16,81
5.329482,860,17,74
5.361458,867,19,48
5.392166,875,17,35
5.423424,879,18,69
5.454641,882,17,71
5.485029,882,17,71
5.516981,890,18,68
5.547292,890,18,77
5.578570,900,18,74
5.609447,905,18,85
5.634604,909,18,85
5.659373,912,19,64
5.691224,918,20,36
5.722132,921,21,36
5.753063,925,20,18
5.783330,930,21,75
5.815625,936,21,55
5.845215,944,19,90
5.877372,945,23,85
5.908234,946,22,83
5.939349,954,22,106
5.970412,959,21,50
6.001675,964,22,82
6.032069,969,23,47
6.063029,972,24,30
6.094015,974,22,53
6.124476,980,22,76
6.155681,988,22,76
6.186958,994,25,59
6.218346,998,26,41
6.248911,1000,26,34
6.279729,1010,24,82
6.310551,1014,24,108
6.341567,1017,25,82
6.373662,1017,25,82
6.403873,1026,26,91
6.434813,1030,26,163
6.465779,1031,26,0
6.496529,1041,25,64
6.527998,1045,27,38
6.558293,1050,26,83
6.589601,1052,27,90
6.620869,1057,28,43
6.652204,1061,28,88
6.682600,1064,26,94
6.713757,1072,28,131
6.745111,1076,29,57
6.775456,1079,29,57
6.806629,1089,30,89
6.837857,1090,30,145
6.868850,1096,29,72
6.900507,1104,28,149
6.931035,1105,29,46
6.961390,1108,29,91
6.993059,1108,29,91
7.024312,1121,32,84
7.054409,1125,32,79
7.085450,1128,33,54
7.116635,1136,33,116
7.147909,1139,35,83
7.179365,1144,34,79
7.209582,1146,35,87
7.241117,1149,34,75
7.272025,1154,35,98
7.302952,1157,35,0
7.333549,1164,34,72
7.364189,1171,36,85
7.395353,1173,36,85
7.426482,1182,35,60
7.457164,1184,35,94
7.488002,1192,35,69
7.519948,1198,36,62
7.549941,1200,38,79
7.570084,1200,39,69
7.599413,1205,41,71
7.631224,1207,42,74
7.660942,1219,42,115
7.693274,1220,45,49
7.724799,1228,43,87
7.754609,1233,45,125
7.785695,1235,45,50
7.817515,1238,45,41
7.846898,1249,44,81
7.878172,1252,46,62
7.910991,1255,46,57
7.940341,1257,48,62
7.970787,1262,47,133
8.003823,1269,47,133
8.032961,1269,51,70
8.063971,1276,51,119
8.089944,1278,52,13
8.120152,1282,52,133
8.150083,1291,52,72
8.182105,1295,52,70
8.212976,1300,52,69
8.243474,1306,52,159
8.276413,1311,52,135
8.306184,1313,53,62
8.337233,1315,52,68
8.362185,1320,52,66
8.387351,1325,53,82
8.418835,1334,55,86
8.449221,1335,56,84
8.480454,1339,57,64
8.511196,1341,58,94
8.542878,1344,58,110
8.572666,1354,58,79
8.591796,1357,60,87
8.622770,1362,60,87
8.654194,1362,61,70
8.684241,1371,61,57
8.716041,1373,61,92
8.747516,1380,60,80
8.777642,1385,62,57
8.808748,1389,63,42
8.840013,1393,63,85
8.870786,1398,64,85
8.902665,1407,63,137
8.933541,1410,73,51
8.963822,1414,116,111
8.994675,1417,174,108
9.025870,1426,248,152
9.057285,1428,312,115
9.087262,1432,417,215
9.119372,1438,514,32
9.150363,1439,444,0
9.180512,1432,335,0
9.211738,1432,334,0
9.242221,1431,333,0
