t_s,pos_act,force_g,current_mA
0.007763,61,31,0
0.037586,61,31,63
0.068681,62,37,38
0.100260,65,34,0
0.130463,72,34,80
0.162328,75,35,0
0.192976,81,34,67
0.224718,84,37,54
0.256163,91,34,69
0.286433,95,33,40
0.318201,96,34,88
0.348558,99,33,90
0.379333,104,34,69
0.410137,106,32,56
0.440869,111,30,39
0.472311,123,34,87
0.502528,125,32,59
0.533865,130,31,-11
0.565871,136,32,81
0.596996,138,32,47
0.629032,143,32,61
0.658558,150,30,52
0.689231,157,31,81
0.719931,159,31,76
0.750304,164,31,52
0.781770,173,29,99
0.813232,175,31,81
0.844113,177,30,81
0.874828,178,27,92
0.905580,185,30,67
0.936167,191,31,46
0.968207,194,31,37
0.999540,200,31,13
1.030291,202,30,-52
1.060276,207,27,43
1.092344,215,28,68
1.123937,221,28,43
1.153370,222,31,52
1.185741,229,27,62
1.217003,239,26,24
1.246409,242,28,43
1.277749,242,29,85
1.310379,244,28,64
1.339506,253,27,-28
1.370154,260,28,73
1.402635,263,29,60
1.432781,267,28,18
1.464527,276,25,18
1.496514,276,28,38
1.525317,280,30,-14
1.556958,282,27,52
1.589284,290,27,82
1.619135,294,27,57
1.649766,297,27,68
1.681726,302,26,47
1.711943,308,27,46
1.743829,315,27,81
1.773998,318,27,122
1.805589,322,27,58
1.836842,329,27,80
1.867312,335,26,64
1.892754,338,28,30
1.922515,342,27,57
1.953776,349,27,39
1.984604,354,27,54
2.016279,358,29,73
2.047178,359,27,64
2.078564,365,26,73
2.108643,371,26,54
2.139340,375,27,79
2.171180,380,26,72
2.201212,383,26,61
2.232788,390,25,81
2.263791,392,26,87
2.295282,398,26,69
2.325946,401,27,101
2.356741,404,28,62
2.387695,407,27,46
2.418770,413,27,49
2.449775,418,28,84
2.480690,421,25,49
2.511527,433,26,84
2.542185,438,27,69
2.573513,443,26,69
2.604272,443,27,59
2.635492,449,25,-48
2.666821,465,19,-33
2.697573,462,13,33
2.728380,462,23,86
2.759244,467,25,65
2.790970,467,26,65
2.821135,477,23,50
2.852710,483,25,49
2.883401,486,26,93
2.914344,490,25,83
2.945585,497,25,139
2.976206,502,25,30
3.007667,506,25,25
3.038432,511,26,92
3.069709,513,25,63
3.100716,517,27,95
3.131257,527,24,85
3.162205,529,26,99
3.193552,535,26,28
3.224662,544,25,56
3.255488,545,27,74
3.287140,551,26,67
3.317030,556,26,20
3.347909,556,26,143
3.379166,560,27,93
3.410397,562,27,-25
3.441145,569,25,67
3.472149,580,24,138
3.503781,582,27,91
3.535134,585,26,68
3.564813,589,26,64
3.597013,594,26,39
3.627427,599,26,88
3.657953,603,26,93
3.688896,606,28,65
3.720703,609,26,12
3.750622,614,28,51
3.782216,626,27,73
3.813263,628,27,131
3.844840,635,28,55
3.875964,642,27,85
3.907399,642,27,85
3.937287,644,28,71
3.968056,651,26,-2
3.999986,662,26,96
4.029823,663,27,38
4.060993,665,28,52
4.092994,672,28,94
4.123192,674,28,52
4.154289,681,29,90
4.186267,679,28,64
4.215875,691,27,99
4.247322,695,29,55
4.278897,697,27,53
4.309091,701,28,57
4.340078,705,27,152
4.372420,711,28,18
4.402394,723,26,54
4.432364,725,28,53
4.465371,727,28,16
4.495415,734,26,40
4.525356,737,26,89
4.557850,741,26,97
4.589079,747,26,77
4.613581,750,27,50
4.639045,760,26,48
4.669651,762,28,49
4.700859,764,28,95
4.731572,765,29,106
4.762656,773,27,58
4.793337,778,28,66
4.814292,778,28,60
4.842969,789,28,83
4.873925,791,29,68
4.905409,794,28,53
4.937147,800,29,44
4.967330,801,31,52
4.998230,806,28,66
5.029575,814,28,42
5.061053,822,27,58
5.091392,823,30,115
5.121791,824,28,81
5.153281,826,29,45
5.184418,837,28,45
5.215154,837,32,134
5.246706,846,31,58
5.278029,852,31,64
5.307456,853,30,60
5.338964,858,31,56
5.369387,862,31,12
5.401109,867,30,52
5.433056,876,32,128
5.462852,881,32,77
5.494406,884,33,83
5.525048,889,33,67
5.556161,892,34,14
5.587676,897,33,78
5.618139,904,34,46
5.648970,906,34,114
5.679961,910,34,87
5.710377,918,34,80
5.742659,921,34,138
5.773740,923,34,82
5.804096,928,34,88
5.834575,937,32,59
5.866791,944,34,58
5.897204,944,34,104
5.928790,946,34,38
5.959521,952,32,88
5.990429,961,34,91
6.022047,964,35,94
6.052426,965,35,84
6.083388,973,35,38
6.114207,975,35,58
6.144930,987,34,43
6.175629,989,37,83
6.207544,993,36,96
6.238757,996,35,95
6.269144,1000,35,4
6.300036,1005,35,31
6.330297,1015,34,63
6.362542,1015,37,116
6.393119,1017,37,0
6.424708,1023,36,0
6.455060,1023,38,46
6.485263,1032,37,17
6.517635,1042,39,50
6.548653,1043,39,43
6.578408,1046,39,62
6.610014,1052,40,46
6.640284,1058,41,49
6.672605,1061,40,56
6.702733,1067,41,96
6.733820,1075,40,101
6.765959,1078,41,66
6.795840,1083,41,57
6.826783,1086,41,45
6.856975,1091,41,84
6.890142,1092,42,67
6.919530,1101,42,94
6.951308,1106,43,145
6.982851,1107,43,15
7.012813,1113,44,96
7.044405,1120,45,96
7.075723,1120,47,59
7.105601,1127,46,71
7.135991,1135,48,94
7.168125,1139,49,74
7.198354,1142,48,46
7.229054,1145,48,80
7.262114,1149,48,80
7.291568,1149,47,125
7.322824,1160,48,81
7.353961,1169,48,34
7.385371,1173,50,56
7.415304,1179,49,104
7.448367,1180,49,52
7.478058,1183,51,4
7.509518,1189,50,4
7.535197,1196,52,77
7.564416,1200,53,108
7.594629,1204,53,99
7.626733,1206,54,75
7.657631,1213,54,58
7.688732,1213,54,137
7.720123,1219,55,-30
7.750538,1226,54,69
7.781762,1234,53,57
7.813116,1235,55,76
7.843294,1235,56,9
7.874492,1248,54,9
7.905589,1248,54,62
7.936516,1254,55,83
7.961737,1256,55,37
7.987114,1259,58,21
8.018793,1269,57,32
8.048909,1270,59,94
8.080384,1276,61,160
8.112206,1278,62,89
8.142972,1279,60,45
8.173848,1293,62,123
8.204053,1295,62,105
8.236178,1297,63,43
8.266178,1300,62,103
8.297994,1311,62,103
8.328433,1314,65,79
8.359785,1318,65,30
8.390094,1322,67,50
8.421720,1334,66,22
8.452612,1335,68,158
8.483388,1339,70,87
8.514576,1341,70,147
8.545295,1343,72,5
8.577047,1348,73,169
8.607688,1357,72,98
8.638149,1359,74,91
8.669047,1366,75,65
8.700834,1369,76,50
8.732035,1373,76,64
8.763000,1380,74,79
8.793822,1385,77,60
8.824035,1387,78,72
8.855281,1391,80,64
8.886467,1394,79,108
8.917287,1400,79,108
8.948958,1400,79,108
8.979458,1413,82,50
9.011000,1418,82,70
9.041185,1424,82,91
9.072489,1426,82,89
9.103208,1432,81,88
9.134755,1432,81,88
9.165501,1447,67,128
9.196462,1440,69,52
9.227659,1453,81,104
9.257955,1456,81,76
9.289172,1458,82,74
9.319831,1460,85,113
9.351253,1461,85,1
9.382487,1471,87,80
9.412683,1475,87,40
9.443933,1482,85,24
9.474727,1491,86,167
9.505974,1492,88,105
9.536581,1497,88,105
9.568340,1504,89,52
9.599222,1505,91,67
9.630633,1510,91,65
9.660829,1521,91,45
9.691619,1522,94,65
9.723591,1525,94,161
9.754331,1527,97,75
9.785782,1541,93,50
9.815876,1543,93,42
9.847272,1543,99,84
9.877506,1544,101,111
9.908643,1550,102,78
9.939867,1555,104,40
9.971144,1567,105,90
10.002261,1567,105,104
10.033384,1571,107,112
10.063549,1573,106,101
10.094609,1580,109,128
10.125810,1582,110,75
10.157075,1592,110,75
10.187568,1597,112,94
10.218821,1601,113,150
10.249977,1603,114,79
10.281212,1613,115,110
10.311376,1619,115,76
10.342393,1622,118,81
10.373690,1622,118,81
10.404871,1628,119,119
10.436253,1631,119,78
10.466314,1639,119,78
10.486685,1644,118,161
10.515676,1650,119,78
10.547139,1651,121,120
10.578224,1653,123,37
10.609747,1661,124,91
