t_s,force_g,pos_act,current_mA
0.011717,6,1295,0
0.031932,6,,
0.044015,6,,
0.054905,6,,
0.061278,13,,
0.075326,13,,
0.086205,13,,
0.092963,23,,
0.106026,23,1298,70
0.136285,30,,
0.147990,34,,
0.154339,34,,
0.167571,34,,
0.178318,34,,
0.184978,34,,
0.199136,34,,
0.210085,36,1309,-40
0.240591,37,,
0.248356,37,,
0.260590,37,,
0.271789,39,,
0.278646,39,,
0.292214,39,,
0.302490,41,,
0.310239,41,1313,61
0.340038,43,,
0.354479,44,,
0.364574,44,,
0.371377,44,,
0.384768,44,,
0.396150,44,,
0.402876,44,,
0.416123,45,1320,95
0.447022,45,,
0.457792,45,,
0.464108,45,,
0.478082,44,,
0.488875,44,,
0.495313,44,,
0.508217,39,,
0.519428,39,1332,76
0.550939,44,,
0.557286,44,,
0.570301,46,,
0.582486,46,,
0.590062,47,,
0.602024,47,,
0.612965,47,,
0.619373,47,1339,53
0.650232,47,,
0.663692,47,,
0.676002,47,,
0.682583,48,,
0.694725,48,,
0.705314,48,,
0.713180,49,,
0.725048,49,1341,80
0.756771,49,,
0.769175,49,,
0.775881,49,,
0.787780,49,,
0.798428,50,,
0.806087,50,,
0.819303,50,,
0.829126,52,1355,58
0.861937,52,,
0.868693,52,,
0.881074,52,,
0.891123,52,,
0.897678,52,,
0.912004,52,,
0.922933,53,,
0.929640,53,1359,51
0.960975,53,,
0.974200,54,,
0.985080,54,,
0.991624,54,,
1.004596,54,,
1.015613,54,,
1.022059,54,,
1.034974,55,1370,101
1.053932,55,,
1.066341,55,,
1.077609,55,,
1.084282,55,,
1.097570,55,,
1.108630,55,,
1.115205,55,,
1.128452,55,1376,52
1.159268,55,,
1.170189,55,,
1.176579,55,,
1.190977,56,,
1.201966,56,,
1.208392,55,,
1.221234,55,,
1.232978,55,1385,84
1.264405,56,,
1.271076,57,,
1.283475,57,,
1.295569,57,,
1.302329,57,,
1.314340,57,,
1.326423,57,,
1.332907,57,1391,50
1.364578,58,,
1.376737,58,,
1.388805,61,,
1.395297,61,,
1.407536,61,,
1.419592,78,,
1.426009,78,,
1.438047,78,1401,76
1.469558,99,,
1.481412,125,,
1.488045,125,,
1.500551,125,,
1.512417,151,,
1.519013,151,,
1.531036,151,,
1.542863,139,1407,-74
1.574148,139,,
1.580881,139,,
1.594117,87,,
1.605444,87,,
1.612008,87,,
1.623932,87,,
1.630446,88,,
1.636890,88,1401,0
1.668317,88,,
1.675184,88,,
1.687842,89,,
1.697860,89,,
1.705522,89,,
1.717556,90,,
1.728678,90,,
1.735031,90,1402,0
1.760656,90,,
1.767086,90,,
1.780569,91,,
1.791338,91,,
1.797862,91,,
1.810852,92,,
1.822302,92,,
1.829229,92,1402,0
1.859986,93,,
1.873125,93,,
1.884139,93,,
1.891017,93,,
1.904357,93,,
1.915215,93,,
1.921705,93,,
1.934633,93,1402,0
1.966869,92,,
1.976607,92,,
1.983245,92,,
1.997437,92,,
2.008247,92,,
2.014703,92,,
2.027688,92,,
2.039510,92,1401,0
2.069590,92,,
2.076009,92,,
2.089973,92,,
2.100680,92,,
2.107124,92,,
2.121412,92,,
2.132428,91,,
2.138933,91,1401,0
2.170531,91,,
2.182785,91,,
2.193823,91,,
2.201451,91,,
2.214433,91,,
2.225391,91,,
2.231896,91,,
2.244788,91,1401,0
2.275938,90,,
2.286454,90,,
2.292764,90,,
2.306458,90,,
2.318183,90,,
2.324518,90,,
2.337645,90,,
2.349477,90,1402,0
2.380273,90,,
2.386757,90,,
2.399692,90,,
2.410362,90,,
2.416729,90,,
2.430682,89,,
2.441375,89,,
