trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
B_dof1_v25_F1000_n02.csv,1,25,1000,1116,116,999,2202,1392,78,0,,1,43,fijo,44
B_dof1_v25_F1000_n03.csv,1,25,1000,1006,6,845,2078,1402,78,0,,2,6,fijo,44
B_dof1_v25_F100_n01.csv,1,25,100,151,51,82,1501,1401,78,0,,1,5,fijo,44
B_dof1_v25_F1000_n00.csv,1,25,1000,1058,58,407,1972,1392,78,0,,2,5,fijo,44
B_dof1_v25_F100_n03.csv,1,25,100,146,46,83,1477,1394,78,0,,1,5,fijo,44
B_dof1_v25_F100_n04.csv,1,25,100,144,44,95,1475,1400,78,0,,1,5,fijo,44
B_dof1_v25_F100_n02.csv,1,25,100,178,78,95,1476,1392,78,0,,1,4,fijo,44
B_dof1_v25_F100_n00.csv,1,25,100,133,33,94,1520,1394,78,0,,1,4,fijo,44
B_dof1_v25_F1000_n04.csv,1,25,1000,1056,56,961,2046,1394,78,0,,1,5,fijo,44
B_dof1_v25_F1000_n01.csv,1,25,1000,1053,53,912,2013,1394,78,0,,2,5,fijo,44
