t_s,pos_act,force_g,current_mA
0.000963,58,0,0
0.002833,58,0,0
0.010217,58,0,0
0.012104,58,0,0
0.013947,58,0,0
0.015841,58,0,0
0.017748,58,0,0
0.020329,58,0,0
0.031505,58,0,0
0.033411,58,0,0
0.035330,58,0,0
0.043015,58,0,0
0.044927,58,0,0
0.046803,58,0,0
0.049100,58,0,0
0.051879,58,0,0
0.063580,58,0,0
0.066680,58,0,0
0.074236,58,0,0
0.077203,58,0,0
0.080170,58,0,0
0.092665,58,1,94
0.095692,58,1,94
0.103261,58,1,94
0.106224,58,1,94
0.108746,58,1,94
0.111342,58,1,94
0.113908,58,1,40
0.124861,58,1,40
0.127621,58,1,40
0.135490,58,1,40
0.138510,58,1,40
0.141498,58,1,40
0.144515,58,3,104
0.156399,58,3,104
0.159644,58,3,104
0.167558,58,3,104
0.170098,58,3,104
0.172367,58,3,58
0.174898,63,13,58
0.186315,63,13,58
0.189439,63,13,58
0.197544,63,13,58
0.200858,63,13,58
0.203860,65,20,89
0.206407,65,20,89
0.217625,65,20,89
0.219499,65,20,89
0.227445,65,20,89
0.229711,65,20,89
0.232548,65,20,89
0.234748,65,20,57
0.237312,67,23,57
0.248541,67,23,57
0.250789,67,23,57
0.258200,67,23,57
0.260067,67,23,57
0.261964,67,23,57
0.264159,67,23,57
0.266088,73,25,95
0.268338,73,25,95
0.279144,73,25,95
0.281009,73,25,95
0.282838,73,25,95
0.289936,73,25,95
0.292173,73,25,95
0.294439,73,25,-28
0.297456,76,27,-28
0.309112,76,27,-28
0.312040,76,27,-28
0.314589,76,27,-28
0.322411,76,27,-28
0.325384,76,28,61
0.327850,76,28,61
0.330514,76,28,61
0.342009,76,28,61
0.344903,76,28,61
0.352491,76,28,61
0.355372,76,28,61
0.357876,76,30,162
0.360068,76,30,162
0.370988,76,30,162
0.373515,76,30,162
0.376050,76,30,162
0.384381,76,30,162
0.387369,76,27,66
0.390326,81,27,66
0.402030,81,27,66
0.404222,81,27,66
0.406916,81,27,66
0.415702,81,27,66
0.418641,82,30,98
0.421627,82,30,98
