t_s,pos_act,force_g,current_mA
0.001103,59,0,0
0.003754,59,0,0
0.015319,59,0,0
0.017814,59,0,0
0.020047,59,0,0
0.027484,59,0,0
0.030095,59,0,0
0.032803,59,0,164
0.035814,59,0,164
0.047276,59,0,164
0.049218,59,0,164
0.052152,59,0,164
0.059913,59,0,164
0.062130,59,0,164
0.064668,59,0,57
0.066920,59,0,57
0.078251,59,0,57
0.080761,59,0,57
0.082615,59,0,57
0.089992,59,0,57
0.091868,59,0,57
0.093726,59,0,133
0.095546,59,0,133
0.097416,59,0,133
0.108313,59,0,133
0.110361,59,0,133
0.112259,59,0,133
0.119482,59,0,133
0.121292,59,0,133
0.123133,59,0,132
0.124975,59,2,132
0.126804,59,2,132
0.128661,59,2,132
0.139564,59,2,132
0.141341,59,2,132
0.143165,59,2,132
0.150621,59,2,132
0.152443,59,2,132
0.154282,65,16,61
0.156093,65,16,61
0.157972,65,16,61
0.159832,65,16,61
0.171177,65,16,61
0.173441,65,16,61
0.175563,65,16,61
0.183398,65,16,77
0.185625,67,21,77
0.188539,67,21,77
0.191023,67,21,77
0.202515,67,21,77
0.205497,67,21,77
0.213462,67,23,66
0.215631,69,23,66
0.217879,69,23,66
0.220665,69,23,66
0.223228,69,23,66
0.234574,69,23,66
0.237579,69,23,105
0.245345,74,24,105
0.247214,74,24,105
0.249798,74,24,105
0.251686,74,24,105
0.253541,74,24,105
0.265371,74,24,105
0.268539,74,24,62
0.276461,76,27,62
0.279072,76,27,62
0.281969,76,27,62
0.285187,76,27,62
0.297004,76,27,62
0.300242,76,29,110
0.307910,76,29,110
0.311088,76,29,110
0.314299,76,29,110
0.326712,76,29,110
0.330064,77,32,51
0.337916,77,32,51
0.340529,77,32,51
0.343459,77,32,51
0.346438,77,32,51
0.358579,77,32,51
0.360755,77,30,86
0.368071,81,30,86
0.371309,81,30,86
0.374559,81,30,86
0.376495,81,30,86
0.388445,81,30,98
0.391390,84,30,98
0.399538,84,30,98
0.402122,84,30,98
0.404419,84,30,98
0.406637,84,30,98
0.418674,84,30,98
0.421844,84,26,-25
0.429817,89,26,-25
0.432756,89,26,-25
0.435512,89,26,-25
0.438474,89,26,-25
0.450597,89,26,-25
0.453154,89,26,-25
0.460835,89,26,-25
0.463964,89,26,-25
0.467257,89,26,-25
0.470394,89,26,-25
0.482282,93,27,39
0.485209,93,27,39
0.492695,93,27,39
0.495586,93,27,39
0.498497,93,27,39
0.500429,93,27,39
0.512242,95,30,59
0.514800,95,30,59
0.522608,95,30,59
0.525162,95,30,59
0.527373,95,30,59
0.529606,95,30,59
0.531400,95,30,59
0.542389,95,29,61
0.544857,97,29,61
0.546660,97,29,61
0.554367,97,29,61
0.556167,97,29,61
0.557983,97,29,61
0.559845,97,29,61
0.561655,97,29,61
0.563561,97,29,62
0.574854,97,29,62
0.577455,97,29,62
