t_s,pos_act,force_g,current_mA
0.000989,58,0,0
0.003767,58,0,0
0.006617,58,0,0
0.017888,58,0,0
0.019747,58,0,0
0.021986,58,0,0
0.030063,58,0,0
0.032702,58,0,0
0.035251,58,0,0
0.037839,58,0,0
0.049382,58,0,79
0.051233,58,0,79
0.059338,58,0,79
0.061946,58,0,79
0.064897,58,0,79
0.066776,58,0,79
0.068682,58,0,79
0.079860,58,0,79
0.081724,58,0,79
0.083635,58,0,79
0.090593,58,0,79
0.092453,58,0,79
0.094259,58,0,79
0.096077,58,0,79
0.097959,58,0,79
0.099847,58,0,79
0.110768,58,0,91
0.112719,58,0,91
0.114596,58,0,91
0.122027,58,0,91
0.124888,58,0,91
0.126721,58,0,91
0.129505,58,0,91
0.131544,58,8,109
0.142661,58,8,109
0.145078,58,8,109
0.153340,58,8,109
0.155523,58,8,109
0.157713,58,8,109
0.160245,58,8,48
0.172034,63,17,48
0.175086,63,17,48
0.183168,63,17,48
0.185328,63,17,48
0.187896,63,17,48
0.190419,63,17,180
0.193031,65,20,180
0.205033,65,20,180
0.208290,65,20,180
0.215164,65,20,180
0.217027,65,20,180
0.218936,65,20,180
0.220865,65,24,37
0.223840,68,24,37
0.236124,68,24,37
0.239004,68,24,37
0.247353,68,24,37
0.249951,68,24,37
0.252969,68,27,84
0.265175,73,27,84
0.267358,73,27,84
0.269910,73,27,84
0.277230,73,27,84
0.279090,73,27,84
0.280976,73,27,84
0.283212,73,29,87
0.285107,75,29,87
0.296056,75,29,87
0.298261,75,29,87
0.300868,75,29,87
0.308254,75,29,87
0.310467,75,29,87
0.312720,75,29,32
0.315330,76,31,32
0.317612,76,31,32
0.328444,76,31,32
0.331473,76,31,32
0.339309,76,31,32
0.342285,76,31,150
0.345229,76,31,150
0.348180,76,31,150
0.360016,76,31,150
0.362973,76,31,150
0.371040,76,31,150
0.374191,81,30,43
0.376352,81,30,43
0.379156,81,30,43
0.391399,81,30,43
0.394894,81,30,43
0.402418,81,30,78
0.405339,83,29,78
0.408290,83,29,78
0.419931,83,29,78
0.422826,83,29,78
0.431307,83,29,78
0.433830,86,29,69
0.435707,86,29,69
0.437607,86,29,69
0.440212,86,29,69
0.452031,86,29,69
0.455052,86,29,69
0.462991,86,27,99
0.466051,89,27,99
0.468599,89,27,99
0.470871,89,27,99
0.482077,89,27,99
0.483945,89,27,99
0.485887,89,27,99
0.492993,89,27,99
0.495699,89,27,99
0.499180,89,27,99
0.502489,89,27,99
0.514457,89,27,99
0.516953,89,27,99
0.524284,89,30,55
0.526170,93,30,55
0.528614,93,30,55
0.531596,93,30,55
0.534545,93,30,55
0.546014,93,30,55
0.548999,93,30,55
0.556670,93,30,55
0.559621,93,30,55
0.562579,93,30,55
0.565797,93,30,55
0.577337,93,30,55
0.580394,97,30,65
0.588137,97,30,65
0.590716,97,30,65
0.593666,97,30,65
0.596995,97,30,65
0.608289,97,30,65
0.610674,97,30,75
0.618345,97,30,75
0.621000,97,30,75
0.623515,97,30,75
0.625410,97,30,75
0.637120,97,30,75
0.639652,97,30,75
0.641539,97,30,101
0.648503,100,30,101
0.650342,100,30,101
0.652284,100,30,101
0.654465,100,30,101
0.656311,100,30,101
0.667713,100,30,101
0.669491,100,30,101
0.671342,100,30,101
0.673192,102,30,53
0.680939,102,30,53
0.683110,102,30,53
0.684987,102,30,53
0.687576,102,30,53
0.698991,102,30,53
