t_s,pos_act,force_g,current_mA
0.000776,58,0,0
0.002965,58,0,0
0.004787,58,0,0
0.016069,58,0,0
0.018464,58,0,0
0.020652,58,0,0
0.028055,58,0,0
0.029898,58,0,0
0.032087,58,0,0
0.033937,58,0,0
0.035772,58,0,0
0.037603,58,0,0
0.048834,58,0,75
0.051104,58,0,75
0.058406,58,0,75
0.060252,58,0,75
0.062086,58,0,75
0.063929,58,0,75
0.065770,58,0,75
0.067588,58,0,75
0.078485,58,6,70
0.080307,58,6,70
0.082160,58,6,70
0.089192,58,6,70
0.091032,58,6,70
0.092842,58,6,70
0.094675,58,6,70
0.096505,58,6,70
0.098363,58,6,85
0.109274,62,13,85
0.111497,62,13,85
0.113974,62,13,85
0.121040,62,13,85
0.123251,62,13,85
0.125093,62,13,85
0.127349,62,13,85
0.129887,62,17,81
0.140813,66,17,81
0.142652,66,17,81
0.144865,66,17,81
0.152171,66,17,81
0.154050,66,17,81
0.156238,66,17,81
0.158859,66,17,81
0.161048,66,19,22
0.172253,74,19,22
0.174081,74,19,22
0.176284,74,19,22
0.183755,74,19,22
0.185924,74,19,22
0.187744,74,19,22
0.189573,74,19,22
0.191769,74,24,71
0.203016,76,24,71
0.204832,76,24,71
0.206697,76,24,71
0.213714,76,24,71
0.215489,76,24,71
0.217443,76,24,71
0.219242,76,24,71
0.221077,76,24,97
0.222920,79,29,97
0.234072,79,29,97
0.235878,79,29,97
0.238091,79,29,97
0.245648,79,29,97
0.247481,79,29,97
0.249307,79,29,97
0.251174,79,29,75
0.253394,86,28,75
0.264251,86,28,75
0.266049,86,28,75
0.268223,86,28,75
0.275297,86,28,75
0.277129,86,28,75
0.278967,86,28,75
0.280813,86,28,65
0.282655,92,28,65
0.284493,92,28,65
0.295271,92,28,65
0.297089,92,28,65
0.298980,92,28,65
0.306093,92,28,65
0.307950,92,28,65
0.309775,92,28,65
0.311645,92,29,48
0.313833,96,29,48
0.315713,96,29,48
0.327051,96,29,48
0.329267,96,29,48
0.331462,96,29,48
0.338831,96,29,48
0.340702,96,29,48
0.342557,96,29,25
0.344767,99,29,25
0.346641,99,29,25
0.357712,99,29,25
0.359916,99,29,25
0.362145,99,29,25
0.369778,99,29,25
0.372334,99,29,25
0.374524,104,30,64
0.376381,104,30,64
0.378260,104,30,64
0.389535,104,30,64
0.391789,104,30,64
0.399280,104,30,64
0.401813,104,30,64
0.404050,104,32,97
0.406672,104,32,97
0.419346,104,32,97
0.422958,104,32,97
0.431849,104,32,-75
0.435684,111,30,-75
0.439320,111,30,-75
0.450464,111,30,-75
0.452307,111,30,-75
0.454155,111,30,-75
0.461322,111,30,-75
0.463834,111,24,75
0.466079,120,24,75
0.468301,120,24,75
0.470505,120,24,75
0.481993,120,24,75
0.484180,120,24,75
0.486088,120,24,75
0.493737,122,28,41
0.496228,122,28,41
0.498427,122,28,41
0.500295,122,28,41
0.512117,122,28,41
0.514599,122,28,41
0.516815,122,28,41
0.524529,122,28,28
0.527074,125,29,28
0.529264,125,29,28
0.531487,125,29,28
0.533400,125,29,28
0.544278,125,29,28
0.546187,125,29,28
0.548098,125,29,28
0.556286,127,28,25
0.558453,127,28,25
0.560320,127,28,25
0.562170,127,28,25
0.563995,127,28,25
0.574889,127,28,25
0.577067,127,28,25
0.578942,127,28,25
0.586018,136,29,35
0.588593,136,29,35
0.590448,136,29,35
0.592690,136,29,35
0.594581,136,29,35
0.605768,136,29,35
0.607635,136,29,35
0.609506,136,29,35
0.617013,138,29,21
0.618882,138,29,21
0.620775,138,29,21
0.623376,138,29,21
0.625947,138,29,21
0.636834,138,29,21
0.639070,138,29,21
0.641981,138,29,21
0.649092,145,26,21
0.651647,145,26,21
0.653546,145,26,21
0.655881,145,26,21
0.668089,145,26,21
0.669922,145,26,21
0.671841,147,29,99
0.679370,147,29,99
0.681857,147,29,99
0.684069,147,29,99
0.686313,147,29,99
0.688228,147,29,99
0.700928,147,29,76
0.709695,154,28,76
0.713183,154,28,76
0.716671,154,28,76
0.729383,154,28,83
0.733141,159,27,83
0.741357,159,27,83
0.744076,159,27,83
0.746095,159,27,83
0.748856,159,27,83
0.760038,159,27,83
0.762216,159,27,83
0.764397,164,28,84
0.771470,164,28,84
0.773714,164,28,84
0.776251,164,28,84
0.778473,164,28,84
0.780334,164,28,84
0.791258,164,28,54
0.793840,169,28,54
0.796066,169,28,54
0.803348,169,28,54
0.805558,169,28,54
0.808071,169,28,54
0.809909,169,28,54
0.811752,169,28,54
0.822621,169,28,54
0.824448,171,28,60
0.826287,171,28,60
0.833383,171,28,60
0.835823,171,28,60
0.837657,171,28,60
0.839488,171,28,60
0.841367,171,28,60
0.843245,171,28,30
0.854165,177,28,30
0.855949,177,28,30
0.857841,177,28,30
0.865151,177,28,30
0.867299,177,28,30
0.869300,177,28,30
0.872051,177,28,30
0.874189,177,28,10
0.885878,180,29,10
