t_s,force_g,pos_act,current_mA
0.006011,19,1467,0
0.008602,19,,
0.009245,19,,
0.009868,19,,
0.010825,19,,
0.011787,19,,
0.012776,19,,
0.013422,19,,
0.014387,19,1467,0
0.016351,19,,
0.026084,19,,
0.027016,19,,
0.027974,19,,
0.028583,19,,
0.029220,19,,
0.029814,19,,
0.030754,19,1467,0
0.038789,23,,
0.039760,23,,
0.040668,23,,
0.041613,23,,
0.042264,23,,
0.042851,23,,
0.043479,23,,
0.044125,23,1468,50
0.046677,23,,
0.047332,23,,
0.057162,23,,
0.058127,23,,
0.058737,23,,
0.059706,23,,
0.060655,23,,
0.061614,23,1468,50
0.069117,23,,
0.069730,23,,
0.070349,23,,
0.071344,23,,
0.072403,23,,
0.073403,23,,
0.074290,23,,
0.074908,23,1468,50
0.077110,23,,
0.077754,23,,
0.087822,23,,
0.088867,23,,
0.089771,23,,
0.090740,23,,
0.091678,23,,
0.092328,23,1468,50
0.099348,39,,
0.099960,39,,
0.100631,39,,
0.101647,39,,
0.102572,39,,
0.103522,39,,
0.104133,39,,
0.105106,39,1472,99
0.107723,39,,
0.108321,39,,
0.109290,39,,
0.118723,39,,
0.119657,39,,
0.120274,39,,
0.120880,39,,
0.121849,39,1472,99
0.130183,39,,
0.131094,39,,
0.131706,45,,
0.132683,45,,
0.133314,45,,
0.134312,45,,
0.134973,45,,
0.135872,45,1474,48
0.138064,45,,
0.139004,45,,
0.139725,45,,
0.140592,45,,
0.150065,45,,
0.151000,45,,
0.151664,45,,
0.152612,45,1474,48
0.154494,52,,
0.155438,52,,
0.160919,52,,
0.161526,52,,
0.162160,52,,
0.163119,52,,
0.163760,52,,
0.164386,52,1475,84
0.166269,52,,
0.167210,52,,
0.167834,52,,
0.168461,52,,
0.169086,52,,
0.169714,52,,
0.170692,52,,
0.171343,52,1475,84
0.182598,52,,
0.183213,52,,
0.184126,52,,
0.184775,52,,
0.185409,52,,
0.186163,63,,
0.191904,63,,
0.192794,63,1479,77
0.194970,63,,
0.195622,63,,
0.196258,63,,
0.196883,63,,
0.197495,63,,
0.198125,63,,
0.198778,63,,
0.199727,63,1479,77
0.201630,63,,
0.202639,63,,
0.212155,63,,
0.213103,63,,
0.214049,63,,
0.214691,68,,
0.215305,68,,
0.216265,68,1483,104
0.223962,68,,
0.224902,68,,
0.225486,68,,
0.226107,68,,
0.227075,68,,
0.227728,68,,
0.228693,68,,
0.229305,68,1483,104
0.231221,68,,
0.231822,68,,
0.232425,68,,
0.233062,68,,
0.242752,68,,
0.243634,68,,
0.244244,68,,
0.245186,68,1483,104
0.247009,70,,
0.247988,70,,
0.254026,70,,
0.254981,70,,
0.256048,70,,
0.256951,70,,
0.257865,70,,
0.258806,70,1485,42
0.260692,70,,
0.261306,70,,
0.261947,70,,
0.262568,70,,
0.263223,70,,
0.264127,70,,
0.273725,70,,
0.274555,70,1485,11
0.276755,72,,
0.277360,72,,
0.277985,72,,
0.278948,72,,
0.284800,72,,
0.285416,72,,
0.286184,72,,
0.287276,72,1489,11
0.289725,72,,
0.290345,72,,
0.290963,72,,
0.291581,72,,
0.292191,72,,
0.292812,72,,
0.293425,72,,
0.294096,72,1489,11
0.305655,72,,
0.306245,72,,
0.307362,75,,
0.308327,75,,
0.308935,75,,
0.309855,75,,
0.316097,75,,
0.316753,75,1490,75
0.318596,75,,
0.319222,75,,
0.319835,75,,
0.320804,75,,
0.321772,75,,
0.322402,75,,
0.323330,75,,
0.323954,75,1490,75
0.325801,75,,
0.335710,75,,
0.336309,75,,
0.337253,75,,
0.337857,75,,
0.338472,75,,
0.339404,75,,
