t_s,force_g,pos_act,current_mA
0.000990,27,1602,0
0.012629,27,,
0.013585,27,,
0.014190,27,,
0.014804,27,,
0.015766,27,,
0.022081,27,,
0.022992,27,,
0.023947,27,1602,0
0.026124,27,,
0.026754,27,,
0.027728,27,,
0.028685,27,,
0.029634,27,,
0.030906,27,,
0.031871,27,,
0.041577,27,1602,0
0.044103,27,,
0.044761,27,,
0.045714,27,,
0.046673,32,,
0.047301,32,,
0.053072,32,,
0.054010,32,,
0.054641,32,1602,133
0.057231,32,,
0.057834,32,,
0.058483,32,,
0.059120,32,,
0.059756,32,,
0.060386,32,,
0.061027,32,,
0.061647,32,1602,133
0.072876,32,,
0.073851,32,,
0.074781,32,,
0.075744,32,,
0.076711,42,,
0.077336,42,,
0.077946,42,,
0.083970,42,1603,101
0.086466,42,,
0.087440,42,,
0.088398,42,,
0.089033,42,,
0.089969,42,,
0.090919,42,,
0.091581,42,,
0.092342,42,1603,101
0.103823,42,,
0.104836,42,,
0.105770,42,,
0.106367,42,,
0.107322,42,,
0.107938,51,,
0.108567,51,,
0.109178,51,1605,54
0.116415,51,,
0.117444,51,,
0.118444,51,,
0.119327,51,,
0.120246,51,,
0.120816,51,,
0.121434,51,,
0.122066,51,1605,54
0.124232,51,,
0.124907,51,,
0.134759,51,,
0.135812,51,,
0.136750,51,,
0.137701,58,,
0.138671,58,,
0.139627,58,1607,109
0.147006,58,,
0.147964,58,,
0.148940,58,,
0.149886,58,,
0.150499,58,,
0.151128,58,,
0.151754,58,,
0.152730,58,1607,109
0.154938,58,,
0.155892,58,,
0.165678,58,,
0.166642,58,,
0.167591,58,,
0.168569,58,,
0.169526,58,,
0.170485,66,1610,45
0.177939,66,,
0.178906,66,,
0.179582,66,,
0.180564,66,,
0.181557,66,,
0.182483,66,,
0.183433,66,,
0.184063,66,1610,45
0.186262,66,,
0.186868,66,,
0.196654,66,,
0.197594,66,,
0.198215,66,,
0.199161,66,,
0.199785,66,,
0.200468,66,1610,45
0.208250,66,,
0.209180,66,,
0.210144,66,,
0.211102,66,,
0.211752,66,,
0.212369,66,,
0.212964,66,,
0.213562,66,1610,45
0.215442,66,,
0.216056,66,,
0.217071,66,,
0.217956,66,,
0.227700,66,,
0.228640,66,,
0.229217,66,,
0.230181,80,1614,90
0.232086,80,,
0.232742,80,,
0.238827,80,,
0.239712,80,,
0.240313,80,,
0.241263,80,,
0.241896,80,,
0.242535,80,1614,90
0.244791,80,,
0.245771,80,,
0.246718,80,,
0.247345,80,,
0.248338,80,,
0.249288,80,,
0.258804,80,,
0.259719,88,1617,68
0.261957,88,,
0.262558,88,,
0.263168,88,,
0.264119,88,,
0.269813,88,,
0.270847,88,,
0.271768,88,,
0.272378,88,1617,68
0.274573,88,,
0.275182,88,,
0.276138,88,,
0.276802,88,,
