trial_file,policy,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof1_v25_F1000_n07.csv,A,1,25,1000,1087,87,905,3899,1521,594,0,,4,86,tcp2,42
B_dof1_v25_F1000_n07.csv,B,1,25,1000,1112,112,882,2194,1656,571,0,,6,28,tcp2,42
B_dof1_v25_F1000_n08.csv,B,1,25,1000,1096,96,863,2195,1654,565,0,,6,27,tcp2,42
A_dof1_v25_F1000_n08.csv,A,1,25,1000,1232,232,964,3998,1524,583,0,,6,18,tcp2,42
B_dof1_v25_F1000_n01.csv,B,1,25,1000,1699,699,1319,2345,1654,588,0,,7,28,tcp2,44
A_dof1_v25_F1000_n01.csv,A,1,25,1000,1152,152,956,3982,1520,599,0,,6,19,tcp2,44
A_dof1_v25_F1000_n05.csv,A,1,25,1000,1245,245,969,3968,1520,589,0,,5,19,tcp2,44
B_dof1_v25_F1000_n05.csv,B,1,25,1000,1208,208,995,2217,1654,571,0,,6,29,tcp2,44
B_dof1_v25_F1000_n03.csv,B,1,25,1000,1469,469,1007,2255,1654,593,0,,7,27,tcp2,44
A_dof1_v25_F1000_n03.csv,A,1,25,1000,1349,349,1192,3980,1520,601,0,,8,19,tcp2,44
B_dof1_v25_F1000_n04.csv,B,1,25,1000,1210,210,930,2205,1654,600,0,,5,29,tcp2,44
A_dof1_v25_F1000_n04.csv,A,1,25,1000,1313,313,1137,3960,1521,597,0,,7,19,tcp2,44
A_dof1_v25_F1000_n02.csv,A,1,25,1000,1209,209,966,3978,1518,595,0,,6,19,tcp2,44
B_dof1_v25_F1000_n02.csv,B,1,25,1000,1181,181,979,2256,1654,598,0,,6,27,tcp2,44
B_dof1_v25_F1000_n00.csv,B,1,25,1000,1216,216,1112,2224,1654,568,0,,5,28,tcp2,44
A_dof1_v25_F1000_n00.csv,A,1,25,1000,1224,224,1127,3969,1521,599,0,,7,19,tcp2,44
A_dof1_v25_F1000_n09.csv,A,1,25,1000,1222,222,785,4004,1520,608,0,,6,19,tcp2,44
B_dof1_v25_F1000_n09.csv,B,1,25,1000,1075,75,906,2211,1656,613,0,,5,28,tcp2,44
B_dof1_v25_F1000_n06.csv,B,1,25,1000,1053,53,862,2173,1654,603,0,,5,28,tcp2,44
A_dof1_v25_F1000_n06.csv,A,1,25,1000,1328,328,988,4001,1521,606,0,,7,21,tcp2,44
