t_s,force_g,pos_act,current_mA
0.000961,38,1162,0
0.003210,38,,
0.004144,38,,
0.004761,38,,
0.005373,38,,
0.005985,38,,
0.006622,38,,
0.007252,38,,
0.007865,38,1162,0
0.010045,38,,
0.019741,38,,
0.020709,38,,
0.021353,38,,
0.022284,38,,
0.022892,38,,
0.023508,38,,
0.024473,37,1162,0
0.032344,37,,
0.032899,37,,
0.033544,37,,
0.034120,37,,
0.034791,37,,
0.035359,37,,
0.036295,37,,
0.036912,37,1162,0
0.039091,37,,
0.039737,37,,
0.040344,37,,
0.040864,37,,
0.050587,37,,
0.051540,37,,
0.052174,37,,
0.052828,37,1162,0
0.055004,37,,
0.055661,43,,
0.061757,43,,
0.062683,43,,
0.063596,43,,
0.064518,43,,
0.065471,43,,
0.066040,43,1164,89
0.068496,43,,
0.069503,43,,
0.070362,43,,
0.071294,43,,
0.072211,43,,
0.081502,43,,
0.082048,43,,
0.082658,43,1164,89
0.084523,43,,
0.085168,46,,
0.085758,46,,
0.086424,46,,
0.087030,46,,
0.093055,46,,
0.093637,46,,
0.094260,46,1168,100
0.096071,46,,
0.096720,46,,
0.097327,46,,
0.097893,46,,
0.098551,46,,
0.099157,46,,
0.099840,46,,
0.100712,46,1168,100
0.102535,46,,
0.112334,46,,
0.113180,46,,
0.113801,46,,
0.114430,46,,
0.115019,46,,
0.115757,46,,
0.116625,47,1168,96
0.123589,47,,
0.124548,47,,
0.125166,47,,
0.125776,47,,
0.126380,47,,
0.126942,47,,
0.127599,47,,
0.128211,47,1168,96
0.130030,47,,
0.130677,47,,
0.131243,47,,
0.131870,47,,
0.132522,47,,
0.133221,47,,
0.134067,47,,
0.143606,47,1173,125
0.145695,48,,
0.146304,48,,
0.146896,48,,
0.147522,48,,
0.148446,48,,
0.154600,48,,
0.155499,48,,
0.156446,48,1173,125
0.158612,48,,
0.159223,48,,
0.160187,48,,
0.160802,48,,
0.161410,48,,
0.162351,48,,
0.162918,48,,
0.163579,48,1173,125
0.174376,48,,
0.174946,48,,
0.175591,48,,
0.176202,48,,
0.176854,48,,
0.177468,48,,
0.178087,48,,
0.178717,48,1177,22
0.186089,48,,
0.187032,48,,
0.187639,48,,
0.188591,48,,
0.189207,48,,
0.189824,48,,
0.190739,48,,
0.191406,48,1177,22
0.193274,48,,
0.194189,48,,
0.194861,48,,
0.195478,48,,
0.196065,48,,
0.205743,48,,
0.206697,49,,
0.207640,49,1179,128
0.209532,49,,
0.210175,49,,
0.210807,49,,
0.216580,49,,
0.217162,49,,
0.217797,49,,
0.218768,49,,
0.219744,49,1179,128
0.221609,49,,
0.222232,49,,
0.222887,49,,
0.223511,49,,
0.224109,49,,
0.224784,49,,
0.225401,49,,
0.226020,49,1179,128
0.237343,49,,
0.237907,49,,
0.238925,50,,
0.239899,50,,
0.240494,50,,
0.241087,50,,
0.241735,50,,
0.247578,50,1180,101
0.250102,50,,
0.250730,50,,
0.251355,50,,
0.251950,50,,
0.252620,50,,
0.253199,50,,
0.254106,50,,
0.254712,50,1180,101
0.256581,50,,
0.257243,50,,
0.257873,50,,
