t_s,force_g,pos_act,current_mA
0.000967,16,1295,0
0.008360,16,,
0.008975,16,,
0.009912,16,,
0.010916,16,,
0.011886,16,,
0.012859,16,,
0.013817,16,,
0.014774,16,1295,0
0.016953,16,,
0.026923,16,,
0.027492,16,,
0.028128,16,,
0.028741,16,,
0.029360,16,,
0.030029,16,,
0.030566,16,1295,0
0.032728,16,,
0.038302,16,,
0.038902,16,,
0.039836,16,,
0.040809,16,,
0.041469,16,,
0.042066,16,,
0.042687,16,1295,0
0.044894,16,,
0.045508,16,,
0.046163,16,,
0.046806,16,,
0.047428,16,,
0.048032,16,,
0.058016,16,,
0.058969,16,1295,0
0.061856,16,,
0.062502,16,,
0.063104,16,,
0.069285,16,,
0.069916,16,,
0.070535,33,,
0.071178,33,,
0.071798,33,1297,84
0.074058,33,,
0.075048,33,,
0.075679,33,,
0.076325,33,,
0.077280,33,,
0.077907,33,,
0.078854,33,,
0.079498,33,1297,84
0.090344,33,,
0.090983,33,,
0.091929,33,,
0.092893,33,,
0.093881,33,,
0.094848,33,,
0.100340,33,,
0.100942,44,1301,-31
0.102863,44,,
0.103825,44,,
0.104479,44,,
0.105100,44,,
0.105742,44,,
0.106401,44,,
0.107006,44,,
0.107641,44,1301,-31
0.109511,44,,
0.110166,44,,
0.119966,44,,
0.120903,44,,
0.121521,44,,
0.122171,44,,
0.122803,44,,
0.123464,44,1301,-31
0.125315,46,,
0.131124,46,,
0.131694,46,,
0.132641,46,,
0.133273,46,,
0.133847,46,,
0.134478,46,,
0.135085,46,1302,113
0.137297,46,,
0.138251,46,,
0.138872,46,,
0.139491,46,,
0.140124,46,,
0.140748,46,,
0.141413,46,,
0.150976,46,1302,113
0.153242,46,,
0.154198,46,,
0.154839,46,,
0.155485,46,,
0.156133,52,,
0.162383,52,,
0.162954,52,,
0.163923,52,1303,87
0.166136,52,,
0.166731,52,,
0.167348,52,,
0.167956,52,,
0.168587,52,,
0.169225,52,,
0.170151,52,,
0.170812,52,1303,87
0.182058,52,,
0.182918,52,,
0.183510,52,,
0.184135,52,,
0.184748,52,,
0.185384,56,,
0.186017,56,,
0.186631,56,1306,95
0.193674,56,,
0.194294,56,,
0.195272,56,,
0.196253,56,,
0.196883,56,,
0.197531,56,,
0.198158,56,,
0.199107,56,1306,95
0.201338,56,,
0.201968,56,,
0.202919,56,,
0.203910,56,,
0.213275,56,,
0.214200,56,,
0.214824,56,,
0.215459,56,1306,95
0.217605,60,,
0.218250,60,,
0.224039,60,,
0.224659,60,,
0.225275,60,,
0.225954,60,,
0.226900,60,,
0.227857,60,1308,38
0.229736,60,,
0.230393,60,,
0.231002,60,,
0.231621,60,,
0.232252,60,,
0.232848,60,,
0.233482,60,,
0.234091,60,1308,38
0.245090,61,,
0.245739,61,,
0.246725,61,,
0.247355,61,,
0.247987,61,,
0.248604,61,,
0.249242,61,,
0.255291,61,1310,93
0.257190,61,,
0.257805,61,,
0.258450,61,,
0.259064,61,,
0.259683,61,,
0.260321,61,,
0.260947,61,,
0.261567,61,1310,93
0.263762,61,,
0.264392,61,,
0.264983,61,,
0.274865,61,,
0.275785,61,,
0.276719,61,,
0.277356,62,,
0.277985,62,1313,47
0.279879,62,,
0.280518,62,,
0.286321,62,,
0.286958,62,,
0.287904,62,,
0.288546,62,,
0.289180,62,,
0.289811,62,1313,47
0.291712,62,,
0.292335,62,,
0.292967,62,,
0.293564,62,,
0.294202,62,,
0.294827,62,,
0.295792,62,,
0.296771,62,1313,47
0.307335,62,,
0.307973,62,,
0.308569,62,,
0.309226,62,,
0.310178,62,,
0.310828,62,,
0.311443,62,,
0.317221,62,1313,47
0.319308,62,,
0.319942,62,,
0.320529,62,,
0.321148,62,,
0.321768,62,,
0.322395,62,,
0.322994,62,,
0.323604,62,1313,47
0.325456,62,,
0.326080,62,,
0.326683,62,,
0.327308,62,,
0.336865,62,,
0.337443,64,,
0.338039,64,,
0.338649,64,1317,99
0.340498,64,,
0.341158,64,,
0.341784,64,,
0.342353,64,,
0.348416,64,,
0.348983,64,,
0.349571,64,,
0.350238,64,1317,99
0.352047,64,,
0.352659,64,,
0.353329,64,,
0.353937,64,,
0.354507,64,,
0.355119,64,,
0.355783,64,,
0.356406,64,1317,99
0.358249,64,,
0.367792,64,,
0.368450,64,,
0.369415,64,,
0.370034,64,,
0.370615,64,,
0.371227,64,,
0.371841,64,1317,99
0.379009,64,,
0.379573,64,,
0.380215,64,,
0.380790,64,,
0.381456,64,,
0.382074,64,,
0.382711,64,,
0.383335,64,1317,99
0.385207,64,,
0.385830,64,,
0.386457,64,,
0.387087,64,,
0.387677,64,,
0.388333,64,,
0.388971,64,,
0.389547,64,1317,176
0.400323,66,,
0.400956,66,,
0.401535,66,,
0.402133,66,,
0.402800,66,,
0.403431,66,,
0.404005,66,,
0.409939,66,1320,176
0.411805,66,,
0.412434,66,,
0.413050,66,,
0.413633,66,,
0.414285,66,,
0.414916,66,,
0.415498,66,,
0.416164,66,1320,176
0.418034,66,,
0.418606,66,,
0.419252,66,,
0.419888,66,,
0.420463,66,,
0.430112,66,,
0.430720,66,,
0.431380,66,1322,63
0.433236,66,,
0.433796,66,,
0.434408,66,,
0.435063,66,,
0.441305,66,,
0.441921,66,,
0.442511,66,,
0.443142,66,1322,63
0.444964,66,,
0.445570,66,,
0.446166,66,,
0.446836,66,,
0.447463,66,,
0.448101,66,,
0.448707,66,,
0.449349,66,1322,63
0.451212,68,,
0.460894,68,,
0.461449,68,,
0.462097,68,,
0.462706,68,,
0.463324,68,,
0.463908,68,,
0.464548,68,1327,99
0.466400,68,,
0.472182,68,,
0.472784,68,,
0.473387,68,,
0.474003,68,,
0.474613,68,,
0.475252,68,,
0.475858,68,1327,99
0.477687,68,,
0.478310,68,,
0.478894,68,,
0.479499,68,,
