trial_file,policy,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof1_v25_F1000_n07.csv,A,1,25,1000,1371,371,863,4027,1357,559,0,,6,50,tcp3,44
B_dof1_v25_F1000_n07.csv,B,1,25,1000,1077,77,873,2273,1388,592,0,,6,13,tcp3,44
B_dof1_v25_F1000_n08.csv,B,1,25,1000,1116,116,833,2310,1387,592,0,,6,17,tcp3,44
A_dof1_v25_F1000_n08.csv,A,1,25,1000,1198,198,996,4021,1368,595,0,,6,28,tcp3,44
B_dof1_v25_F1000_n01.csv,B,1,25,1000,1158,158,883,2272,1391,592,0,,6,16,tcp3,44
A_dof1_v25_F1000_n01.csv,A,1,25,1000,1117,117,802,3996,1370,593,0,,6,29,tcp3,44
A_dof1_v25_F1000_n05.csv,A,1,25,1000,1096,96,790,3965,1361,601,0,,6,34,tcp3,44
B_dof1_v25_F1000_n05.csv,B,1,25,1000,1345,345,915,2320,1377,572,0,,6,27,tcp3,44
B_dof1_v25_F1000_n03.csv,B,1,25,1000,1352,352,1051,2346,1383,578,0,,6,18,tcp3,44
A_dof1_v25_F1000_n03.csv,A,1,25,1000,1217,217,864,4017,1368,581,0,,6,32,tcp3,44
B_dof1_v25_F1000_n04.csv,B,1,25,1000,1139,139,947,2283,1380,556,0,,6,17,tcp3,44
A_dof1_v25_F1000_n04.csv,A,1,25,1000,1256,256,888,4032,1358,573,0,,7,38,tcp3,44
A_dof1_v25_F1000_n02.csv,A,1,25,1000,1166,166,879,4015,1366,564,0,,7,26,tcp3,44
B_dof1_v25_F1000_n02.csv,B,1,25,1000,1185,185,871,2306,1382,581,0,,6,17,tcp3,44
B_dof1_v25_F1000_n00.csv,B,1,25,1000,1156,156,737,2306,1387,586,0,,6,18,tcp3,44
A_dof1_v25_F1000_n00.csv,A,1,25,1000,1144,144,866,4037,1355,590,0,,6,30,tcp3,44
A_dof1_v25_F1000_n09.csv,A,1,25,1000,1227,227,859,4002,1362,596,0,,7,32,tcp3,44
B_dof1_v25_F1000_n09.csv,B,1,25,1000,1156,156,922,2307,1387,599,0,,6,16,tcp3,44
B_dof1_v25_F1000_n06.csv,B,1,25,1000,1247,247,845,2303,1373,596,0,,6,17,tcp3,44
A_dof1_v25_F1000_n06.csv,A,1,25,1000,1256,256,919,4007,1357,586,0,,7,34,tcp3,44
