t_s,force_g,pos_act,current_mA
0.000972,50,1168,0
0.003163,50,,
0.003790,50,,
0.004773,50,,
0.005432,50,,
0.006435,50,,
0.007334,50,,
0.017166,50,,
0.017766,50,1168,0
0.019702,50,,
0.020364,50,,
0.021656,50,,
0.022703,50,,
0.028595,50,,
0.029615,50,,
0.030556,50,,
0.031522,50,1168,0
0.034157,50,,
0.035153,50,,
0.036108,50,,
0.037107,50,,
0.038094,50,,
0.039114,50,,
0.048572,50,,
0.049624,50,1168,0
0.052559,50,,
0.053178,50,,
0.059446,50,,
0.060704,50,,
0.061900,50,,
0.062987,50,,
0.064045,50,,
0.065052,50,1168,0
0.067962,50,,
0.068847,50,,
0.069516,50,,
0.079403,50,,
0.080524,50,,
0.081626,50,,
0.082741,50,,
0.083840,56,1171,96
0.091519,56,,
0.092594,56,,
0.093593,56,,
0.094881,56,,
0.095932,56,,
0.096848,56,,
0.097822,56,,
0.098463,56,1171,96
0.100364,56,,
0.110503,56,,
0.111623,56,,
0.112619,56,,
0.113657,56,,
0.114716,56,,
0.115753,56,,
0.121766,56,1176,2
0.124948,56,,
0.125892,56,,
0.126880,56,,
0.127875,56,,
0.128838,56,,
0.129498,56,,
0.130446,56,,
0.131447,56,1176,2
0.143301,56,,
0.144297,53,,
0.145276,53,,
0.146215,53,,
0.152299,53,,
0.153210,53,,
0.153822,53,,
0.154762,53,1177,4
0.157395,53,,
0.158003,53,,
0.158954,53,,
0.159928,53,,
0.160860,53,,
0.161844,53,,
0.162825,53,,
0.172353,53,1177,4
0.175716,53,,
0.176703,58,,
0.177649,58,,
0.183245,58,,
0.184011,58,,
0.185126,58,,
0.186224,58,,
0.187337,58,1178,86
0.190460,58,,
0.191431,58,,
0.192413,58,,
0.193609,58,,
0.203326,58,,
0.204292,58,,
0.205234,58,,
0.205823,58,1178,86
0.208059,58,,
0.208691,58,,
0.214775,58,,
0.215673,58,,
0.216349,58,,
0.216988,58,,
0.217932,58,,
0.218544,58,1178,86
0.221165,58,,
0.222139,58,,
0.223155,58,,
0.224090,58,,
0.225030,58,,
0.234545,58,,
0.235438,58,,
0.236006,58,1182,60
0.238216,59,,
0.239083,59,,
0.245353,59,,
0.246328,59,,
0.247265,59,,
0.247903,59,,
0.248558,59,,
0.249565,59,1182,60
0.252482,59,,
0.253481,59,,
0.254464,59,,
0.255447,59,,
0.265364,59,,
0.266311,59,,
0.267276,59,,
0.268237,59,1182,60
0.270118,59,,
0.270749,59,,
0.276700,59,,
0.277695,59,,
0.278668,59,,
0.279614,59,,
0.280237,59,,
0.280864,59,1182,60
0.283085,59,,
0.283732,59,,
0.284395,59,,
0.285641,59,,
0.286590,59,,
0.296196,59,,
0.297113,60,,
0.298089,60,1184,75
0.300318,60,,
0.301136,60,,
0.307638,60,,
0.308661,60,,
0.309700,60,,
0.310717,60,,
0.311724,60,,
0.312671,60,1184,75
0.314884,60,,
0.315858,60,,
0.316870,60,,
0.317831,58,,
0.327429,58,,
0.328466,58,,
0.329425,58,,
0.330374,58,1187,82
0.338284,58,,
0.338865,58,,
0.339506,58,,
0.340140,58,,
0.340767,58,,
0.341405,58,,
0.342286,58,,
0.343196,58,1187,82
0.345754,58,,
0.346716,58,,
0.347381,58,,
0.348355,60,,
0.358110,60,,
0.359063,60,,
0.359810,60,,
0.360719,60,1192,56
0.362848,60,,
0.363484,60,,
0.369374,60,,
0.370323,60,,
0.371266,60,,
0.372217,60,,
0.373162,60,,
0.374077,60,1192,56
0.376227,60,,
0.376846,60,,
0.377535,60,,
0.378426,60,,
0.379151,60,,
0.389133,60,,
0.390005,60,,
0.390959,60,1194,97
0.393006,60,,
0.393578,60,,
0.394182,60,,
0.400476,60,,
0.401529,60,,
0.402461,60,,
0.403400,60,,
0.404324,60,1194,97
0.407221,60,,
0.408197,58,,
0.409122,58,,
0.410129,58,,
0.411009,58,,
0.420535,58,,
0.421416,58,,
0.422031,58,1197,70
0.423906,58,,
0.424841,58,,
0.425664,58,,
0.431304,58,,
0.431897,58,,
0.432511,58,,
0.433133,58,,
0.434089,58,1197,70
0.436339,58,,
0.436934,58,,
0.437538,58,,
0.438554,60,,
0.439542,60,,
0.440508,60,,
0.441097,60,,
0.441719,60,1199,49
0.452875,60,,
0.453453,60,,
0.454060,60,,
0.454681,60,,
0.455291,60,,
0.455935,60,,
