t_s,force_g,pos_act,current_mA
0.000632,49,1168,0
0.003249,49,,
0.004216,49,,
0.004830,49,,
0.005761,49,,
0.006710,49,,
0.007331,49,,
0.008063,49,,
0.018001,49,1168,0
0.020433,49,,
0.021384,49,,
0.021992,49,,
0.022582,49,,
0.023517,49,,
0.029449,49,,
0.030313,49,,
0.031223,49,1168,0
0.033067,49,,
0.033688,49,,
0.034613,49,,
0.035214,49,,
0.035831,49,,
0.036472,49,,
0.037059,49,,
0.037684,49,1168,0
0.039507,49,,
0.049335,49,,
0.050256,49,,
0.050871,49,,
0.051498,49,,
0.052113,49,,
0.053103,49,,
0.054069,55,1168,144
0.061785,55,,
0.062526,55,,
0.063460,55,,
0.064000,55,,
0.064929,55,,
0.065548,55,,
0.066161,55,,
0.066767,55,1168,144
0.068599,55,,
0.069220,55,,
0.069809,55,,
0.070474,55,,
0.080036,55,,
0.080895,55,,
0.081512,55,,
0.082130,55,1168,40
0.084013,54,,
0.084981,54,,
0.085591,54,,
0.091415,54,,
0.092363,54,,
0.093233,54,,
0.093843,54,,
0.094472,54,1171,40
0.096304,54,,
0.096914,54,,
0.097527,54,,
0.098153,54,,
0.098764,54,,
0.099392,54,,
0.100011,54,,
0.100646,54,1171,40
0.111851,54,,
0.112453,54,,
0.113062,54,,
0.113682,54,,
0.114264,54,,
0.114886,54,,
0.115531,52,,
0.116135,52,1176,57
0.123834,52,,
0.124436,52,,
0.125093,52,,
0.126015,52,,
0.126588,52,,
0.127240,52,,
0.127849,52,,
0.128424,52,1176,57
0.130295,52,,
0.130917,52,,
0.131513,52,,
0.132116,52,,
0.141902,52,,
0.142781,52,,
0.143391,53,,
0.143998,53,1178,49
0.145828,53,,
0.146464,53,,
0.147103,53,,
0.153043,53,,
0.153617,53,,
0.154235,53,,
0.154818,53,,
0.155452,53,1178,49
0.157293,53,,
0.157880,53,,
0.158544,53,,
0.159189,53,,
0.159794,53,,
0.160431,53,,
0.161015,53,,
0.161622,53,1178,49
0.163445,53,,
0.173420,53,,
0.174064,53,,
0.174708,53,,
0.175308,52,,
0.175917,52,,
0.176475,52,,
0.177144,52,1180,59
0.184136,52,,
0.184749,52,,
0.185369,52,,
0.186001,52,,
0.186616,52,,
0.187249,52,,
0.187868,52,,
0.188425,52,1180,59
0.190331,52,,
0.190966,52,,
0.191598,52,,
0.192218,52,,
0.192829,52,,
0.193397,52,,
0.194076,52,,
0.203783,52,1180,59
0.205653,52,,
0.206302,52,,
0.206908,52,,
0.207529,52,,
0.208136,52,,
0.208770,52,,
0.209393,52,,
