speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,100,5,26.0,31.2,11.8,21.0,44.0,19.0,52.0,126.0,0
25,250,5,96.0,119.0,44.9,77.0,172.5,65.0,174.0,346.0,0
25,500,5,109.0,104.6,12.0,91.0,116.0,91.0,122.0,609.0,0
25,750,5,122.0,123.2,27.8,97.0,150.0,78.0,163.0,872.0,0
25,1000,5,181.0,169.6,53.5,111.0,222.5,82.0,227.0,1181.0,0
50,100,5,59.0,72.8,36.9,36.0,116.5,34.0,123.0,159.0,0
50,250,5,215.0,213.6,88.6,127.0,299.5,113.0,367.0,465.0,0
50,500,5,249.0,230.6,35.2,194.5,257.5,165.0,263.0,749.0,0
50,750,5,215.0,221.8,87.4,131.0,316.0,115.0,357.0,965.0,0
50,1000,5,356.0,336.2,87.6,249.5,413.0,194.0,463.0,1356.0,0
100,100,5,115.0,113.8,26.4,86.0,141.0,78.0,154.0,215.0,0
100,250,5,426.0,420.4,83.7,337.5,500.5,314.0,561.0,676.0,0
100,500,5,437.0,416.0,113.0,285.5,536.0,282.0,552.0,937.0,0
100,750,5,224.0,218.0,86.2,130.5,302.5,71.0,318.0,974.0,0
100,1000,5,441.0,448.2,41.4,408.5,491.5,389.0,512.0,1441.0,0
250,100,5,363.0,529.0,307.1,331.0,810.0,319.0,1132.0,463.0,0
250,250,5,1723.0,1449.6,423.1,954.5,1808.0,781.0,1888.0,1973.0,0
250,500,5,838.0,906.4,535.5,358.0,1489.0,87.0,1519.0,1338.0,0
250,750,5,1482.0,1675.2,443.0,1253.5,2193.5,1112.0,2267.0,2232.0,3
250,1000,5,1236.0,1361.6,434.1,917.5,1868.5,879.0,1956.0,2236.0,3
500,100,5,1741.0,1931.8,713.9,1297.0,2662.0,1183.0,3216.0,1841.0,2
500,250,5,1574.0,1857.8,777.9,1096.5,2761.0,824.0,2816.0,1824.0,3
500,500,5,2539.0,2662.2,236.5,2488.0,2898.0,2477.0,3113.0,3039.0,5
500,750,5,2454.0,2460.2,160.5,2283.5,2640.0,2279.0,2668.0,3204.0,5
500,1000,5,2285.0,2286.2,199.7,2111.0,2462.0,1999.0,2622.0,3285.0,5
750,100,5,2797.0,2878.0,166.1,2746.0,3050.5,2726.0,3185.0,2897.0,5
750,250,5,2767.0,2700.4,146.4,2533.0,2834.5,2502.0,2901.0,3017.0,5
750,500,5,2581.0,2657.4,234.7,2492.0,2861.0,2429.0,3110.0,3081.0,5
750,750,5,2118.0,2184.0,234.8,2006.0,2395.0,1931.0,2627.0,2868.0,5
750,1000,5,2204.0,2103.2,309.1,1747.5,2408.5,1731.0,2526.0,3204.0,5
1000,100,5,3453.0,3456.4,31.5,3425.0,3489.5,3421.0,3509.0,3553.0,5
1000,250,5,3312.0,3301.2,45.8,3248.5,3348.5,3242.0,3360.0,3562.0,5
1000,500,5,3010.0,3012.6,51.3,2956.0,3070.5,2953.0,3075.0,3510.0,5
1000,750,5,2784.0,2795.2,44.2,2751.5,2844.5,2741.0,2864.0,3534.0,5
1000,1000,5,2528.0,2545.2,37.1,2510.0,2589.0,2500.0,2595.0,3528.0,5
