trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof2_v100_F250_n04.csv,2,100,250,611,361,342,1005,1489,573,0,,1,16,tcp1,50
A_dof2_v50_F100_n04.csv,2,50,100,210,110,148,1830,1480,574,0,,1,-1,tcp1,50
A_dof2_v250_F250_n01.csv,2,250,250,1973,1723,1143,495,1491,558,0,,3,0,tcp1,50
A_dof2_v500_F1000_n01.csv,2,500,1000,3622,2622,437,341,1459,627,1,,5,-1,tcp1,50
A_dof2_v1000_F100_n03.csv,2,1000,100,3521,3421,161,268,1377,550,1,,1,2,tcp1,50
A_dof2_v100_F500_n01.csv,2,100,500,782,282,468,1029,1479,584,0,,3,0,tcp1,50
A_dof2_v750_F100_n02.csv,2,750,100,2866,2766,121,251,1433,606,1,,3,0,tcp1,50
A_dof2_v50_F750_n04.csv,2,50,750,1107,357,918,2072,1484,602,0,,3,-1,tcp1,50
A_dof2_v500_F100_n00.csv,2,500,100,1511,1411,111,282,1450,568,0,,3,-2,tcp1,50
A_dof2_v1000_F750_n04.csv,2,1000,750,3534,2784,194,256,1445,579,1,,3,-3,tcp1,50
A_dof2_v500_F500_n04.csv,2,500,500,2999,2499,209,320,1448,570,1,,2,0,tcp1,50
A_dof2_v250_F500_n03.csv,2,250,500,1338,838,461,482,1495,560,0,,3,-2,tcp1,50
A_dof2_v250_F750_n02.csv,2,250,750,2232,1482,237,493,1468,474,1,,3,-2,tcp1,50
A_dof2_v100_F1000_n04.csv,2,100,1000,1441,441,1062,1093,1480,561,0,,3,-2,tcp1,50
A_dof2_v100_F1000_n01.csv,2,100,1000,1512,512,1061,1088,1489,571,0,,4,-2,tcp1,50
A_dof2_v750_F1000_n00.csv,2,750,1000,3204,2204,143,251,1456,588,1,,3,-3,tcp1,50
A_dof2_v100_F100_n01.csv,2,100,100,178,78,82,953,1480,556,0,,1,4,tcp1,50
A_dof2_v750_F1000_n02.csv,2,750,1000,2731,1731,101,253,1433,554,1,,2,4,tcp1,50
A_dof2_v25_F1000_n02.csv,2,25,1000,1082,82,872,4098,1482,577,0,,2,4,tcp1,50
A_dof2_v100_F750_n03.csv,2,100,750,821,71,787,1014,1488,598,0,,2,2,tcp1,50
A_dof2_v50_F750_n03.csv,2,50,750,1025,275,806,2075,1482,584,0,,1,17,tcp1,50
A_dof2_v25_F250_n00.csv,2,25,250,339,89,301,3758,1481,597,0,,1,-2,tcp1,50
A_dof2_v50_F750_n01.csv,2,50,750,965,215,713,2086,1484,587,0,,1,-2,tcp1,50
A_dof2_v750_F500_n04.csv,2,750,500,3081,2581,47,266,1451,577,1,,2,-4,tcp1,50
A_dof2_v750_F250_n01.csv,2,750,250,2752,2502,103,255,1505,528,1,,1,0,tcp1,50
A_dof2_v100_F250_n03.csv,2,100,250,564,314,289,996,1482,565,0,,1,-2,tcp1,50
A_dof2_v500_F100_n04.csv,2,500,100,2208,2108,252,312,1463,537,1,,1,-4,tcp1,50
A_dof2_v1000_F500_n04.csv,2,1000,500,3459,2959,175,253,1524,574,1,,3,-3,tcp1,50
A_dof2_v750_F750_n04.csv,2,750,750,3377,2627,195,259,1463,592,1,,3,-2,tcp1,50
A_dof2_v500_F500_n00.csv,2,500,500,3183,2683,262,303,1416,634,1,,3,-3,tcp1,50
A_dof2_v50_F250_n02.csv,2,50,250,482,232,444,2002,1484,572,0,,2,-3,tcp1,50
A_dof2_v1000_F500_n02.csv,2,1000,500,3575,3075,55,248,1459,609,1,,2,-4,tcp1,50
A_dof2_v1000_F500_n03.csv,2,1000,500,3453,2953,205,266,1464,487,1,,3,2,tcp1,50
A_dof2_v250_F750_n04.csv,2,250,750,1862,1112,1033,496,1491,601,0,,2,0,tcp1,50
A_dof2_v750_F1000_n03.csv,2,750,1000,3291,2291,157,246,1462,590,1,,3,0,tcp1,50
A_dof2_v500_F100_n01.csv,2,500,100,3316,3216,59,305,1460,590,1,,2,-2,tcp1,50
A_dof2_v50_F250_n04.csv,2,50,250,617,367,352,1974,1484,596,0,,1,0,tcp1,50
A_dof2_v1000_F1000_n04.csv,2,1000,1000,3595,2595,334,251,1466,540,1,,1,0,tcp1,50
A_dof2_v25_F100_n02.csv,2,25,100,119,19,98,3542,1484,588,0,,1,0,tcp1,50
A_dof2_v50_F1000_n02.csv,2,50,1000,1305,305,914,2097,1484,592,0,,2,-1,tcp1,50
A_dof2_v25_F250_n04.csv,2,25,250,421,171,296,3851,1484,586,0,,1,11,tcp1,50
A_dof2_v25_F250_n01.csv,2,25,250,424,174,270,3845,1486,590,0,,1,-10,tcp1,50
A_dof2_v1000_F250_n01.csv,2,1000,250,3505,3255,159,263,1440,614,1,,2,-11,tcp1,50
A_dof2_v250_F1000_n04.csv,2,250,1000,2236,1236,271,497,1475,577,1,,2,-9,tcp1,50
A_dof2_v250_F1000_n02.csv,2,250,1000,1879,879,854,504,1468,581,0,,3,-11,tcp1,50
A_dof2_v750_F750_n00.csv,2,750,750,2913,2163,118,246,1514,559,1,,3,-10,tcp1,50
A_dof2_v250_F500_n02.csv,2,250,500,2019,1519,979,496,1466,565,0,,2,-5,tcp1,50
A_dof2_v25_F500_n04.csv,2,25,500,591,91,511,3916,1487,579,0,,1,-7,tcp1,50
A_dof2_v1000_F250_n02.csv,2,1000,250,3587,3337,241,271,1465,536,1,,2,-8,tcp1,50
A_dof2_v250_F250_n02.csv,2,250,250,1031,781,304,443,1462,580,0,,1,-7,tcp1,50
A_dof2_v25_F750_n02.csv,2,25,750,913,163,886,4146,1486,580,0,,1,-8,tcp1,50
A_dof2_v50_F1000_n01.csv,2,50,1000,1463,463,1066,2156,1491,593,0,,2,-8,tcp1,50
A_dof2_v25_F100_n01.csv,2,25,100,123,23,96,3577,1488,577,0,,1,-9,tcp1,50
A_dof2_v500_F250_n01.csv,2,500,250,1619,1369,224,280,1456,567,0,,2,-9,tcp1,50
A_dof2_v25_F500_n02.csv,2,25,500,622,122,551,3904,1486,578,0,,1,-9,tcp1,50
A_dof2_v100_F100_n04.csv,2,100,100,254,154,140,977,1479,606,0,,1,-8,tcp1,50
A_dof2_v25_F1000_n01.csv,2,25,1000,1140,140,895,4154,1485,586,0,,2,-9,tcp1,50
A_dof2_v250_F750_n03.csv,2,250,750,3017,2267,204,542,1466,594,1,,3,-9,tcp1,50
A_dof2_v1000_F1000_n03.csv,2,1000,1000,3500,2500,190,249,1438,568,1,,2,-9,tcp1,50
A_dof2_v50_F250_n01.csv,2,50,250,363,113,268,1922,1484,598,0,,1,-8,tcp1,50
A_dof2_v25_F250_n02.csv,2,25,250,346,96,298,3835,1484,598,0,,1,8,tcp1,50
A_dof2_v50_F500_n04.csv,2,50,500,763,263,523,2000,1482,571,0,,1,-11,tcp1,50
A_dof2_v25_F1000_n00.csv,2,25,1000,1181,181,1061,4151,1487,578,0,,1,-12,tcp1,50
A_dof2_v250_F1000_n00.csv,2,250,1000,2781,1781,355,530,1466,586,1,,3,-12,tcp1,50
A_dof2_v50_F1000_n00.csv,2,50,1000,1356,356,1002,2125,1488,572,0,,3,-12,tcp1,50
A_dof2_v100_F500_n03.csv,2,100,500,1020,520,658,1050,1487,577,0,,2,-12,tcp1,50
A_dof2_v500_F750_n03.csv,2,500,750,3204,2454,208,308,1459,599,1,,2,-13,tcp1,50
A_dof2_v750_F100_n00.csv,2,750,100,2826,2726,94,256,1436,585,1,,2,-12,tcp1,50
A_dof2_v100_F100_n03.csv,2,100,100,194,94,128,994,1488,605,0,,1,-13,tcp1,50
A_dof2_v50_F100_n02.csv,2,50,100,134,34,104,1808,1484,576,0,,1,-13,tcp1,50
A_dof2_v1000_F750_n00.csv,2,1000,750,3491,2741,274,239,1463,591,1,,3,-13,tcp1,50
A_dof2_v750_F500_n03.csv,2,750,500,3055,2555,43,246,1445,572,1,,3,-10,tcp1,50
A_dof2_v1000_F250_n04.csv,2,1000,250,3492,3242,212,254,1438,553,1,,2,-6,tcp1,50
A_dof2_v100_F750_n02.csv,2,100,750,1068,318,772,1055,1480,555,0,,1,-9,tcp1,50
A_dof2_v100_F100_n00.csv,2,100,100,228,128,127,969,1487,610,0,,1,-10,tcp1,50
A_dof2_v1000_F750_n03.csv,2,1000,750,3512,2762,241,240,1447,565,1,,3,-10,tcp1,50
A_dof2_v500_F750_n01.csv,2,500,750,3362,2612,228,309,1462,549,1,,2,-9,tcp1,50
A_dof2_v250_F500_n01.csv,2,250,500,1959,1459,965,493,1465,597,0,,2,-10,tcp1,50
A_dof2_v25_F750_n04.csv,2,25,750,887,137,821,4214,1486,574,0,,2,-11,tcp1,50
A_dof2_v750_F100_n03.csv,2,750,100,3016,2916,161,242,1528,585,1,,3,-12,tcp1,50
A_dof2_v250_F1000_n01.csv,2,250,1000,2956,1956,373,545,1468,555,1,,2,7,tcp1,50
A_dof2_v25_F250_n03.csv,2,25,250,315,65,282,3780,1488,585,0,,1,-14,tcp1,50
A_dof2_v100_F500_n00.csv,2,100,500,937,437,609,1038,1478,587,0,,1,-13,tcp1,50
A_dof2_v50_F250_n03.csv,2,50,250,465,215,345,1928,1491,563,0,,1,-13,tcp1,50
A_dof2_v1000_F100_n00.csv,2,1000,100,3529,3429,225,246,1541,627,1,,2,-13,tcp1,50
A_dof2_v250_F100_n03.csv,2,250,100,419,319,67,446,1464,567,0,,1,-10,tcp1,50
A_dof2_v25_F100_n04.csv,2,25,100,152,52,110,3645,1484,559,0,,1,-12,tcp1,50
A_dof2_v250_F500_n04.csv,2,250,500,587,87,475,532,1470,575,0,,2,-12,tcp1,50
