t_s,pos_act,force_g,current_mA
0.000979,95,0,0
0.003176,95,0,0
0.005015,95,0,0
0.016237,96,0,0
0.018530,96,0,0
0.021573,96,0,0
0.029214,96,0,0
0.031034,96,0,0
0.032897,96,0,0
0.034782,96,0,0
0.036954,96,5,110
0.048276,98,5,110
0.050830,98,5,110
0.052653,98,5,110
0.059732,98,5,110
0.061576,98,5,110
0.063788,98,5,110
0.065692,98,5,110
0.068278,102,14,88
0.080337,102,14,88
0.083248,102,14,88
0.090789,102,14,88
0.093292,102,14,88
0.095152,102,14,88
0.097268,102,14,88
0.099464,106,17,85
0.111060,106,17,85
0.113256,106,17,85
0.120932,106,17,85
0.123529,106,17,85
0.126439,106,17,85
0.128572,106,17,85
0.130736,112,16,59
0.141768,112,16,59
0.144089,112,16,59
0.151614,112,16,59
0.154138,112,16,59
0.156317,112,16,59
0.158205,112,16,59
0.160810,115,15,54
0.171749,115,15,54
0.174306,115,15,54
0.176720,115,15,54
0.183957,115,15,54
0.186396,115,15,54
0.189169,115,15,84
0.191003,119,18,84
0.192826,119,18,84
0.203778,119,18,84
0.206675,119,18,84
0.214574,119,18,84
0.216746,119,18,84
0.218598,119,18,84
0.220411,124,21,85
0.222255,124,21,85
0.233193,124,21,85
0.234990,124,21,85
0.236848,124,21,85
0.244379,124,21,85
0.246194,124,21,85
0.248063,124,21,85
0.249942,128,19,79
0.252131,128,19,79
0.254286,128,19,79
0.265305,128,19,79
0.267134,128,19,79
0.269010,128,19,79
0.276334,128,19,79
0.278176,128,19,79
0.280019,134,17,65
0.281852,134,17,65
0.283713,134,17,65
0.285512,134,17,65
0.296822,134,17,65
0.298672,134,17,65
0.300499,134,17,65
0.307738,134,17,65
0.309577,134,15,56
0.311754,138,15,56
0.313594,138,15,56
0.315422,138,15,56
0.326404,138,15,56
0.328919,138,15,56
0.331127,138,15,56
0.338536,138,15,96
0.341493,143,17,96
0.343951,143,17,96
0.346111,143,17,96
0.357359,143,17,96
0.359492,143,17,96
0.361401,143,17,96
0.368513,143,17,122
0.370675,147,19,122
0.372868,147,19,122
0.374707,147,19,122
0.376543,147,19,122
0.378385,147,19,122
0.389722,147,19,122
0.391570,147,19,122
0.393463,147,19,99
