t_s,pos_act,force_g,current_mA
0.003107,96,0,0
0.006071,95,0,0
0.007960,95,0,0
0.015389,95,0,0
0.017208,95,0,0
0.019126,95,0,0
0.021011,95,0,0
0.023261,95,0,0
0.034168,95,4,57
0.036362,98,4,57
0.038951,98,4,57
0.046556,98,4,57
0.049101,98,4,57
0.052039,98,4,57
0.054258,98,4,57
0.065191,98,9,137
0.067403,100,9,137
0.069978,100,9,137
0.077890,100,9,137
0.080917,100,9,137
0.083781,100,9,137
0.086313,100,9,62
0.097485,103,10,62
0.099713,103,10,62
0.101868,103,10,62
0.109350,103,10,62
0.111197,103,10,62
0.113051,103,10,62
0.114859,103,10,62
0.116710,103,10,67
0.128069,110,10,67
0.130245,110,10,67
0.132425,110,10,67
0.140097,110,10,67
0.142296,110,10,67
0.144178,110,10,67
0.146390,110,10,67
0.148633,110,10,67
0.159880,110,10,67
0.162089,110,10,67
0.170129,110,10,67
0.172326,110,10,67
0.174546,110,10,67
0.177110,110,10,67
0.179286,110,10,80
0.190599,118,11,80
0.192467,118,11,80
0.200357,118,11,80
0.202864,118,11,80
0.204693,118,11,80
0.207000,118,11,80
0.210126,122,12,55
0.221592,122,12,55
0.223943,122,12,55
0.232312,122,12,55
0.234141,122,12,55
0.235969,122,12,55
0.237801,122,12,55
0.239970,122,12,49
0.251051,126,10,49
0.253561,126,10,49
0.255769,126,10,49
0.263225,126,10,49
0.265099,126,10,49
0.266908,126,10,49
0.268751,126,10,49
0.270627,126,9,52
0.272460,131,9,52
0.283632,131,9,52
0.285684,131,9,52
0.293367,131,9,52
0.295437,131,9,52
0.297282,131,9,52
0.299135,131,9,52
0.300949,131,12,71
0.302804,135,12,71
0.313864,135,12,71
0.315732,135,12,71
0.317586,135,12,71
0.325444,135,12,71
0.327517,135,12,71
0.329373,135,12,71
0.331226,135,13,71
0.333050,141,13,71
0.344044,141,13,71
0.346138,141,13,71
0.347972,141,13,71
0.355291,141,13,71
0.357333,141,13,71
0.359173,141,13,71
0.361028,144,13,64
0.362841,144,13,64
0.364682,144,13,64
0.375570,144,13,64
0.377725,144,13,64
0.379584,144,13,64
0.386654,144,13,64
0.388509,144,13,64
0.390345,144,13,59
0.392188,149,10,59
0.394032,149,10,59
0.396236,149,10,59
0.408210,149,10,59
0.411100,149,10,59
0.418365,149,10,59
0.420256,149,9,52
0.422463,152,9,52
0.424349,152,9,52
0.426893,152,9,52
0.438150,152,9,52
0.440009,152,9,52
0.442615,152,9,52
0.450263,152,8,75
0.452468,157,8,75
0.454986,157,8,75
0.457229,157,8,75
0.468127,157,8,75
0.470372,157,8,75
0.472558,157,8,75
0.479810,157,8,75
0.482395,166,9,75
0.484317,166,9,75
0.486503,166,9,75
0.489404,166,9,75
0.500650,166,9,75
0.503198,166,9,75
0.512006,166,9,75
0.515792,166,9,75
0.519451,166,9,75
0.531533,166,9,75
0.535113,166,8,77
0.542663,173,8,77
0.544542,173,8,77
0.546432,173,8,77
0.549033,173,8,77
0.551595,173,8,77
