t_s,pos_act,force_g,current_mA
0.000926,98,0,0
0.003180,98,0,0
0.006002,98,0,0
0.008860,98,0,0
0.011082,98,0,0
0.022111,98,0,0
0.024784,98,0,0
0.032157,98,0,0
0.034322,98,0,0
0.036229,98,0,63
0.038122,98,0,63
0.039982,98,0,63
0.041849,98,0,63
0.053200,98,0,63
0.055045,98,0,63
0.056924,98,0,63
0.064121,98,0,63
0.066040,98,0,90
0.067979,98,4,90
0.070611,98,4,90
0.072801,98,4,90
0.084234,98,4,90
0.087121,98,4,90
0.094603,98,4,90
0.097164,107,24,76
0.099437,107,24,76
0.101398,107,24,76
0.103310,107,24,76
0.115099,107,24,76
0.117268,107,24,76
0.119532,107,24,76
0.126867,112,30,56
0.129132,112,30,56
0.131334,112,30,56
0.133612,112,30,56
0.144916,112,30,56
0.146801,112,30,56
0.148797,112,30,56
0.156267,112,30,56
0.158522,112,30,56
0.161144,112,30,56
0.164422,112,30,56
0.176093,112,30,56
0.178503,112,30,56
0.181112,112,30,76
0.188594,116,38,76
0.190523,116,38,76
0.193218,116,38,76
0.196115,116,38,76
0.207795,116,38,76
0.210361,116,38,76
0.212659,116,38,84
0.219636,118,40,84
0.221501,118,40,84
0.223744,118,40,84
0.225629,118,40,84
0.227587,118,40,84
0.238982,118,40,84
0.241276,118,40,84
0.249362,118,38,81
0.252320,119,38,81
0.255247,119,38,81
0.258280,119,38,81
0.270047,119,38,81
0.273022,119,38,81
0.281489,119,38,81
0.284876,119,38,81
0.287901,119,38,81
0.290489,119,38,81
0.301390,119,38,81
0.303304,119,38,54
0.305576,133,31,54
0.313347,133,31,54
0.315603,133,31,54
0.317398,133,31,54
0.319643,133,31,54
0.321527,133,31,54
0.333239,133,31,54
0.335889,133,28,57
0.343197,138,28,57
0.345437,138,28,57
0.347714,138,28,57
0.350813,138,28,57
0.362241,138,28,57
0.364531,138,28,57
0.366490,138,24,77
0.373678,142,24,77
0.375537,142,24,77
0.377457,142,24,77
0.379421,142,24,77
0.381387,142,24,77
0.383716,142,24,77
0.394322,142,24,77
0.396249,142,24,77
0.398146,149,21,106
0.405225,149,21,106
0.407610,149,21,106
0.410291,149,21,106
0.413206,149,21,106
0.424995,149,21,80
0.427937,153,20,80
0.436480,153,20,80
0.439422,153,20,80
0.442374,153,20,80
0.445322,153,20,80
0.456865,153,20,81
0.460239,159,20,81
0.467885,159,20,81
0.470869,159,20,81
0.474154,159,20,81
0.486295,159,17,39
0.489668,163,17,39
0.497676,163,17,39
0.501533,163,17,39
0.504809,163,17,39
0.507778,163,17,39
0.519148,168,15,66
0.521366,168,15,66
0.529378,168,15,66
0.532375,168,15,66
0.535314,168,15,66
0.538238,168,17,111
0.550248,171,17,111
0.553342,171,17,111
0.560357,171,17,111
0.562901,171,17,111
0.565150,171,17,111
0.567454,171,17,111
0.569372,171,17,103
0.581006,174,19,103
0.584015,174,19,103
0.592790,174,19,103
0.595881,174,19,103
0.598856,174,19,64
0.610084,177,18,64
0.612442,177,18,64
0.615283,177,18,64
0.622968,177,18,64
0.625463,177,18,64
0.627767,177,18,64
0.630927,184,18,73
0.642506,184,18,73
0.644731,184,18,73
0.652204,184,18,73
0.654424,184,18,73
0.656318,184,18,73
0.658223,184,18,73
0.660638,184,19,103
0.672149,190,19,103
0.674996,190,19,103
0.677260,190,19,103
0.684848,190,19,103
0.687811,190,19,103
0.690842,190,20,73
0.692986,193,20,73
0.704845,193,20,73
0.706687,193,20,73
0.708723,193,20,73
0.716186,193,20,73
0.718725,193,20,73
0.720939,193,20,73
0.723230,198,19,72
0.734155,198,19,72
0.736734,198,19,72
0.738888,198,19,72
0.746626,198,19,72
0.748825,198,19,72
0.750684,198,19,72
0.752519,198,18,62
0.754419,202,18,62
0.765446,202,18,62
0.767452,202,18,62
0.769341,202,18,62
0.776303,202,18,62
0.778157,202,18,62
0.780456,202,18,62
0.782382,202,16,62
0.784309,204,16,62
0.795980,204,16,62
0.798269,204,16,62
0.800509,204,16,62
0.808346,204,16,62
0.810919,204,16,62
0.813098,209,15,81
0.815373,209,15,81
0.817646,209,15,81
0.828266,209,15,81
0.830926,209,15,81
0.837976,209,15,81
0.840215,209,15,81
0.842141,209,16,107
0.844390,215,16,107
0.846296,215,16,107
0.848580,215,16,107
0.859522,215,16,107
0.861397,215,16,107
0.863618,215,16,107
0.870794,215,16,107
0.873017,218,17,92
0.874911,218,17,92
0.876853,218,17,92
0.879453,218,17,92
0.890635,218,17,92
0.892483,218,17,92
0.894978,218,17,92
0.902909,218,17,68
0.905990,225,16,68
0.909262,225,16,68
0.921154,225,16,68
0.924161,225,16,68
0.932168,225,16,68
0.935135,229,14,65
0.938057,229,14,65
0.941165,229,14,65
0.953515,229,14,65
0.956601,229,14,65
0.964257,229,12,42
0.967381,234,12,42
0.970483,234,12,42
0.982251,234,12,42
0.985803,234,12,42
0.994844,238,12,84
0.998158,238,12,84
1.000513,238,12,84
1.002860,238,12,84
1.014584,238,12,84
1.017247,238,12,84
1.025105,242,13,87
1.027805,242,13,87
1.029959,242,13,87
1.032266,242,13,87
1.043871,242,13,87
1.046196,242,13,87
1.048823,242,13,87
1.056407,247,13,77
1.058592,247,13,77
1.061219,247,13,77
1.063864,247,13,77
1.075283,247,13,77
1.077901,247,13,77
1.080857,247,13,64
1.088991,251,13,64
1.092990,251,13,64
1.097116,251,13,64
1.108038,251,13,64
1.110580,251,13,64
1.118114,259,11,64
1.121003,259,11,64
1.123200,259,11,64
1.125478,259,11,64
1.137011,259,11,64
1.139575,259,11,64
1.141817,259,11,64
1.149261,264,10,49
1.151533,264,10,49
1.153438,264,10,49
1.155710,264,10,49
1.157621,264,10,49
1.168998,264,10,49
1.171561,264,10,101
1.179311,265,12,101
1.181872,265,12,101
1.185098,265,12,101
1.188085,265,12,101
1.200405,265,12,101
1.203498,265,12,102
1.211172,269,12,102
1.214224,269,12,102
1.217240,269,12,102
1.220235,269,12,102
1.232040,269,11,71
1.235064,274,11,71
1.243062,274,11,71
1.245969,274,11,71
1.249585,274,11,71
1.261553,274,11,71
1.265370,280,10,61
1.273203,280,10,61
1.275448,280,10,61
1.277784,280,10,61
1.280753,280,10,61
1.292171,280,9,54
1.294852,284,9,54
1.297048,284,9,54
1.304748,284,9,54
1.306929,284,9,54
1.308836,284,9,54
1.310805,284,9,54
1.312727,284,9,54
1.323912,284,9,85
1.326171,289,9,85
1.328809,289,9,85
1.335601,289,9,85
1.337751,289,9,85
1.339581,289,9,85
1.341419,289,9,85
1.343259,289,9,85
1.354258,289,10,88
1.356842,293,10,88
1.359016,293,10,88
1.366544,293,10,88
1.369086,293,10,88
1.371354,293,10,88
1.373567,293,10,88
1.375871,293,10,76
1.386698,299,10,76
1.388568,299,10,76
1.390419,299,10,76
1.397766,299,10,76
1.399596,299,10,76
1.401448,299,10,76
