t_s,pos_act,force_g,current_mA
0.003024,100,0,0
0.005997,100,0,0
0.008089,100,0,0
0.015901,100,0,0
0.018803,100,0,0
0.021295,100,0,0
0.023187,100,0,0
0.034222,100,0,40
0.036354,100,0,40
0.038229,100,0,40
0.045310,100,0,40
0.047800,100,0,40
0.049993,100,0,40
0.051848,100,0,40
0.054026,100,0,40
0.065248,100,3,80
0.067068,100,3,80
0.068889,100,3,80
0.076271,100,3,80
0.078811,100,3,80
0.080682,100,3,80
0.082567,100,3,80
0.085203,100,3,42
0.096420,107,19,42
0.099510,107,19,42
0.107640,107,19,42
0.110090,107,19,42
0.111971,107,19,42
0.114560,107,19,42
0.116824,107,39,59
0.128201,112,39,59
0.130396,112,39,59
0.132622,112,39,59
0.140044,112,39,59
0.142176,112,39,59
0.144080,112,39,59
0.146656,112,51,96
0.148528,114,51,96
0.160098,114,51,96
0.161932,114,51,96
0.163808,114,51,96
0.171603,114,51,96
0.173796,114,51,96
0.176297,114,51,64
0.178215,116,59,64
0.189629,116,59,64
0.192200,116,59,64
0.194657,116,59,64
0.202195,116,59,64
0.204404,116,59,64
0.206569,116,59,78
0.208762,117,64,78
0.210572,117,64,78
0.221475,117,64,78
0.223405,117,64,78
0.225555,117,64,78
0.232554,117,64,78
0.234829,117,64,78
0.236994,117,65,85
0.239205,119,65,85
0.241763,119,65,85
0.253080,119,65,85
0.255279,119,65,85
0.257561,119,65,85
0.264564,119,65,85
0.266726,119,65,62
0.269357,125,61,62
0.272004,125,61,62
0.283605,125,61,62
0.286116,125,61,62
0.287989,125,61,62
0.295732,125,61,62
0.298264,135,56,81
0.300469,135,56,81
0.302725,135,56,81
0.314311,135,56,81
0.316803,135,56,81
0.318667,135,56,81
0.326538,135,56,73
0.329442,139,52,73
0.331354,139,52,73
0.334233,139,52,73
0.345649,139,52,73
0.348219,139,52,73
0.351129,139,52,73
0.358799,144,48,71
0.361726,144,48,71
0.363828,144,48,71
0.365683,144,48,71
0.376886,144,48,71
0.379458,144,48,71
0.381329,144,48,71
0.389030,144,48,90
0.392092,151,46,90
0.395041,151,46,90
0.397880,151,46,90
0.409652,151,46,90
0.411838,151,46,90
0.418969,151,46,90
0.421052,154,45,95
0.422902,154,45,95
0.425090,154,45,95
0.427283,154,45,95
0.429140,154,45,95
0.440494,154,45,95
0.442362,154,45,95
0.449967,154,45,95
0.452794,154,45,95
0.454611,154,45,95
0.457200,154,45,95
0.459430,154,45,95
0.470963,154,45,95
0.473099,154,45,95
0.475279,154,45,75
0.482884,165,37,75
0.484767,165,37,75
0.487005,165,37,75
0.489200,165,37,75
0.491693,165,37,75
0.502962,165,37,75
0.505174,165,37,75
0.512270,165,37,75
0.514438,165,37,75
0.516607,165,37,75
0.518939,165,37,75
0.521378,165,37,75
0.533148,165,37,75
0.535343,165,37,75
0.537258,165,37,75
0.544508,165,37,75
0.546391,165,37,75
0.548600,165,37,75
0.550474,165,37,75
0.553070,165,37,75
0.564539,165,37,75
0.567434,165,31,95
0.575985,174,31,95
0.578523,174,31,95
0.580856,174,31,95
0.583787,174,31,95
0.595765,174,31,92
0.599057,179,31,92
0.606824,179,31,92
0.609673,179,31,92
0.612215,179,31,92
0.614789,179,31,92
0.626852,179,31,92
0.629740,187,33,64
0.638163,187,33,64
0.641072,187,33,64
