t_s,pos_act,force_g,current_mA
0.000871,98,0,0
0.003429,98,0,0
0.010660,98,0,0
0.012508,98,0,0
0.014341,98,0,0
0.016199,98,0,0
0.018039,98,0,0
0.019913,98,0,0
0.031218,98,0,0
0.034144,98,0,0
0.042246,98,0,0
0.045003,98,0,26
0.047537,98,-1,26
0.049368,98,-1,26
0.051223,98,-1,26
0.062330,98,-1,26
0.064230,98,-1,26
0.066086,98,-1,26
0.073036,98,-1,26
0.074864,98,-1,26
0.076756,103,14,100
0.078622,103,14,100
0.080515,103,14,100
0.082387,103,14,100
0.093315,103,14,100
0.095184,103,14,100
0.097044,103,14,100
0.104254,103,14,100
0.106102,103,14,100
0.108013,110,29,99
0.109887,110,29,99
0.111748,110,29,99
0.113612,110,29,99
0.124521,110,29,99
0.126374,110,29,99
0.128221,110,29,99
0.135905,110,29,99
0.138404,113,35,67
0.140936,113,35,67
0.143176,113,35,67
0.154508,113,35,67
0.156688,113,35,67
0.159227,113,35,67
0.166847,113,35,68
0.169095,116,37,68
0.171606,116,37,68
0.173462,116,37,68
0.175315,116,37,68
0.187293,116,37,68
0.189838,116,37,68
0.197154,116,37,80
0.199274,117,40,80
0.201499,117,40,80
0.203671,117,40,80
0.206291,117,40,80
0.218052,117,40,80
0.220592,117,40,80
0.228340,117,40,80
0.230887,117,40,80
0.233117,117,40,80
0.235688,117,40,80
0.247334,117,40,80
0.250422,117,40,80
0.258510,126,34,85
0.262072,126,34,85
0.264936,126,34,85
0.266767,126,34,85
0.268936,126,34,85
0.279474,126,34,85
0.281651,126,34,85
0.283533,126,34,77
0.290834,135,28,77
0.293072,135,28,77
0.295581,135,28,77
0.298063,135,28,77
0.309418,135,28,77
0.311907,135,28,77
0.313792,135,23,58
0.320874,138,23,58
0.323073,138,23,58
0.325256,138,23,58
0.327483,138,23,58
0.329310,138,23,58
0.340221,138,23,58
0.342769,138,23,58
0.344983,138,20,106
0.352362,144,20,106
0.354683,144,20,106
0.356852,144,20,106
0.358734,144,20,106
0.360550,144,20,106
0.371450,144,20,106
0.374001,144,20,107
0.376194,150,20,107
0.383484,150,20,107
0.385714,150,20,107
0.387876,150,20,107
0.389743,150,20,107
0.391546,150,20,107
0.402430,150,20,107
0.404983,150,20,86
0.407176,155,18,86
0.414603,155,18,86
0.417110,155,18,86
0.419644,155,18,86
0.422183,155,18,86
0.433589,155,15,89
0.436395,160,15,89
0.444335,160,15,89
0.446912,160,15,89
0.449424,160,15,89
0.451957,160,15,89
0.454836,160,15,89
0.465424,160,11,60
0.467622,165,11,60
0.475629,165,11,60
0.477794,165,11,60
0.480673,165,11,60
0.482861,165,11,60
0.485116,165,11,60
0.496448,165,11,60
0.499337,165,11,60
0.507928,165,11,60
0.510546,165,11,60
0.513017,165,11,60
0.514779,165,11,60
0.516669,165,11,95
0.527914,170,8,95
0.530444,170,8,95
0.538364,170,8,95
0.540604,170,8,95
0.542806,170,8,95
0.545673,170,8,95
0.547898,174,7,81
0.559148,174,7,81
0.562020,174,7,81
0.569333,174,7,81
0.571618,174,7,81
0.574508,174,7,81
0.576707,174,7,63
0.578985,178,4,63
0.589666,178,4,63
0.591546,178,4,63
0.593327,178,4,63
0.600633,178,4,63
0.602888,178,4,63
0.605480,178,4,63
0.608033,186,5,87
0.609904,186,5,87
0.621058,186,5,87
0.623250,186,5,87
0.630685,186,5,87
0.633156,186,5,87
0.635854,186,5,87
0.638807,190,10,99
0.650206,190,10,99
0.652345,190,10,99
0.654535,190,10,99
0.661933,190,10,99
0.664021,190,10,99
0.666182,190,10,99
0.668042,190,10,99
0.669872,195,10,82
0.681164,195,10,82
0.682982,195,10,82
0.685219,195,10,82
0.692413,195,10,82
0.694556,195,10,82
0.696713,195,10,82
0.698552,195,10,82
0.700362,198,10,83
0.702243,198,10,83
0.714166,198,10,83
0.717072,198,10,83
0.724413,198,10,83
0.726605,198,10,83
0.729165,198,10,59
0.731281,202,10,59
0.733435,202,10,59
0.744943,202,10,59
0.747453,202,10,59
0.755643,202,10,59
0.758552,202,10,41
0.761184,206,10,41
0.764519,206,10,41
0.775888,206,10,41
0.778079,206,10,41
0.785478,206,10,41
0.787994,206,10,41
0.790152,211,10,84
0.792363,211,10,84
0.794928,211,10,84
0.806068,211,10,84
0.808928,211,10,84
0.816477,211,10,84
0.818989,211,10,95
0.821802,215,11,95
0.824073,215,11,95
0.826898,215,11,95
0.837547,215,11,95
0.840118,215,11,95
0.848680,215,11,69
0.851210,220,11,69
0.853641,220,11,69
0.856225,220,11,69
0.867326,220,11,69
0.870265,220,11,69
0.872511,220,11,69
0.879664,220,10,74
0.882218,227,10,74
0.884366,227,10,74
0.886199,227,10,74
0.888124,227,10,74
0.899364,227,10,74
0.901572,227,10,74
0.909368,227,8,58
0.912277,229,8,58
0.914791,229,8,58
0.917285,229,8,58
0.919832,229,8,58
0.931232,229,8,58
0.933407,229,8,58
0.941302,234,8,51
0.944184,234,8,51
0.946674,234,8,51
0.949840,234,8,51
0.961257,234,8,51
0.964088,234,8,51
0.971544,234,8,51
0.973747,234,8,51
0.976349,234,8,51
0.978856,234,8,51
0.980991,234,8,51
0.992439,234,8,51
0.994991,234,8,68
1.002439,242,10,68
