t_s,pos_act,force_g,current_mA
0.000862,99,0,0
0.003008,99,0,0
0.010544,99,0,0
0.012703,99,0,0
0.014916,99,0,0
0.016750,99,0,0
0.018612,99,0,0
0.029556,99,0,0
0.031392,99,0,0
0.033250,99,0,0
0.035146,99,0,0
0.042115,99,0,0
0.043964,99,0,0
0.045946,99,0,0
0.048470,99,0,0
0.050581,99,0,0
0.061323,99,0,0
0.063250,99,0,0
0.065113,99,0,0
0.072281,109,16,88
0.074151,109,16,88
0.076039,109,16,88
0.077907,109,16,88
0.079773,109,16,88
0.081597,109,16,88
0.092742,109,16,88
0.094915,109,16,88
0.096739,109,16,80
0.104193,112,12,80
0.106001,112,12,80
0.107802,112,12,80
0.109761,112,12,80
0.111530,112,12,80
0.122567,112,12,80
0.124355,112,12,80
0.126242,112,12,70
0.128167,116,7,70
0.135128,116,7,70
0.137699,116,7,70
0.139916,116,7,70
0.142399,116,7,70
0.153649,116,7,70
0.155464,116,7,70
0.157665,116,7,78
0.164732,117,3,78
0.166621,117,3,78
0.169154,117,3,78
0.171713,117,3,78
0.173963,117,3,78
0.184880,117,3,78
0.187012,117,0,73
0.189663,118,0,73
0.197234,118,0,73
0.199365,118,0,73
0.201232,118,0,73
0.204498,118,0,73
0.216078,118,0,73
0.219187,125,-1,71
0.226771,125,-1,71
0.229641,125,-1,71
0.231834,125,-1,71
0.234020,125,-1,71
0.236238,125,-1,71
0.247543,125,-4,72
0.250069,135,-4,72
0.257654,135,-4,72
0.259583,135,-4,72
0.262160,135,-4,72
0.264661,135,-4,72
0.266842,135,-4,72
0.277746,135,-4,72
0.279931,139,-1,63
0.282468,139,-1,63
0.290121,139,-1,63
0.292361,139,-1,63
0.294234,139,-1,63
0.296746,139,-1,63
0.298734,139,-1,63
0.310529,145,-1,63
0.312766,145,-1,63
0.320649,145,-1,63
0.323299,145,-1,63
0.325463,145,-1,63
0.327732,145,-1,63
0.329652,145,-1,63
0.341188,145,-2,98
0.343760,151,-2,98
0.350840,151,-2,98
0.353010,151,-2,98
0.356863,151,-2,98
0.360616,151,-2,98
0.373432,151,-2,98
0.376369,151,-2,98
0.383837,151,-2,98
0.386632,151,-2,98
0.388802,151,-2,98
0.391013,151,-2,98
0.402236,160,0,75
0.404972,160,0,75
0.412815,160,0,75
0.415059,160,0,75
0.417541,160,0,75
0.419746,160,0,75
0.422306,160,-1,62
0.433647,164,-1,62
0.435821,164,-1,62
0.437988,164,-1,62
0.445368,164,-1,62
0.447606,164,-1,62
0.449876,164,-1,62
0.452154,164,-1,98
0.463605,168,-3,98
0.466144,168,-3,98
0.469058,168,-3,98
0.476672,168,-3,98
0.478872,168,-3,98
0.481494,168,-3,98
0.484140,168,-3,101
0.495523,172,-3,101
0.497780,172,-3,101
0.499973,172,-3,101
0.507071,172,-3,101
0.508964,172,-3,101
0.511531,172,-3,101
0.514095,172,-3,84
0.516303,176,-3,84
0.527834,176,-3,84
0.530344,176,-3,84
0.537459,176,-3,84
0.539702,176,-3,84
0.542484,176,-3,84
0.545113,176,-2,80
0.556615,181,-2,80
0.559547,181,-2,80
0.562112,181,-2,80
0.569662,181,-2,80
0.572188,181,-2,80
0.575450,188,-3,74
0.587980,188,-3,74
0.591852,188,-3,74
0.600315,188,-3,74
0.604007,188,-3,75
0.607823,192,-4,75
0.620244,192,-4,75
0.623684,192,-4,75
0.631673,192,-4,75
0.633819,192,-4,75
0.635712,196,-4,98
0.637906,196,-4,98
0.640126,196,-4,98
0.651162,196,-4,98
0.653394,196,-4,98
0.661070,196,-4,98
0.662970,196,-4,98
0.664857,196,-4,98
0.667038,196,-4,101
0.668852,200,-4,101
0.670791,200,-4,101
0.682172,200,-4,101
0.684008,200,-4,101
0.686252,200,-4,101
0.693151,200,-4,101
0.695287,200,-4,101
0.697510,203,-3,84
0.699371,203,-3,84
0.701298,203,-3,84
0.712507,203,-3,84
0.714372,203,-3,84
0.716243,203,-3,84
0.723323,203,-3,84
0.725479,203,-3,84
0.727406,206,-3,84
0.729224,206,-3,84
0.731105,206,-3,84
0.732936,206,-3,84
0.744168,206,-3,84
0.746034,206,-3,84
0.748239,206,-3,84
0.755467,206,-3,84
0.757373,206,-4,59
0.759273,212,-4,59
0.761162,212,-4,59
0.763380,212,-4,59
0.774675,212,-4,59
0.777192,212,-4,59
0.784861,212,-4,59
0.787072,212,-6,51
0.789219,216,-6,51
0.791835,216,-6,51
0.794435,216,-6,51
0.805485,216,-6,51
0.807712,216,-6,51
0.809914,216,-6,51
0.816995,216,-6,96
0.819590,222,-6,96
0.822217,222,-6,96
0.825415,222,-6,96
0.836700,222,-6,96
0.839266,222,-6,96
0.847033,222,-6,96
0.849550,222,-6,96
0.852074,222,-6,96
0.854302,222,-6,96
0.856459,222,-6,96
0.867426,222,-6,96
0.869635,222,-6,96
0.872162,222,-6,67
0.879345,231,-6,67
0.881844,231,-6,67
0.884361,231,-6,67
0.886575,231,-6,67
0.897818,231,-6,67
0.900018,231,-6,67
0.902520,231,-6,67
0.909700,231,-6,67
0.912239,231,-6,67
0.915155,231,-6,67
0.918061,231,-6,67
0.929302,231,-6,67
0.932197,231,-6,67
0.940077,231,-6,67
0.943020,231,-6,67
0.945561,231,-6,67
0.948441,231,-6,67
0.959765,231,-6,67
