t_s,force_g,pos_act,current_mA
0.006443,22,503,0
0.036602,23,,
0.049824,39,,
0.061071,39,,
0.068569,39,,
0.081487,50,,
0.093099,50,,
0.099900,52,,
0.112191,52,515,45
0.143474,52,,
0.153550,52,,
0.160227,52,,
0.174693,52,,
0.185586,52,,
0.192219,52,,
0.204597,52,,
0.215570,52,530,64
0.247110,52,,
0.253658,52,,
0.266777,52,,
0.278688,52,,
0.286433,52,,
0.297304,52,,
0.303931,52,,
0.310540,53,545,36
0.339722,51,,
0.346365,51,,
0.359368,51,,
0.372487,52,,
0.379199,52,,
0.391409,52,,
0.402425,51,,
0.408929,51,559,85
0.440091,52,,
0.452980,52,,
0.464806,52,,
0.471239,52,,
0.484118,51,,
0.494861,51,,
0.501218,51,,
0.515245,52,577,113
0.546052,51,,
0.557686,51,,
0.565030,51,,
0.576648,52,,
0.588238,52,,
0.594428,52,,
0.607102,51,,
0.613350,51,591,100
0.638636,51,,
0.650310,51,,
0.656521,51,,
0.669527,51,,
0.681840,51,,
0.688403,51,,
0.700443,51,,
0.712476,51,607,83
0.743512,50,,
0.750955,51,,
0.762781,51,,
0.774709,51,,
0.781249,50,,
0.794309,50,,
0.805504,50,,
0.813192,52,622,62
0.843059,52,,
0.856861,52,,
0.867530,51,,
0.875118,51,,
0.887242,51,,
0.898666,52,,
0.905268,52,,
0.918239,52,643,89
0.949060,52,,
0.960734,52,,
0.968275,52,,
0.980309,52,,
0.991479,52,,
0.999067,52,,
1.011008,52,,
1.023073,52,650,114
1.053963,52,,
1.060800,52,,
1.073062,52,,
1.085093,52,,
1.091632,52,,
1.105171,52,,
1.115626,52,,
1.122232,52,671,97
1.153550,52,,
1.167026,51,,
1.178463,51,,
1.185214,51,,
1.197608,52,,
1.208618,52,,
1.215371,52,,
1.228654,51,688,43
1.259666,52,,
1.270638,52,,
1.277307,52,,
1.290546,52,,
1.301553,52,,
1.308200,52,,
1.321442,52,,
1.332562,52,707,75
1.363662,52,,
1.370493,53,,
1.383786,53,,
1.394883,53,,
1.401660,53,,
1.415059,53,,
1.425152,53,,
1.431837,53,719,83
1.463781,53,,
1.477300,53,,
1.487376,53,,
1.495149,53,,
1.507635,53,,
1.518857,54,,
1.525976,54,,
1.538515,54,734,83
1.569883,54,,
1.580611,54,,
1.587023,54,,
1.600274,54,,
1.611071,54,,
1.617482,54,,
1.631481,54,,
1.642216,54,745,31
1.673830,55,,
1.680394,55,,
1.693604,55,,
1.704566,55,,
1.711052,55,,
1.724080,55,,
1.735333,55,,
1.742359,55,769,61
1.773838,56,,
1.786391,56,,
1.797547,56,,
1.804197,56,,
1.817583,57,,
1.828969,57,,
1.835724,57,,
1.848796,56,780,49
1.879225,61,,
1.890213,61,,
1.897938,61,,
1.910105,66,,
1.922014,66,,
1.928506,66,,
1.941641,76,,
1.952809,76,799,41
1.983910,87,,
1.990719,104,,
2.003895,104,,
2.014896,104,,
2.021599,123,,
2.034603,123,,
2.045548,123,,
2.052061,117,808,-49
2.082706,98,,
2.096812,98,,
2.107716,94,,
2.114172,94,,
2.127389,94,,
2.138197,94,,
2.144639,94,,
2.158659,94,803,0
2.189875,94,,
2.200289,94,,
2.206890,94,,
2.219889,94,,
2.231832,94,,
2.238361,94,,
2.251310,94,,
2.262183,94,803,0
2.293124,95,,
2.300792,95,,
2.312934,95,,
2.325086,94,,
2.331616,94,,
2.344886,95,,
2.355901,95,,
2.362457,95,803,0
2.392292,94,,
2.406249,94,,
2.417937,94,,
2.424914,94,,
2.437207,94,,
2.448779,94,,
2.455337,94,,
2.468179,94,803,0
