t_s,force_g,pos_act,current_mA
0.007554,41,501,0
0.038345,49,,
0.050500,49,,
0.062435,49,,
0.068734,51,,
0.080744,51,,
0.092969,51,,
0.099494,50,,
0.112795,50,523,83
0.144048,51,,
0.154894,49,,
0.162467,49,,
0.174363,49,,
0.186251,51,,
0.192631,51,,
0.205658,51,,
0.216416,51,558,61
0.247566,50,,
0.253860,50,,
0.268067,50,,
0.278715,51,,
0.286013,51,,
0.298888,51,,
0.309656,49,,
0.317215,49,585,93
0.348117,50,,
0.360632,50,,
0.371874,50,,
0.378430,50,,
0.391687,48,,
0.402697,48,,
0.409650,48,,
0.422915,51,622,63
0.454227,49,,
0.465411,49,,
0.472100,49,,
0.484308,51,,
0.496299,51,,
0.503033,51,,
0.515723,51,,
0.526449,51,651,43
0.557359,50,,
0.563811,50,,
0.577778,51,,
0.588434,51,,
0.594810,51,,
0.608710,51,,
0.619657,51,,
0.626195,50,688,32
0.656823,51,,
0.670711,51,,
0.681457,51,,
0.689176,51,,
0.701496,51,,
0.713115,51,,
0.719825,51,,
0.732911,51,715,53
0.764104,52,,
0.774450,52,,
0.781216,52,,
0.794294,52,,
0.805430,52,,
0.812276,52,,
0.825560,52,,
0.836713,52,747,30
0.867477,52,,
0.874310,52,,
0.887741,52,,
0.899008,55,,
0.905885,55,,
0.918131,55,,
0.929309,77,,
0.935947,77,777,70
0.967130,101,,
0.980215,101,,
0.992182,101,,
0.999791,101,,
1.011905,192,,
1.023043,192,,
1.030224,192,,
1.042483,260,812,111
1.073683,322,,
1.085788,322,,
1.092407,322,,
1.104229,394,,
1.114948,394,,
1.121399,394,,
1.135392,467,,
1.146195,467,840,259
1.178036,544,,
1.185472,544,,
1.197273,544,,
1.207962,544,,
1.214571,544,,
1.228586,558,,
1.239521,558,,
1.245956,499,854,43
1.278657,479,,
1.290702,479,,
1.301718,479,,
1.308603,477,,
1.321652,477,,
1.332715,477,,
1.339374,477,,
1.352346,477,851,0
1.383760,476,,
1.394602,476,,
1.401039,476,,
1.414412,476,,
1.425935,476,,
1.433627,476,,
1.444752,476,,
1.456794,475,851,0
1.488100,476,,
1.494872,476,,
1.507211,476,,
1.519659,476,,
1.526670,476,,
1.538118,476,,
1.550299,476,,
1.556860,476,851,0
1.588512,476,,
1.600490,476,,
1.612484,475,,
1.618982,475,,
1.631976,476,,
1.643102,476,,
1.649751,476,,
1.663089,476,851,0
