trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g
A_dof4_v100_F250_n04.csv,4,100,250,341,91,232,1098,775,78,0,5:0,36,39
A_dof4_v50_F100_n04.csv,4,50,100,122,22,87,1984,778,78,0,5:0,17,30
A_dof4_v250_F250_n01.csv,4,250,250,615,365,346,550,764,78,0,5:0,46,27
A_dof4_v500_F1000_n01.csv,4,500,1000,2454,1454,519,384,736,77,1,5:0,112,27
A_dof4_v1000_F100_n03.csv,4,1000,100,1013,913,69,271,793,78,0,5:0,51,34
A_dof4_v100_F500_n01.csv,4,100,500,598,98,507,1232,769,78,0,5:0,57,32
A_dof4_v750_F100_n02.csv,4,750,100,784,684,69,270,794,78,0,5:0,64,32
A_dof4_v50_F750_n04.csv,4,50,750,828,78,701,2534,778,78,0,5:0,81,32
A_dof4_v500_F100_n00.csv,4,500,100,686,586,209,354,824,80,0,5:0,55,33
A_dof4_v1000_F750_n04.csv,4,1000,750,1833,1083,603,330,715,79,0,5:0,114,33
A_dof4_v500_F500_n04.csv,4,500,500,1227,727,499,354,685,78,0,5:0,94,34
A_dof4_v250_F500_n03.csv,4,250,500,756,256,480,552,790,78,0,5:0,77,34
A_dof4_v250_F750_n02.csv,4,250,750,1026,276,622,584,766,78,0,5:0,92,34
A_dof4_v100_F1000_n04.csv,4,100,1000,1131,131,913,1375,770,77,0,5:0,106,34
A_dof4_v100_F1000_n01.csv,4,100,1000,1113,113,869,1377,777,77,0,5:0,106,33
A_dof4_v750_F1000_n00.csv,4,750,1000,2046,1046,1046,309,719,78,0,5:0,131,35
A_dof4_v100_F100_n01.csv,4,100,100,159,59,106,1067,777,78,0,5:0,21,35
A_dof4_v750_F1000_n02.csv,4,750,1000,2005,1005,867,341,721,78,0,5:0,101,34
A_dof4_v25_F1000_n02.csv,4,25,1000,2631,1631,168,3929,787,78,1,5:0,6,35
A_dof4_v100_F750_n03.csv,4,100,750,871,121,665,1314,775,78,0,5:0,92,34
A_dof4_v50_F750_n03.csv,4,50,750,845,95,705,2603,795,78,0,5:0,92,32
A_dof4_v25_F250_n00.csv,4,25,250,270,20,233,4401,796,77,0,5:0,45,19
A_dof4_v50_F750_n01.csv,4,50,750,764,14,684,2523,798,78,0,5:0,93,20
A_dof4_v750_F500_n04.csv,4,750,500,2070,1570,948,308,777,79,0,5:0,131,20
A_dof4_v750_F250_n01.csv,4,750,250,1347,1097,441,342,657,78,0,5:0,103,20
A_dof4_v100_F250_n03.csv,4,100,250,393,143,273,1170,777,78,0,5:0,56,21
A_dof4_v500_F100_n04.csv,4,500,100,614,514,168,352,691,78,0,5:0,72,20
A_dof4_v1000_F500_n04.csv,4,1000,500,1752,1252,590,309,798,78,0,5:0,120,20
A_dof4_v750_F750_n04.csv,4,750,750,2193,1443,1031,341,727,78,0,5:0,140,19
A_dof4_v500_F500_n00.csv,4,500,500,1035,535,447,341,727,78,0,5:0,89,19
A_dof4_v50_F250_n02.csv,4,50,250,314,64,245,2263,795,78,0,5:0,48,18
A_dof4_v1000_F500_n02.csv,4,1000,500,1972,1472,718,292,816,78,0,5:0,93,18
A_dof4_v1000_F500_n03.csv,4,1000,500,1669,1169,530,309,793,78,0,5:0,112,17
A_dof4_v250_F750_n04.csv,4,250,750,942,192,655,557,795,78,0,5:0,87,18
