t_s,pos_act,force_g,current_mA
0.003501,246,0,0
0.005941,246,0,0
0.007793,246,0,0
0.009718,246,0,0
0.012304,246,0,0
0.024356,246,0,0
0.026934,246,0,0
0.034329,246,0,0
0.036581,246,0,0
0.038443,246,0,0
0.040407,246,0,0
0.042310,246,0,0
0.044218,246,0,0
0.056102,246,0,0
0.058346,246,0,0
0.066590,246,0,0
0.069791,246,0,0
0.072698,246,0,0
0.075653,246,0,0
0.087177,246,0,0
0.090101,246,0,0
0.098485,246,0,0
0.101423,246,0,0
0.104409,246,0,0
0.116177,246,15,61
0.119069,255,15,61
0.121579,255,15,61
0.129533,255,15,61
0.132019,255,15,61
0.133919,255,15,61
0.135830,255,15,61
0.137746,258,19,49
0.149586,258,19,49
0.152081,258,19,49
0.159464,258,19,49
0.162091,258,19,49
0.164350,258,19,49
0.166943,258,19,57
0.178301,263,22,57
0.181781,263,22,57
0.189586,263,22,57
0.191446,263,22,57
0.194098,263,22,57
0.196015,263,22,57
0.198661,263,23,37
0.210185,266,23,37
0.212736,266,23,37
0.220234,266,23,37
0.223069,266,23,37
0.226019,266,23,37
0.229114,266,23,49
0.240426,271,23,49
0.243263,271,23,49
0.245464,271,23,49
0.252865,271,23,49
0.255393,271,23,49
0.257979,271,23,49
0.260936,276,23,65
0.271800,276,23,65
0.273985,276,23,65
0.275864,276,23,65
0.283112,276,23,65
0.285287,276,23,65
0.287207,276,23,65
0.289409,276,23,39
0.291890,281,23,39
0.302808,281,23,39
0.304669,281,23,39
0.306551,281,23,39
0.314069,281,23,39
0.316383,281,23,39
0.318496,281,23,66
0.320425,284,23,66
0.323058,284,23,66
0.334934,284,23,66
0.336853,284,23,66
0.344388,284,23,66
0.346921,284,23,66
0.349455,284,23,56
0.351579,288,23,56
0.354151,288,23,56
0.365938,288,23,56
0.367774,288,23,56
0.375350,288,23,56
0.378333,288,23,23
0.381269,290,24,23
0.384078,290,24,23
0.395368,290,24,23
0.397279,290,24,23
0.399433,290,24,23
0.407131,290,24,23
0.408982,290,24,34
0.411937,293,24,34
0.414893,293,24,34
0.426091,293,24,34
0.427951,293,24,34
0.429818,293,24,34
0.437157,293,24,34
0.439410,293,24,52
0.441951,297,24,52
0.445015,297,24,52
0.457105,297,24,52
0.460091,297,24,52
0.468475,297,24,53
0.470961,302,23,53
0.474066,302,23,53
0.476950,302,23,53
0.488463,302,23,53
0.491876,302,23,53
0.500178,308,23,57
0.503144,308,23,57
0.506121,308,23,57
0.508808,308,23,57
0.520602,308,23,57
0.523768,308,23,43
0.531471,312,24,43
0.534816,312,24,43
0.538253,312,24,43
0.550378,312,24,43
0.554030,312,24,6
0.562939,317,24,6
0.566743,317,24,6
0.570274,317,24,6
0.582592,317,24,6
0.586337,319,24,42
0.594755,319,24,42
0.597869,319,24,42
0.600925,319,24,42
0.612227,319,24,42
0.614786,319,24,42
0.617491,324,24,64
0.625035,324,24,64
0.627241,324,24,64
0.629456,324,24,64
0.631415,324,24,64
0.633589,324,24,64
0.644900,324,24,66
0.647793,331,24,66
0.655581,331,24,66
0.658525,331,24,66
0.661592,331,24,66
0.663766,331,24,66
0.675028,331,24,66
0.677989,338,28,78
0.686053,338,28,78
0.688841,338,28,78
0.691773,338,28,78
0.694634,338,28,78
0.706020,343,30,40
0.708591,343,30,40
0.716142,343,30,40
0.718954,343,30,40
0.721487,343,30,40
0.724484,343,30,40
0.736050,343,30,62
0.739057,347,32,62
0.747430,347,32,62
0.749961,347,32,62
0.752859,347,32,62
0.755880,347,32,62
0.767665,348,34,61
0.770712,348,34,61
