t_s,pos_act,force_g,current_mA
0.001163,245,0,0
0.004076,245,0,0
0.006330,245,0,0
0.018362,245,0,0
0.020894,245,0,0
0.028424,245,0,0
0.031336,245,0,0
0.034249,245,0,0
0.037154,245,0,0
0.049314,245,0,0
0.051898,245,0,0
0.059833,245,0,52
0.063284,245,6,52
0.066637,245,6,52
0.069918,245,6,52
0.081313,245,6,52
0.084219,245,6,52
0.092204,253,20,60
0.095226,253,20,60
0.098244,253,20,60
0.110006,253,20,60
0.112145,253,20,60
0.114396,253,20,60
0.122211,259,23,23
0.125140,259,23,23
0.128163,259,23,23
0.131468,259,23,23
0.143004,259,23,23
0.145937,259,23,23
0.153698,264,26,25
0.155807,264,26,25
0.157671,264,26,25
0.159645,264,26,25
0.161456,264,26,25
0.172815,264,26,25
0.174720,264,26,25
0.176616,264,26,25
0.184114,264,26,25
0.186995,264,26,25
0.189312,264,26,25
0.192106,264,26,25
0.204141,264,26,25
0.206674,264,26,51
0.214071,273,30,51
0.216746,273,30,51
0.218965,273,30,51
0.221259,273,30,51
0.224274,273,30,51
0.235852,273,30,51
0.238094,273,30,30
0.246380,280,30,30
0.248624,280,30,30
0.251172,280,30,30
0.253046,280,30,30
0.255307,280,30,30
0.266532,280,30,49
0.269176,283,32,49
0.277075,283,32,49
0.279288,283,32,49
0.281818,283,32,49
0.284440,283,32,49
0.295906,283,32,49
0.298477,283,32,61
0.301391,287,34,61
0.309031,287,34,61
0.311944,287,34,61
0.315204,287,34,61
0.327200,287,34,61
0.330378,287,34,61
0.338429,287,34,61
0.341819,287,34,61
0.344584,287,34,61
0.347557,287,34,61
0.358919,287,34,61
0.361191,295,40,38
0.363380,295,40,38
0.371169,295,40,38
0.374163,295,40,38
0.377134,295,40,38
0.389035,295,40,38
0.391993,295,40,38
0.394901,295,40,38
0.402315,295,40,38
0.405262,295,40,38
0.407888,295,40,38
0.410844,295,40,60
0.422251,306,40,60
0.425275,306,40,60
0.433056,306,40,60
0.435892,306,40,60
0.438822,306,40,60
0.441447,308,40,43
0.453001,308,40,43
0.455905,308,40,43
0.463427,308,40,43
0.465938,308,40,43
0.468560,308,40,43
0.471902,312,40,38
0.483564,312,40,38
0.487141,312,40,38
0.494821,312,40,38
0.497384,312,40,38
0.500248,312,40,57
0.502534,317,40,57
0.513889,317,40,57
0.516085,317,40,57
0.524889,317,40,57
0.528716,317,40,57
0.532433,319,40,65
0.544342,319,40,65
0.547913,319,40,65
0.556184,319,40,65
0.559172,319,40,65
0.562098,323,40,41
0.564726,323,40,41
0.576315,323,40,41
0.578911,323,40,41
0.586163,323,40,41
0.589132,323,40,41
0.592185,330,40,38
0.595133,330,40,38
0.606980,330,40,38
0.609912,330,40,38
0.617729,330,40,38
0.620784,330,40,38
0.623802,336,40,15
0.626902,336,40,15
0.639011,336,40,15
0.641569,336,40,15
0.648687,336,40,15
0.650480,336,40,15
0.652384,336,40,15
0.654259,341,40,39
0.656147,341,40,39
0.658016,341,40,39
0.668803,341,40,39
0.670705,341,40,39
0.672607,341,40,39
0.679987,341,40,39
0.681813,341,40,39
0.683738,345,40,66
0.685644,345,40,66
0.687521,345,40,66
0.689397,345,40,66
0.700426,345,40,66
0.702632,345,40,66
0.704496,345,40,66
0.711665,345,40,66
0.713526,345,40,54
0.715409,348,40,54
0.717297,348,40,54
0.719154,348,40,54
0.730208,348,40,54
0.732754,348,40,54
0.735340,348,40,54
0.742823,348,40,22
0.745762,352,40,22
0.747722,352,40,22
0.749622,352,40,22
0.751571,352,40,22
0.762284,352,40,22
0.764055,352,40,22
0.765910,352,40,22
0.772875,352,40,36
0.774766,357,42,36
0.777408,357,42,36
0.779591,357,42,36
0.781487,357,42,36
0.792885,357,42,36
0.795077,357,42,36
0.803289,357,42,36
0.806137,357,42,36
0.809179,357,42,36
0.811668,357,42,36
0.813801,357,42,36
0.824800,357,42,36
0.826719,357,42,36
0.828627,357,43,69
0.836245,370,43,69
0.838106,370,43,69
0.839947,370,43,69
0.841797,370,43,69
0.843720,370,43,69
0.854948,370,43,69
0.856809,370,43,69
0.858707,370,43,69
0.865678,370,44,41
0.867530,373,44,41
0.869735,373,44,41
0.871600,373,44,41
0.873746,373,44,41
0.875602,373,44,41
0.886804,373,44,41
0.889590,373,45,63
0.897189,375,45,63
0.899420,375,45,63
0.901708,375,45,63
0.903586,375,45,63
0.905459,375,45,63
0.916891,375,45,63
0.919439,375,45,63
0.921280,378,44,62
0.928716,378,44,62
0.930563,378,44,62
0.932431,378,44,62
0.934308,378,44,62
0.936536,378,44,62
0.947957,378,44,62
0.950215,384,45,63
0.958095,384,45,63
0.960712,384,45,63
0.963265,384,45,63
0.966139,384,45,63
0.978062,384,45,63
0.980729,384,45,46
0.983318,392,44,46
0.990648,392,44,46
0.992776,392,44,46
0.994731,392,44,46
0.997273,392,44,46
0.999483,392,44,46
1.011075,392,45,52
1.013221,396,45,52
1.020749,396,45,52
1.022988,396,45,52
1.024827,396,45,52
1.026734,396,45,52
1.028673,396,45,52
1.040331,396,45,52
1.043485,396,45,59
1.051321,400,45,59
1.054284,400,45,59
1.057238,400,45,59
1.060237,400,45,59
1.071993,405,45,51
1.074941,405,45,51
1.082746,405,45,51
1.085849,405,45,51
1.088289,405,45,51
1.090534,405,45,51
1.102128,405,45,25
1.104725,411,45,25
1.107334,411,45,25
1.115291,411,45,25
1.118238,411,45,25
1.121190,411,45,25
1.132983,411,46,69
1.135951,414,46,69
1.144119,414,46,69
1.147269,414,46,69
1.150199,414,46,69
1.152854,414,46,69
1.164293,419,46,68
1.167326,419,46,68
1.175418,419,46,68
1.177972,419,46,68
1.180899,419,46,68
1.183827,419,46,50
1.195303,422,46,50
1.198489,422,46,50
1.206170,422,46,50
1.208812,422,46,50
1.211783,422,46,50
1.214783,422,46,73
1.226824,426,46,73
1.228736,426,46,73
1.230685,426,46,73
1.238200,426,46,73
1.240815,426,46,73
1.243459,426,46,73
1.246476,430,47,75
