t_s,pos_act,force_g,current_mA
0.009302,247,0,0
0.011195,247,0,0
0.013736,247,0,0
0.021122,247,0,0
0.022989,247,0,0
0.024926,247,0,0
0.026884,247,0,0
0.029033,247,0,0
0.031262,247,0,0
0.041828,247,0,0
0.044275,247,0,0
0.051498,247,0,0
0.054052,247,0,0
0.056281,247,0,0
0.059281,248,5,33
0.062245,248,5,33
0.073676,248,5,33
0.076609,248,5,33
0.084703,248,5,33
0.087636,248,18,34
0.089507,254,18,34
0.091820,254,18,34
0.102981,254,18,34
0.105199,254,18,34
0.107806,254,18,34
0.115495,254,18,34
0.117973,254,25,43
0.120611,260,25,43
0.122821,260,25,43
0.134390,260,25,43
0.136939,260,25,43
0.144573,260,25,43
0.147573,260,28,65
0.150559,264,28,65
0.153509,264,28,65
0.164551,264,28,65
0.167500,264,28,65
0.175796,264,28,65
0.177867,264,30,88
0.179868,269,30,88
0.181801,269,30,88
0.184436,269,30,88
0.195555,269,30,88
0.198581,269,30,88
0.206507,269,30,89
0.209061,275,31,89
0.211305,275,31,89
0.214241,275,31,89
0.217155,275,31,89
0.228436,275,31,89
0.231308,275,31,74
0.239407,280,31,74
0.242296,280,31,74
0.244857,280,31,74
0.246800,280,31,74
0.258190,280,31,74
0.260333,280,31,74
0.262193,280,31,74
0.269881,284,34,71
0.273023,284,34,71
0.275996,284,34,71
0.278065,284,34,71
0.289330,284,34,71
0.291222,284,34,71
0.293866,284,34,71
0.301033,284,34,71
0.303250,284,34,71
0.305429,284,34,71
0.307677,284,34,71
0.319295,284,34,71
0.321158,284,34,71
0.323365,284,38,46
0.330468,290,38,46
0.333383,290,38,46
0.336272,290,38,46
0.339214,290,38,46
0.350605,290,38,46
0.353120,290,38,46
0.356221,294,40,43
0.364426,294,40,43
0.368132,294,40,43
0.371217,294,40,43
0.382587,294,40,43
0.384662,299,41,50
0.392535,299,41,50
0.395494,299,41,50
0.398387,299,41,50
0.401277,299,41,50
0.412575,299,41,50
0.415533,299,40,39
0.423594,304,40,39
0.426160,304,40,39
0.429077,304,40,39
0.432063,304,40,39
0.443898,304,41,57
0.446090,308,41,57
0.448366,308,41,57
0.455970,308,41,57
0.458285,308,41,57
0.461588,308,41,57
0.464846,308,41,57
0.476358,311,41,39
0.479011,311,41,39
0.486519,311,41,39
0.488332,311,41,39
0.490206,311,41,39
0.492155,311,41,39
0.494417,311,41,39
0.505641,311,41,39
0.508261,311,41,39
0.511237,311,41,39
0.518313,311,41,39
0.520873,311,41,39
0.523204,311,41,39
0.525789,311,41,39
0.536930,320,41,48
0.538899,320,41,48
0.541102,320,41,48
0.548861,320,41,48
0.551055,320,41,48
0.552976,320,41,48
0.555227,320,41,48
0.557138,320,41,48
0.568509,320,41,48
0.570366,320,41,48
0.572964,320,41,48
0.580325,320,41,48
0.582922,320,41,48
0.585102,320,41,48
0.587041,320,41,48
0.588940,320,41,51
0.600088,333,40,51
0.602350,333,40,51
0.609589,333,40,51
0.611823,333,40,51
0.614399,333,40,51
0.616299,333,40,51
0.618544,333,41,53
0.630543,336,41,53
0.632777,336,41,53
0.634661,336,41,53
0.642331,336,41,53
0.644578,336,41,53
0.646468,336,41,53
0.649400,336,41,36
0.661204,342,41,36
0.664406,342,41,36
0.673055,342,41,36
0.676803,342,41,36
0.680095,342,41,70
0.691598,346,41,70
0.694181,346,41,70
0.696941,346,41,70
0.704338,346,41,70
0.706605,346,41,70
0.708851,346,41,63
0.710814,348,41,63
0.712729,348,41,63
0.724313,348,41,63
0.726168,348,41,63
0.734125,348,41,63
0.737108,348,41,63
0.740015,348,41,51
0.743097,352,41,51
0.754153,352,41,51
0.756411,352,41,51
0.764470,352,41,51
0.767041,352,41,51
0.769919,357,42,30
0.772534,357,42,30
0.774822,357,42,30
0.785602,357,42,30
0.787485,357,42,30
0.789417,357,42,30
0.797030,357,42,30
0.799966,357,42,41
0.803029,363,42,41
0.806061,363,42,41
0.817685,363,42,41
0.820816,363,42,41
0.828973,363,42,43
0.831178,370,43,43
0.833036,370,43,43
0.834971,370,43,43
0.836889,370,43,43
0.847775,370,43,43
0.850099,370,43,43
0.857524,370,43,43
0.859427,370,43,61
0.861957,373,43,61
0.864562,373,43,61
0.866442,373,43,61
0.877416,373,43,61
0.879585,373,43,61
0.881837,373,43,61
0.889325,373,43,40
0.891215,375,43,40
0.893373,375,43,40
0.896041,375,43,40
0.899000,375,43,40
0.910322,375,43,40
0.912853,375,43,40
0.920337,375,43,40
0.922576,375,43,40
0.924790,375,43,40
0.927282,375,43,40
0.929627,375,43,40
0.941276,375,43,40
0.943444,375,43,40
0.950982,383,44,24
0.953231,383,44,24
0.956145,383,44,24
0.959102,383,44,24
0.971599,383,44,24
0.975255,383,44,24
0.984259,383,44,24
0.987666,383,44,24
0.991151,383,44,24
1.003000,383,44,24
1.006260,398,45,50
1.015285,398,45,50
1.018559,398,45,50
1.021773,398,45,50
1.033896,398,45,50
1.037262,398,45,37
1.044907,402,45,37
1.047496,402,45,37
1.049656,402,45,37
1.051524,402,45,37
1.053571,402,45,37
1.065668,402,45,37
1.068548,407,45,46
1.076522,407,45,46
1.079448,407,45,46
1.082344,407,45,46
1.084945,407,45,46
1.096537,407,45,46
1.099498,413,45,42
1.107334,413,45,42
1.110008,413,45,42
1.112912,413,45,42
1.115944,413,45,42
1.127222,413,45,32
1.129441,417,46,32
1.137036,417,46,32
1.138928,417,46,32
1.140854,417,46,32
1.142711,417,46,32
1.144602,417,46,32
1.146567,417,46,32
1.158780,417,46,55
1.161801,421,46,55
1.168934,421,46,55
1.170876,421,46,55
1.173177,421,46,55
1.175819,421,46,55
1.187682,421,45,59
1.190256,424,45,59
1.192435,424,45,59
1.199848,424,45,59
1.201811,424,45,59
1.204360,424,45,59
1.206309,424,45,59
1.208610,424,45,59
1.219991,424,46,64
1.221855,429,46,64
1.230107,429,46,64
1.233791,429,46,64
1.237344,429,46,64
1.249631,429,46,64
1.252393,429,46,64
1.254911,429,46,64
1.261726,429,46,64
1.263966,429,46,64
1.266983,429,46,64
1.269659,429,46,60
1.282343,435,47,60
1.284509,435,47,60
1.291924,435,47,60
1.294138,435,47,60
1.296082,435,47,60
1.298033,435,47,60
1.299895,435,47,60
1.311569,435,47,60
1.315052,435,47,60
