t_s,pos_act,force_g,current_mA
0.011881,245,-40,0
0.042110,246,-35,55
0.074321,250,-26,86
0.104522,258,-17,73
0.135941,262,-15,50
0.167333,266,-13,61
0.197879,271,-12,64
0.223304,276,-11,64
0.248145,280,-10,69
0.279722,283,-8,68
0.310172,288,-6,72
0.341493,292,-4,14
0.371901,295,-2,48
0.391640,295,-2,66
0.421720,301,-1,57
0.453912,309,-1,59
0.484094,313,-1,49
0.516044,317,0,57
0.545657,321,0,60
0.577224,326,0,47
0.607998,333,-1,47
0.633270,338,0,48
0.663371,341,0,64
0.694842,345,0,64
0.725600,348,0,74
0.756243,353,0,44
0.787313,359,0,53
0.818202,359,0,53
0.849809,369,1,38
0.880591,373,1,66
0.911470,375,1,68
0.941975,378,2,47
0.973038,387,2,63
1.004134,394,3,61
1.035344,398,3,65
1.066242,401,3,40
1.097080,405,4,58
1.127997,411,3,77
1.158967,415,4,46
1.189779,419,4,79
1.221739,427,4,73
1.252685,431,5,82
1.282952,433,4,54
1.314794,437,6,59
1.345664,442,4,61
1.375871,447,5,67
1.407815,451,5,75
1.438593,451,5,88
1.468788,461,5,82
1.500422,466,6,83
1.530692,470,6,83
1.561953,474,6,77
1.593768,477,5,62
1.623829,482,6,74
1.655233,488,5,77
1.686807,495,5,56
1.717571,500,5,76
1.748558,503,5,54
1.778630,507,5,77
1.809801,512,5,76
1.841024,521,5,99
1.872658,524,4,71
1.902635,528,4,69
1.934331,532,4,79
1.965144,538,4,61
1.996593,542,4,86
2.027472,547,3,87
2.058777,553,4,79
2.088656,555,3,93
2.119912,559,3,102
2.151133,563,3,95
2.181754,568,3,77
2.213586,572,2,71
2.244723,576,2,50
2.274981,581,4,48
2.306682,586,3,74
2.337278,590,3,76
2.367795,594,3,71
2.399838,598,3,75
2.430577,602,2,49
2.460771,612,3,55
2.492178,617,3,60
2.522983,622,3,78
2.554464,629,3,73
2.584760,634,3,46
2.616597,637,4,57
2.647515,642,4,59
2.678183,642,4,73
2.709130,649,5,47
2.739490,653,5,56
2.771148,659,5,55
2.802314,666,5,66
2.832600,668,5,57
2.863775,672,6,21
2.894694,680,5,54
2.925596,685,5,52
2.957528,688,6,42
2.987895,692,6,50
3.018863,695,6,62
3.050189,699,6,62
3.081217,710,6,49
3.111669,713,7,57
3.143345,717,7,66
3.173663,722,7,59
3.204423,728,8,71
3.235997,731,8,49
3.266544,734,8,50
3.298307,739,8,72
3.328373,741,9,68
3.359535,746,9,56
3.390803,751,10,46
3.422052,756,10,35
3.452233,760,10,66
3.483647,768,14,82
3.515229,773,23,80
3.546070,776,39,68
3.576992,778,53,77
3.607960,781,72,81
3.638510,787,94,96
3.670200,792,119,110
3.701065,803,146,97
3.731926,806,175,128
3.762571,810,207,134
3.794861,815,241,149
3.824659,821,275,169
3.855238,825,310,167
3.888003,830,344,191
3.918278,830,344,208
3.949098,838,408,247
3.980791,844,446,0
4.011008,846,407,26
4.041156,837,346,93
4.073634,835,342,0
