trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g
B_dof4_v25_F500_n04.csv,4,25,500,531,31,418,1966,816,78,0,5:0,66,54
B_dof4_v25_F100_n00.csv,4,25,100,129,29,89,1293,825,78,0,5:0,17,33
B_dof4_v25_F1000_n03.csv,4,25,1000,1042,42,934,2604,826,78,0,5:0,105,31
B_dof4_v25_F750_n03.csv,4,25,750,780,30,658,2294,819,78,0,5:0,98,34
B_dof4_v25_F250_n01.csv,4,25,250,299,49,290,1623,826,78,0,5:0,48,35
B_dof4_v25_F250_n00.csv,4,25,250,289,39,239,1603,819,78,0,5:0,47,33
B_dof4_v25_F250_n02.csv,4,25,250,281,31,237,1605,824,78,0,5:0,46,36
B_dof4_v25_F500_n00.csv,4,25,500,528,28,421,1934,821,78,0,5:0,78,37
B_dof4_v25_F1000_n02.csv,4,25,1000,1033,33,936,2556,821,78,0,5:0,109,37
B_dof4_v25_F1000_n00.csv,4,25,1000,1026,26,900,2555,823,78,0,5:0,108,42
B_dof4_v25_F100_n04.csv,4,25,100,117,17,91,1271,817,78,0,5:0,13,38
B_dof4_v25_F100_n02.csv,4,25,100,109,9,86,1209,821,78,0,5:0,11,37
B_dof4_v25_F1000_n01.csv,4,25,1000,1037,37,935,2573,821,78,0,5:0,111,36
B_dof4_v25_F100_n03.csv,4,25,100,110,10,86,1253,817,78,0,5:0,13,39
B_dof4_v25_F750_n02.csv,4,25,750,792,42,684,2306,821,79,0,5:0,99,35
B_dof4_v25_F500_n01.csv,4,25,500,533,33,401,1946,821,78,0,5:0,80,39
B_dof4_v25_F750_n04.csv,4,25,750,786,36,712,2309,820,77,0,5:0,100,40
B_dof4_v25_F250_n04.csv,4,25,250,284,34,241,1593,820,78,0,5:0,46,41
B_dof4_v25_F1000_n04.csv,4,25,1000,1048,48,962,2574,821,79,0,5:0,112,39
B_dof4_v25_F750_n00.csv,4,25,750,789,39,717,2308,815,78,0,5:0,100,43
B_dof4_v25_F750_n01.csv,4,25,750,775,25,682,2276,828,80,0,5:0,93,43
B_dof4_v25_F250_n03.csv,4,25,250,276,26,230,1594,826,78,0,5:0,49,25
B_dof4_v25_F100_n01.csv,4,25,100,119,19,88,1285,826,78,0,5:0,18,25
B_dof4_v25_F500_n03.csv,4,25,500,526,26,468,1964,823,78,0,5:0,81,25
B_dof4_v25_F500_n02.csv,4,25,500,523,23,457,1966,827,78,0,5:0,84,25
