trial,onset_pos,f_base_g,aborted
1,902,41,0
2,882,18,0
3,877,19,0
4,947,19,0
5,888,19,0
6,902,19,0
7,958,20,0
8,877,20,0
9,895,20,0
10,965,19,0
11,877,19,0
12,879,18,0
13,890,19,0
14,906,18,0
15,877,18,0
16,875,21,0
17,947,21,0
18,889,21,0
19,901,20,0
20,900,20,0
21,891,35,0
22,888,11,0
23,901,12,0
24,879,12,0
25,877,12,0
26,895,11,0
27,889,12,0
28,900,13,0
29,956,12,0
30,879,12,0
31,895,13,0
32,965,13,0
33,900,14,0
34,879,14,0
35,956,13,0
36,889,15,0
37,903,14,0
38,878,12,0
39,878,12,0
40,947,13,0
41,877,31,0
42,879,9,0
43,950,9,0
44,889,9,0
45,900,8,0
46,877,8,0
47,875,8,0
48,896,10,0
49,965,8,0
50,878,8,0
