t_s,force_g,pos_act,current_mA
0.000613,20,509,-88
0.002808,20,,
0.003414,20,,
0.004351,20,,
0.014163,20,,
0.015290,20,,
0.016252,20,,
0.017193,20,,
0.018143,20,508,0
0.025502,20,,
0.026142,20,,
0.027155,20,,
0.028118,20,,
0.028725,20,,
0.029355,20,,
0.030009,20,,
0.031001,20,508,0
0.033908,20,,
0.034555,20,,
0.035483,20,,
0.045088,20,,
0.045742,20,,
0.046332,20,,
0.046976,20,,
0.047927,20,508,113
0.050163,39,,
0.056160,39,,
0.057156,39,,
0.057986,39,,
0.058942,39,,
0.059867,39,,
0.060462,39,,
0.061075,39,510,113
0.063319,39,,
0.064322,39,,
0.065402,39,,
0.066307,39,,
0.076253,39,,
0.077166,39,,
0.078137,39,,
0.079092,39,510,113
0.080925,39,,
0.081574,39,,
0.087618,39,,
0.088202,39,,
0.088787,39,,
0.089412,39,,
0.090031,39,,
0.090642,39,510,113
0.092518,39,,
0.093118,39,,
0.093750,39,,
0.094358,39,,
0.094974,39,,
0.095634,39,,
0.096270,39,,
0.096866,39,510,113
0.107768,39,,
0.108405,39,,
0.109378,53,,
0.110027,53,,
0.110999,53,,
0.111652,53,,
0.112290,53,,
0.118401,53,559,107
0.120512,53,,
0.121104,53,,
0.121735,53,,
0.122328,53,,
0.122965,53,,
0.123574,53,,
0.124219,53,,
0.124809,53,559,107
0.126718,53,,
0.127677,53,,
0.128645,53,,
0.138116,53,,
0.138727,53,,
0.139658,53,,
0.140282,53,,
0.140867,53,559,107
0.143097,53,,
0.143735,53,,
0.149502,53,,
0.150545,53,,
0.151422,53,,
0.152058,53,,
0.152673,53,,
0.153292,53,559,107
0.155412,53,,
0.156073,53,,
0.157034,53,,
0.157675,53,,
0.158321,53,,
0.158971,53,,
0.159601,53,,
0.169172,53,664,55
0.170957,54,,
0.171562,54,,
0.172217,54,,
0.173205,54,,
0.173802,54,,
0.174380,54,,
0.180551,54,,
0.181189,54,664,55
0.183823,54,,
0.184778,54,,
0.185355,54,,
0.186002,54,,
0.186590,54,,
0.187249,54,,
0.188195,54,,
0.188821,54,664,55
0.190678,54,,
0.200346,54,,
0.201322,54,,
0.201967,54,,
0.202516,54,,
0.203156,54,,
0.203756,54,,
0.204347,54,664,55
0.211391,54,,
0.212049,54,,
0.213008,54,,
0.214063,54,,
0.214966,54,,
0.215586,54,,
0.216198,54,,
0.217133,54,664,55
0.219045,54,,
0.219951,54,,
0.220571,54,,
0.221159,54,,
0.231094,54,,
0.231731,125,,
0.232367,125,,
0.232997,125,812,76
0.235186,125,,
0.235800,125,,
0.236396,125,,
0.242274,125,,
0.242886,125,,
0.243536,125,,
0.244505,125,,
0.245157,125,812,76
0.247333,125,,
0.248327,125,,
0.248973,125,,
0.249572,125,,
0.250217,125,,
0.250828,125,,
0.251464,125,,
0.252083,125,861,274
0.263355,472,,
0.264018,472,,
0.264976,472,,
0.265574,472,,
0.266207,472,,
0.266809,472,,
0.267426,472,,
0.273492,472,861,274
0.275766,472,,
0.276387,472,,
0.277004,472,,
0.277618,472,,
0.278246,472,,
0.279183,472,,
0.279811,472,,
0.280449,472,861,274
0.282322,472,,
0.283287,1215,,
0.293142,1215,,
0.294083,1215,,
0.294732,1215,,
0.295709,1215,,
0.296705,1215,,
0.297336,1215,932,426
0.304898,1215,,
0.305516,1215,,
0.306174,1215,,
0.306790,1215,,
0.307410,1215,,
0.308038,1215,,
0.308680,1215,,
0.309635,1215,932,426
0.311522,1215,,
0.312134,1215,,
0.312750,1215,,
0.313568,1289,,
0.314545,1289,,
0.324106,1289,,
0.324715,1289,,
0.325679,1289,956,38
0.328254,1289,,
0.328851,1289,,
0.329467,1289,,
0.335277,1289,,
0.336190,1289,,
0.337119,1289,,
0.337733,1289,,
0.338477,1289,956,38
0.340947,1289,,
0.341568,1289,,
0.342251,1289,,
0.343199,1289,,
0.343785,1042,,
0.344746,1042,,
0.345373,1042,,
0.355170,1042,937,-25
0.357746,1042,,
0.358365,1042,,
0.359004,1042,,
0.359654,1042,,
0.360621,1042,,
0.366513,1042,,
0.367412,1042,,
0.368024,1042,937,-25
0.369849,1042,,
0.370459,1042,,
0.371088,1042,,
0.371703,1042,,
0.372294,1042,,
0.372925,1042,,
0.373533,691,,
0.374190,691,907,34
0.386334,691,,
0.387225,691,,
0.387802,691,,
0.388387,691,,
0.389040,691,,
0.389996,691,,
0.390958,691,,
0.391589,691,907,34
0.398948,691,,
0.399905,691,,
0.400703,691,,
0.401543,691,,
0.402188,691,,
0.402798,691,,
0.403380,419,,
0.404025,419,871,589
0.406299,419,,
0.407233,419,,
0.417301,419,,
0.418174,419,,
0.419132,419,,
0.419767,419,,
0.420375,419,,
0.421043,419,871,589
0.428375,419,,
0.429031,419,,
