t_s,force_g,pos_act,current_mA
0.000927,49,505,0
0.003502,48,,
0.004145,48,,
0.004734,48,,
0.005380,48,,
0.006040,48,,
0.007015,48,,
0.007617,48,,
0.008593,48,505,0
0.020437,48,,
0.021335,48,,
0.022308,48,,
0.022917,48,,
0.023542,48,,
0.024503,48,,
0.025454,48,,
0.030986,48,505,0
0.033553,48,,
0.034471,48,,
0.035082,48,,
0.035666,48,,
0.036644,48,,
0.037599,48,,
0.038362,48,,
0.039238,48,505,0
0.041386,48,,
0.050865,48,,
0.052139,48,,
0.053289,48,,
0.054360,48,,
0.055373,48,,
0.056374,48,,
0.062084,48,525,86
0.065108,59,,
0.066030,59,,
0.066977,59,,
0.067594,59,,
0.068191,59,,
0.069135,59,,
0.070080,59,,
0.070716,59,525,86
0.081710,59,,
0.082663,59,,
0.083571,59,,
0.084527,59,,
0.085133,59,,
0.086287,59,,
0.087243,59,,
0.093136,59,549,85
0.095655,52,,
0.096624,52,,
0.097576,52,,
0.098629,52,,
0.099496,52,,
0.100466,52,,
0.101398,52,,
0.102061,52,549,85
0.113567,52,,
0.114797,52,,
0.115934,52,,
0.117036,52,,
0.118224,52,,
0.123951,58,,
0.125082,58,,
0.126110,58,571,44
0.128959,58,,
0.130006,58,,
0.130850,58,,
0.131620,58,,
0.132497,58,,
0.133096,58,,
0.133706,58,,
0.143622,58,571,44
0.146033,58,,
0.146619,58,,
0.147257,58,,
0.147879,58,,
0.148485,58,,
0.149069,58,,
0.154942,54,,
0.155775,54,593,86
0.158352,54,,
0.159322,54,,
0.159956,54,,
0.160578,54,,
0.161546,54,,
0.162504,54,,
0.163454,54,,
0.164449,54,593,86
0.175619,54,,
0.176239,54,,
0.176804,54,,
0.177459,54,,
0.178093,54,,
0.178649,54,,
0.179412,54,,
0.180234,56,611,80
0.187579,56,,
0.188175,56,,
0.188737,56,,
0.189392,56,,
0.190001,56,,
0.190614,56,,
0.191316,56,,
0.192189,56,611,80
0.193956,56,,
0.194572,56,,
0.195277,56,,
0.195859,56,,
0.205707,56,,
0.206699,56,,
0.207594,56,,
0.208574,56,611,48
0.216645,57,,
0.217507,57,,
0.218464,57,,
0.219088,57,,
0.219646,57,,
0.220283,57,,
0.220874,57,,
0.221478,57,639,48
0.223359,57,,
0.223972,57,,
0.224596,57,,
0.225537,57,,
0.226122,57,,
0.226700,57,,
0.236647,57,,
0.237621,57,639,68
0.240107,55,,
0.240666,55,,
0.241328,55,,
0.241942,55,,
0.247668,55,,
0.248651,55,,
0.249242,55,,
0.250177,55,661,68
0.252034,55,,
0.252639,55,,
0.253226,55,,
0.254195,55,,
0.254816,55,,
0.255431,55,,
0.256060,55,,
0.256677,55,661,68
0.268041,55,,
0.268982,55,,
0.269612,55,,
0.270203,55,,
0.270802,55,,
0.271474,55,,
0.272434,55,,
0.273042,55,687,86
0.280270,55,,
0.280869,55,,
0.281499,55,,
0.282461,55,,
0.283072,55,,
0.283673,55,,
0.284340,55,,
0.284967,55,687,86
0.286840,55,,
0.287500,55,,
0.288090,55,,
0.288681,55,,
0.298505,55,,
0.299083,55,,
0.299671,55,,
0.300314,55,687,92
0.302514,57,,
0.303450,57,,
0.304415,57,,
0.309871,57,,
0.310798,57,,
0.311451,57,,
0.312418,57,,
0.313391,57,711,92
0.316690,57,,
0.317741,57,,
0.318778,57,,
0.319760,57,,
0.329851,57,,
0.330894,57,,
0.331882,57,,
0.332859,57,732,119
0.340726,57,,
0.341633,57,,
0.342592,57,,
0.343530,57,,
0.344117,57,,
0.345079,57,,
0.346009,57,,
0.346627,57,732,119
0.349489,57,,
0.350453,57,,
0.351414,57,,
0.360854,57,,
0.361799,79,,
0.362782,79,,
0.363435,79,,
0.364396,79,750,96
0.372890,79,,
0.373867,79,,
0.374793,79,,
0.375716,79,,
0.376358,79,,
0.377285,79,,
0.378246,79,,
0.379218,79,750,96
0.381053,79,,
0.381987,79,,
0.391628,79,,
0.392886,79,,
0.394022,158,,
0.395051,158,,
0.396000,158,,
0.397152,158,775,82
0.405069,158,,
0.406017,158,,
0.406865,158,,
0.407483,158,,
0.408100,158,,
0.408685,158,,
0.409317,158,,
0.409931,158,775,82
0.411816,158,,
0.412749,158,,
0.422666,158,,
0.423791,158,,
0.424815,158,,
0.425723,158,,
0.426705,158,,
0.427681,158,775,82
0.435647,158,,
0.436624,158,,
0.437597,158,,
0.438554,158,,
0.439159,158,,
0.440108,158,,
0.440743,158,,
0.441386,158,775,82
0.443226,158,,
0.444355,158,,
0.453743,158,,
0.454691,158,,
0.455643,158,,
0.456473,158,,
0.457732,158,,
0.458941,158,775,82
0.467720,158,,
0.468951,158,,
0.470115,158,,
0.471104,158,,
0.472294,158,,
0.473365,158,,
0.474371,158,,
0.475313,644,838,291
0.487343,644,,
0.488564,644,,
0.489675,644,,
0.495649,644,,
0.496559,644,,
0.497502,644,,
0.498121,644,,
0.498742,644,838,291
0.501282,644,,
0.502239,644,,
0.502859,644,,
0.503496,644,,
0.504451,644,,
0.505069,644,,
