t_s,pos_act,force_g,current_mA
0.000998,245,0,0
0.012977,245,0,0
0.015899,245,0,0
0.023828,245,0,0
0.026907,245,0,0
0.029099,245,0,0
0.031612,245,4,110
0.043686,245,4,110
0.046744,245,4,110
0.054643,245,4,110
0.056859,245,4,110
0.059378,245,4,110
0.061277,245,4,61
0.072609,251,26,61
0.075491,251,26,61
0.078138,251,26,61
0.085564,251,26,61
0.087801,251,26,61
0.089980,251,26,61
0.092578,259,31,36
0.103552,259,31,36
0.105614,259,31,36
0.107533,259,31,36
0.115018,259,31,36
0.117857,259,31,36
0.119774,259,31,36
0.121976,259,33,55
0.124235,262,33,55
0.135592,262,33,55
0.138423,262,33,55
0.146092,262,33,55
0.148627,262,33,55
0.150843,262,33,62
0.153025,268,36,62
0.155243,268,36,62
0.166578,268,36,62
0.169295,268,36,62
0.176995,268,36,62
0.180280,268,36,62
0.182823,273,38,46
0.185233,273,38,46
0.196491,273,38,46
0.198586,273,38,46
0.200748,273,38,46
0.208033,273,38,46
0.209886,273,38,46
0.212725,273,38,46
0.214901,277,38,19
0.217017,277,38,19
0.228507,277,38,19
0.230677,277,38,19
0.232824,277,38,19
0.240665,277,38,19
0.242862,277,38,45
0.245666,281,39,45
0.247838,281,39,45
0.258699,281,39,45
0.260825,281,39,45
0.262867,281,39,45
0.270507,281,39,45
0.272672,281,39,60
0.274831,285,40,60
0.276944,285,40,60
0.278817,285,40,60
0.289754,285,40,60
0.291597,285,40,60
0.294084,285,40,60
0.301761,285,40,60
0.304008,285,42,60
0.306497,288,42,60
0.308451,288,42,60
0.320511,288,42,60
0.322572,288,42,60
0.324752,288,42,60
0.331755,288,42,60
0.333813,288,43,61
0.335653,292,43,61
0.337500,292,43,61
0.339358,292,43,61
0.341183,292,43,61
0.352008,292,43,61
0.354912,292,43,61
0.362915,292,46,38
0.366446,296,46,38
0.369832,296,46,38
0.372753,296,46,38
0.384449,296,46,38
0.386300,296,46,38
0.393916,296,46,38
0.396031,296,46,38
0.398892,296,46,38
0.402343,296,46,38
0.414779,296,46,38
0.417297,296,46,38
0.424603,306,49,72
0.427435,306,49,72
0.430335,306,49,72
0.432632,306,49,72
0.434824,306,49,72
