t_s,pos_act,force_g,current_mA
0.000801,244,0,0
0.013195,244,0,0
0.015779,244,0,0
0.024040,244,0,0
0.026207,244,0,0
0.029366,244,0,0
0.032392,244,0,0
0.043755,244,0,0
0.046562,244,9,84
0.054017,246,9,84
0.056892,246,9,84
0.058774,246,9,84
0.061591,246,9,84
0.073227,246,9,84
0.075695,255,17,50
0.077997,255,17,50
0.085687,255,17,50
0.087837,255,17,50
0.090012,255,17,50
0.091934,255,17,50
0.093827,255,17,50
0.105868,255,17,59
0.108396,262,20,59
0.116142,262,20,59
0.118690,262,20,59
0.121792,262,20,59
0.123962,262,20,59
0.135837,264,22,71
0.138377,264,22,71
0.146070,264,22,71
0.149015,264,22,71
0.151488,264,22,71
0.153624,264,22,71
0.155488,264,22,71
0.166324,264,22,99
0.168150,271,25,99
0.170360,271,25,99
0.178281,271,25,99
0.181153,271,25,99
0.183294,271,25,99
0.185153,271,25,99
0.187034,271,25,70
0.198841,277,26,70
0.201363,277,26,70
0.208422,277,26,70
0.210321,277,26,70
0.212686,277,26,70
0.215817,277,26,70
0.217636,277,26,70
0.229169,277,26,80
0.232208,280,26,80
0.239937,280,26,80
0.242094,280,26,80
0.244414,280,26,80
0.247703,280,26,80
0.259162,284,27,87
0.261690,284,27,87
0.263907,284,27,87
0.272010,284,27,87
0.274571,284,27,87
0.277131,284,27,87
0.279761,284,30,81
0.291558,288,30,81
0.293715,288,30,81
0.301051,288,30,81
0.303081,288,30,81
0.304948,288,30,81
0.306760,288,30,81
0.308620,288,30,81
0.310723,288,30,69
0.321942,290,30,69
0.324072,290,30,69
0.325896,290,30,69
0.333281,290,30,69
0.335222,290,30,69
0.337382,290,30,69
0.339860,290,30,69
0.342474,294,33,30
0.353995,294,33,30
0.356796,294,33,30
0.364598,294,33,30
0.366748,294,33,30
0.368635,294,33,30
0.371330,299,36,31
0.382701,299,36,31
0.384783,299,36,31
0.386654,299,36,31
0.393737,299,36,31
0.395665,299,36,31
0.398386,299,36,31
0.400802,299,36,59
0.402985,303,37,59
0.414113,303,37,59
0.417084,303,37,59
0.424867,303,37,59
0.427639,303,37,59
0.429942,303,37,58
0.432350,308,37,58
0.434243,308,37,58
0.445269,308,37,58
0.447491,308,37,58
0.449708,308,37,58
0.456942,308,37,58
0.458790,308,37,58
0.460943,308,37,63
0.462849,313,37,63
0.464651,313,37,63
0.475705,313,37,63
0.477885,313,37,63
0.480438,313,37,63
0.487949,313,37,63
0.490437,313,37,50
0.492676,317,37,50
0.495374,317,37,50
0.506963,317,37,50
0.509433,317,37,50
0.511739,317,37,50
0.519964,317,37,50
0.521833,320,38,55
0.524034,320,38,55
0.525961,320,38,55
0.528008,320,38,55
0.539893,320,38,55
0.542816,320,38,55
0.551036,320,38,31
0.554002,328,38,31
0.556946,328,38,31
0.568839,328,38,31
0.571920,328,38,31
0.579917,328,38,58
0.582424,335,37,58
0.584634,335,37,58
0.586451,335,37,58
0.589077,335,37,58
0.600754,335,37,58
0.602943,335,37,58
0.610877,335,37,67
0.613423,340,38,67
0.615331,340,38,67
0.617896,340,38,67
0.620427,340,38,67
0.631796,340,38,67
0.634013,340,38,67
0.635910,340,38,45
0.643670,344,38,45
0.645952,344,38,45
0.648436,344,38,45
0.650295,344,38,45
0.652180,344,38,45
0.664274,344,38,45
0.666447,344,38,45
0.673876,347,39,48
0.675693,347,39,48
0.677891,347,39,48
0.679738,347,39,48
0.681981,347,39,48
0.693634,347,39,48
0.696187,347,39,63
0.703808,348,39,63
0.705631,348,39,63
0.708433,348,39,63
0.711379,348,39,63
0.713191,348,39,63
0.724245,348,39,63
0.726792,348,39,63
0.728661,348,39,63
0.736007,353,39,63
0.737862,353,39,63
0.740404,353,39,63
0.742611,353,39,63
0.744449,353,39,63
0.755385,353,39,63
0.757275,353,39,63
0.759502,353,40,55
0.767052,359,40,55
0.769576,359,40,55
0.771448,359,40,55
0.773317,359,40,55
0.775912,359,40,55
