trial,onset_pos,f_base_g,aborted,mount
1,828,45,0,tcp2
2,840,32,0,tcp2
3,924,38,0,tcp2
4,825,39,0,tcp2
5,835,39,0,tcp2
6,849,38,0,tcp2
7,830,39,0,tcp2
8,863,39,0,tcp2
9,851,38,0,tcp2
10,849,39,0,tcp2
11,828,41,0,tcp2
12,854,43,0,tcp2
13,837,43,0,tcp2
14,846,42,0,tcp2
15,831,43,0,tcp2
16,842,43,0,tcp2
17,854,42,0,tcp2
18,824,42,0,tcp2
19,840,42,0,tcp2
20,837,43,0,tcp2
21,854,45,0,tcp2
22,842,20,0,tcp2
23,849,19,0,tcp2
24,831,20,0,tcp2
25,842,19,0,tcp2
26,852,18,0,tcp2
27,824,18,0,tcp2
28,923,19,0,tcp2
29,847,20,0,tcp2
30,860,19,0,tcp2
31,842,19,0,tcp2
32,847,20,0,tcp2
33,827,19,0,tcp2
34,842,20,0,tcp2
35,858,20,0,tcp2
36,830,20,0,tcp2
37,856,20,0,tcp2
38,824,20,0,tcp2
39,842,20,0,tcp2
40,854,21,0,tcp2
41,842,46,0,tcp2
42,930,19,0,tcp2
43,832,20,0,tcp2
44,844,20,0,tcp2
45,828,20,0,tcp2
46,842,20,0,tcp2
47,852,20,0,tcp2
48,831,21,0,tcp2
49,846,21,0,tcp2
50,848,20,0,tcp2
51,828,20,0,tcp2
52,926,20,0,tcp2
53,854,20,0,tcp2
54,856,21,0,tcp2
55,919,20,0,tcp2
56,835,20,0,tcp2
57,856,21,0,tcp2
58,836,21,0,tcp2
59,849,22,0,tcp2
60,846,20,0,tcp2
