t_s,pos_act,force_g,current_mA
0.000910,535,39,0
0.003041,535,39,0
0.010712,535,39,0
0.013386,535,39,0
0.015638,535,39,0
0.017834,535,39,0
0.020044,535,39,0
0.031428,535,40,0
0.034344,535,40,0
0.041616,535,40,0
0.044505,535,40,0
0.046379,535,40,0
0.048555,535,40,0
0.050722,535,40,0
0.061600,535,40,0
0.063789,537,56,108
0.065624,537,56,108
0.072670,537,56,108
0.074863,537,56,108
0.076736,537,56,108
0.078587,537,56,108
0.080451,537,56,108
0.082632,537,56,136
0.093657,556,69,136
0.095858,556,69,136
0.103610,556,69,136
0.105783,556,69,136
0.107970,556,69,136
0.109861,556,69,136
0.112751,556,69,136
0.124063,588,73,151
0.126217,588,73,151
0.128081,588,73,151
0.135586,588,73,151
0.137835,588,73,151
0.140010,588,73,151
0.142547,588,73,104
0.153893,617,72,104
0.156000,617,72,104
0.157884,617,72,104
0.165074,617,72,104
0.167489,617,72,104
0.169344,617,72,104
0.171582,617,72,104
0.174144,674,72,112
0.185668,674,72,112
0.187471,674,72,112
0.189306,674,72,112
0.197139,674,72,112
0.199603,674,72,112
0.201840,674,72,112
0.203670,674,72,225
0.205521,745,73,225
0.216742,745,73,225
0.218563,745,73,225
0.220371,745,73,225
0.227505,745,73,225
0.229362,745,73,225
0.231228,745,73,225
0.233099,745,73,225
0.234937,830,303,218
0.236808,830,303,218
0.247565,830,303,218
0.249654,830,303,218
0.251553,830,303,218
0.258875,830,303,218
0.260739,830,303,218
0.263196,830,303,218
0.265040,913,1072,381
