t_s,force_g,pos_act,current_mA
0.001377,24,626,0
0.004690,24,,
0.005988,24,,
0.015647,24,,
0.016582,24,,
0.017553,24,,
0.018152,24,,
0.018760,24,,
0.019732,24,626,0
0.026791,24,,
0.027661,24,,
0.028289,24,,
0.029298,24,,
0.029901,24,,
0.030526,24,,
0.031499,24,,
0.032137,24,626,0
0.034387,24,,
0.035000,24,,
0.036113,24,,
0.037400,24,,
0.046834,24,,
0.047938,24,,
0.049015,24,,
0.050103,24,626,37
0.058240,29,,
0.059300,29,,
0.060216,29,,
0.061138,29,,
0.062270,29,,
0.063413,29,,
0.064386,29,,
0.065710,29,626,37
0.077553,29,,
0.078468,29,,
0.079077,29,,
0.080005,29,,
0.080631,29,,
0.081262,29,,
0.081880,29,,
0.082487,36,630,45
0.090545,36,,
0.091453,36,,
0.092368,36,,
0.092991,36,,
0.093597,36,,
0.094520,36,,
0.095151,36,,
0.095940,36,630,45
0.098886,36,,
0.108530,36,,
0.109420,36,,
0.110383,36,,
0.110941,36,,
0.111889,39,,
0.112468,39,,
0.113113,39,634,53
0.120610,39,,
0.121247,39,,
0.122147,39,,
0.122778,39,,
0.123583,39,,
0.124542,39,,
0.125442,39,,
0.126461,39,634,53
0.128519,39,,
0.129158,39,,
0.129729,39,,
0.139585,39,,
0.141721,39,,
0.142649,39,,
0.143509,41,,
0.144279,41,636,17
0.152105,41,,
0.153076,41,,
0.153973,41,,
0.154729,41,,
0.155599,41,,
0.156501,41,,
0.157139,41,,
0.157797,41,636,17
0.159966,41,,
0.160522,41,,
0.170616,41,,
0.171683,41,,
0.172691,41,,
0.173655,41,,
0.174590,41,,
0.175492,41,637,40
0.183392,41,,
0.184310,41,,
0.184936,41,,
0.185498,41,,
0.186167,41,,
0.186987,41,,
0.188019,41,,
0.189056,41,637,40
0.191918,41,,
0.201353,41,,
0.201973,41,,
0.202561,41,,
0.203329,41,,
0.204180,41,,
0.204774,41,,
0.205394,41,640,34
0.212779,41,,
0.213651,41,,
0.214625,41,,
0.215494,41,,
0.216134,41,,
0.216738,41,,
0.217373,41,,
0.218336,41,640,34
0.220125,41,,
0.220743,41,,
0.221394,41,,
0.221963,41,,
0.222637,41,,
0.232462,41,,
0.233327,41,,
0.234259,41,640,34
0.236430,41,,
0.237391,41,,
0.237994,41,,
0.244049,41,,
0.244933,41,,
0.245490,41,,
0.246114,41,,
0.246811,41,640,34
0.249259,41,,
0.250222,41,,
0.251154,41,,
0.252123,41,,
0.252991,41,,
0.253589,41,,
0.263344,41,,
0.264050,41,640,44
0.266453,41,,
0.267112,41,,
0.267678,41,,
0.268343,41,,
0.274561,41,,
0.275389,41,,
0.275997,41,,
0.276609,41,643,44
0.278456,41,,
0.279075,41,,
0.279682,41,,
0.280287,41,,
0.280924,41,,
0.281500,41,,
0.282093,41,,
0.282736,41,643,44
0.284628,41,,
0.294369,41,,
0.295218,41,,
0.295818,41,,
0.296431,41,,
0.297035,41,,
0.297698,41,,
0.298553,41,643,44
0.305712,41,,
0.306623,41,,
0.307207,41,,
0.307831,41,,
0.308449,41,,
0.309380,41,,
0.309992,41,,
0.310600,41,643,44
0.312465,41,,
0.313091,41,,
0.313708,41,,
0.314342,41,,
0.315334,41,,
0.325382,41,,
0.326226,42,,
0.326867,42,647,38
0.328734,42,,
0.329328,42,,
0.330417,42,,
0.336707,42,,
0.337602,42,,
0.338243,42,,
0.338839,42,,
0.339420,42,647,38
0.341239,42,,
0.341855,42,,
0.342484,42,,
0.343088,42,,
0.343716,42,,
0.344342,42,,
0.345332,42,,
0.346291,42,648,25
0.357538,42,,
0.358402,42,,
0.358999,42,,
0.359602,42,,
0.360228,42,,
0.360837,42,,
0.361425,42,,
0.367428,42,648,25
0.369918,42,,
0.370515,42,,
0.371108,42,,
0.371749,42,,
0.372380,42,,
0.373296,42,,
0.373910,42,,
0.374534,42,648,25
0.376361,42,,
0.377299,43,,
0.377953,43,,
0.387543,43,,
0.388150,43,,
0.388825,43,,
0.389774,43,,
0.390704,43,650,51
0.392937,43,,
0.398645,43,,
0.399264,43,,
0.399884,43,,
0.400498,43,,
0.401146,43,,
0.401786,43,,
0.402708,43,650,51
0.404584,43,,
0.405216,43,,
0.405840,43,,
0.406442,43,,
0.407059,44,,
0.408010,44,,
0.408597,44,,
0.418273,44,651,33
0.420092,44,,
0.420720,44,,
0.421322,44,,
0.421937,44,,
0.422526,44,,
0.423154,44,,
0.423751,44,,
0.429776,44,651,33
0.431662,44,,
0.432277,44,,
0.433248,44,,
0.433896,44,,
0.434523,44,,
0.435168,44,,
0.435804,44,,
0.436438,44,651,56
0.438272,43,,
0.439250,43,,
0.439889,43,,
0.449424,43,,
0.450053,43,,
0.450654,43,,
0.451257,43,,
0.451923,43,655,56
0.453786,43,,
0.454425,43,,
0.460339,43,,
0.461287,43,,
0.461898,43,,
0.462513,43,,
0.463149,43,,
0.463781,43,655,56
0.466017,43,,
0.466981,43,,
0.467590,44,,
0.468227,44,,
0.468856,44,,
0.469827,44,,
0.470476,44,,
0.480248,44,659,41
0.482097,44,,
0.482707,44,,
0.483358,44,,
0.484267,44,,
0.484913,44,,
0.485548,44,,
0.491250,44,,
0.491863,44,659,41
0.493718,44,,
0.494331,44,,
0.494964,44,,
0.495912,44,,
0.496562,44,,
0.497197,45,,
0.498176,45,,
0.498825,45,662,47
0.500737,45,,
0.501712,45,,
0.511136,45,,
0.511759,45,,
0.512751,45,,
0.513994,45,,
0.515209,45,,
0.516480,45,662,47
0.525117,45,,
0.526195,45,,
0.527308,46,,
0.528467,46,,
0.529695,46,,
0.530895,46,,
0.532130,46,,
0.533377,46,666,66
0.544684,46,,
0.545858,46,,
0.547091,46,,
0.553558,46,,
0.554778,46,,
0.555992,46,,
0.557112,46,,
0.558152,46,667,32
0.561623,46,,
0.562547,46,,
0.563770,46,,
0.573369,46,,
0.574485,46,,
0.575630,46,,
0.576795,46,,
0.577902,46,667,32
0.585835,46,,
0.587065,46,,
0.588204,46,,
0.589336,46,,
0.590266,46,,
0.591179,46,,
0.592079,46,,
0.592672,46,669,62
0.594493,46,,
0.604260,46,,
0.605096,46,,
0.606053,46,,
0.606678,46,,
0.607517,46,,
0.608567,46,,
0.609632,46,669,62
0.618207,45,,
0.619493,45,,
0.620657,45,,
0.621736,45,,
0.622980,45,,
0.624198,45,,
0.625384,45,,
0.635418,45,671,62
0.639001,45,,
0.640081,45,,
0.641183,45,,
0.646681,45,,
0.647584,45,,
0.648582,45,,
0.649614,45,,
0.650618,45,671,62
0.653541,45,,
0.654499,45,,
0.655454,45,,
0.656387,45,,
0.666091,45,,
0.666969,45,,
0.667920,45,,
0.668530,45,671,62
0.670987,45,,
0.671581,45,,
0.677287,45,,
0.678039,46,,
0.678839,46,,
0.679416,46,,
0.680003,46,,
0.680608,46,678,67
0.682641,46,,
0.683512,46,,
0.684209,46,,
0.685159,46,,
0.685652,46,,
0.686234,46,,
0.686849,46,,
0.687430,46,678,67
0.698238,46,,
0.698856,46,,
0.699453,46,,
0.700106,46,,
0.700668,46,,
0.701350,46,,
0.701947,46,,
0.702562,46,678,47
0.709852,47,,
0.710408,47,,
0.711085,47,,
0.711700,47,,
0.712296,47,,
0.712952,47,,
0.713574,47,,
0.714127,47,681,47
0.715959,47,,
0.716572,47,,
0.717292,47,,
0.717877,47,,
0.718406,47,,
0.728142,47,,
0.728714,47,,
0.729283,47,681,47
0.731116,47,,
0.731770,47,,
0.732404,47,,
0.733002,47,,
0.733617,47,,
0.739418,47,,
0.740013,46,,
0.740585,46,683,77
0.742468,46,,
0.743041,46,,
0.743688,46,,
0.744343,46,,
0.744955,46,,
0.745557,46,,
0.746161,46,,
0.746805,46,683,77
0.748767,46,,
0.749621,46,,
0.759192,46,,
0.760058,46,,
0.760635,46,,
0.761574,46,,
0.762198,46,,
0.762798,46,683,77
0.770245,46,,
0.771131,46,,
0.771731,46,,
0.772371,46,,
0.772960,46,,
0.773556,46,,
0.774205,46,,
0.774829,46,683,77
0.776656,46,,
0.777268,46,,
0.777920,46,,
0.778526,46,,
0.779179,46,,
0.779798,46,,
0.780430,46,,
0.790181,46,683,77
0.792957,46,,
0.793922,46,,
0.794999,47,,
0.801476,47,,
0.802347,47,,
0.802973,47,,
0.803605,47,,
0.804258,47,688,75
0.806105,47,,
0.806721,47,,
0.807636,47,,
0.808293,47,,
0.808911,47,,
0.809508,47,,
0.810144,47,,
0.810747,47,688,75
0.822077,47,,
0.822970,47,,
0.823568,47,,
0.824487,47,,
0.825089,47,,
0.825659,47,,
0.826293,47,,
0.832084,47,689,69
0.834572,47,,
0.835191,47,,
0.835811,47,,
0.836417,47,,
0.837015,47,,
