trial,onset_pos,f_base_g,aborted,mount
1,825,51,0,tcp1
2,906,26,0,tcp1
3,893,27,0,tcp1
4,815,28,0,tcp1
5,828,26,0,tcp1
6,895,27,0,tcp1
7,972,27,0,tcp1
8,826,28,0,tcp1
9,900,28,0,tcp1
10,823,28,0,tcp1
11,887,29,0,tcp1
12,901,28,0,tcp1
13,826,28,0,tcp1
14,825,28,0,tcp1
15,826,30,0,tcp1
16,909,29,0,tcp1
17,824,28,0,tcp1
18,882,29,0,tcp1
19,813,29,0,tcp1
20,904,28,0,tcp1
21,893,44,0,tcp1
22,820,21,0,tcp1
23,895,22,0,tcp1
24,898,21,0,tcp1
25,826,20,0,tcp1
26,817,21,0,tcp1
27,825,21,0,tcp1
28,900,20,0,tcp1
29,834,21,0,tcp1
30,897,21,0,tcp1
31,823,20,0,tcp1
32,880,22,0,tcp1
33,897,21,0,tcp1
34,906,22,0,tcp1
35,892,22,0,tcp1
36,900,21,0,tcp1
37,821,21,0,tcp1
38,825,21,0,tcp1
39,825,22,0,tcp1
40,826,21,0,tcp1
41,817,37,0,tcp1
42,887,21,0,tcp1
43,813,18,0,tcp1
44,821,19,0,tcp1
45,885,18,0,tcp1
46,821,18,0,tcp1
47,895,19,0,tcp1
48,814,18,0,tcp1
49,827,19,0,tcp1
50,813,20,0,tcp1
